,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,APDHKLU2Z3MDN,B000052YM7,A. Bridwell,"[0, 0]","I bought this to help get rid of the keratosis pilaris on my upper arms and legs. The lotion did not help smooth out the little bumps and I found something better instead. Since I still had the whole bottle, I decided to use this as my night time moisturizer. I'm in my 20's so I have minimal wrinkles so I can't attest to how well it helps with those. My skin does feel tighter after using this though. Sometimes I use another moisturizer alongside this one because it can be drying. I wouldn't use it by itself if your skin is on the dry side. My skin has been smoother since I've been using this moisturizer and I haven't had a breakout in a while. I'm not 100% behind this product, but I think it is doing what it is supposed to for my face.",4,"Decent moisturizer, but not for my kp",1397347200,"04 13, 2014",0.1264
1,A1UZU9DSNP4EJ9,B000052YM7,Adrian,"[3, 4]","I don't think my skin is overly sensitive or anything but this product caused my neck to start burning and itching, I had to wash the product off of my neck immediately.It also caused my face to break out, I gave it a few tries to see if my skin just needed to get used to it but my skin was not happy.For me this was a waste of money. It also has this chemical smell that even my fiance noticed after I put it on.I would not recommend this.",1,Made my skin burn and has a horrible chemical smell,1382486400,"10 23, 2013",-0.4237
2,A3KQHBGTTSWTZ6,B000052YM7,A. Lambert,"[0, 0]","I believe this has been the cause of my recent break outs. I noticed that my hyper pigmentation seemed to be improving but unfortunately, my obnoxious skin doesn't seem to like the face lotion and wash. I hadn't broken out on my forehead for a long time and then all of a sudden I have a bunch of pimples. Hopefully I can get rid of them with something else...",3,As with the foam wash,1397520000,"04 15, 2014",-0.0151
3,A16GWMW2GI8XUJ,B000052YM7,Alicein Wonderland,"[6, 8]","I had done a lot of reading on treating cellulite and stretch marks and found a recommendation to try glycolic acid and AHA. I did a search on Amazon and stumbled upon the Alpha Hydrox which had some good reviews so I decided to give it a try.I've been using it for about a week now, twice a day and I am actually seeing a reduction in the appearance of cellulite! I've been using on my hips/thighs/booty in conjunction with zone-specific exercises (which in the past by itself hasn't produced results like these). I was never overweight or large, so there was never a lot of cellulite, but enough to make me self-conscious in a swimsuit.I would say that the appearance of stretch marks is still the same, but for the price of the bottle this is definitely worth it for combating cellulite!",5,Impressive Results Actually,1340323200,"06 22, 2012",0.2744
4,A2T4RPHVVIO0BV,B000052YM7,All4Jesus,"[0, 0]","Walmart stopped selling this online. Amazon's price is better without tax and handling charges. I've used this for years, and it's helped with cell turnover immensely. It takes time, but stick with it at least once a day, and you will see results.",5,Great price here on Amazon,1360454400,"02 10, 2013",-0.006
5,ATUXNR3WHD18N,B000052YM7,Amazon Customer,"[0, 0]",I use this frequently at night. Then wash off in the morning. It does have just a little burning sensation. After 30 minutes to an hour I layer a face lotion (with a little almond oil) on top for hydration. I feel this keeps my skin looking fresh and smooth.,5,alpha hydrox lotion,1287964800,"10 25, 2010",0.1041
6,A32Z81BMES7MC6,B000052YM7,Amazon Customer,"[4, 6]","I have been pleased with the results of Alpha Hydrox AHA Enhanced Lotion. The packaging is not fancy, so the price reflects the product, and is reasonable. The lotion appears to be improving the texture and appearance of lines on my face and neck. As with other Alpha Hydrox products, initial use brings with it a tingling sensation to the skin, but it is not irritating over time. Overall, the product does what it claims at a no-frills price that I can afford.",4,Effective product at reasonable price...,1295568000,"01 21, 2011",0.2718
7,A160VWZVLL6O8G,B000052YM7,Amazon Customer melodious,"[0, 0]","I have been using the product for about a month. I can't really say I can tell a difference in my skin but I will continue to use the bottle and report back after more time. I will say that it says it is odor free on the bottle but it has a very strong, not very pleasant smell.",4,Definitely NOT Odor Free,1356048000,"12 21, 2012",0.1624
8,ACHCRUJXKXPFU,B000052YM7,Amazon Customer thumper17,"[0, 0]",I cant tell its really doing much. Ive been using it for a month now and see very little change. Maybe some overall evening of skintone but nothing dramatic. No reduction in lines. No reduction in old acne hyperpigmentation. I have had a few minor blemishes pop up but nothing horrible. I dont experience burning or itching when using it. Use once a day.,3,Nothing to get excited about,1390694400,"01 26, 2014",-0.0012
9,A19DZQ1GLMCD2P,B000052YM7,Angie,"[0, 1]","I've only used this lotion on my neck where there were some tiny brown skin tags. They had been there for a very long time and I didn't know what to do to get rid of them. I wasn't sure what this lotion would do but wanted to give it a shot. I applied it on my neck every night. After 1 week I noticed the skin tags had noticeably flatten. I continued to use it for another 2 weeks, and 60-70% of the skin tags were gone. However, whatever left on my skin seem to be stubborn. They don't react to the lotion anymore. I lost my patience and eventually stopped using the lotion. I am switching to ROC retinol serum and will see if it'll clear all the skin tags. I plan to use the remainder of the AHA lotion on my face. Hopefully it'll help to reduce my large pore size and acne.",4,Works for skin tags,1370476800,"06 6, 2013",0.0019
