,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A29WUMT65XEQE9,B00000J1V5,1cleverchef MC,"[0, 0]","This is the 2nd time I've used Belkin Cat5's, I have some shorter ones and needed to change my router placement. I've also used Belkin HDMI cables and I think Fiber optic cable as well. I've never had any problem with their cables so far and their prices are reasonable...",5,Belkin,1361664000,"02 24, 2013",0.194
1,A1YMC7H5U3TQOU,B00000J1V5,A. Adkins Disneyphile,"[0, 0]",I like the snagless feature and easy coiling for storage of this cable. I get it out when using my portable in a wired network and then coil it up and stow it in the case.,5,Snagless,1376956800,"08 20, 2013",0.3298
2,A105TOJ6LTVMBG,B00000J1V5,"Aless &#34;I came like Water, and like Wind ...","[0, 1]","Usually it's better than average,but this one is not as good as I bought before. I have quiet few Belkin's items and I like /trust this brand. Everything would be fine if not for the cheap plastic plugs ...If ur intend to unplug/re-plug it often, than I recommend other brand-Belkin screwed up on this one;) Thought it's cheap-don't like it-throw it in the garbage.;)))",4,Not bad,1367020800,"04 27, 2013",0.1436
3,AGL4FKIL9IYXA,B00000J1V5,Alex D,"[0, 0]","The pink cable was like $1 when I bought it, so you really can't beat the price. Its a pretty standard cable and it works just fine. The connectors are pretty good, the only negative I have is the little plastic guards that protect the tab on the connector are fragile; if you push them sideways very much they come right off. But honestly you don't need those ( they can even be annoying in tight spaces), and for $1 the quality can't be beat!",4,Can't beat the price!,1370649600,"06 8, 2013",0.4435
4,A20S66SKYXULG2,B00000J1V5,alphonse,"[0, 0]",Some days it is better to just buy a good cable like this instead of putting your own ends on a bulk cable. Very reasonably priced and a quality product.,5,good cable,1355011200,"12 9, 2012",0.4037
5,AVWRG73FEVBQV,B00000J1V5,Amazon Customer AvidReader,"[0, 0]",This was exactly what I needed. Thanks for great product and great price. The product is sturdy and works well.,5,Perfect,1369267200,"05 23, 2013",0.3918
6,A2RRYDCPJ4T8OV,B00000J1V5,Amazon Customer,"[0, 0]",I ordered this as a spare so I have not used it yet. It does appear to be of good quality.,5,Seems to be of good quality,1398038400,"04 21, 2014",0.2202
7,A1KUEYKLNP6CIW,B00000J1V5,Amazon Customer,"[0, 0]","It works as I expect an item from Belkin to work. I needed a few extra cables to connect some home theater components to the switch box for the router, these do the job quite well.",5,Works as expected,1298678400,"02 26, 2011",0.1692
8,AD20KMDUDP5EF,B00000J1V5,Amazon Customer,"[0, 0]","Shipped immediately to me, this patch cable is worth way more than I paid. Very good quality. Excellent customer service as well. Excellent Value and Product",5,Perfect!!,1360627200,"02 12, 2013",0.5366
9,AZQ9DYG38GVBR,B00000J1V5,ameyer117,"[0, 0]","These cables rock, I got a bunch for my dorm room, and they work perfectly and do what I need them to do.",5,Great cables for a great price.,1368921600,"05 19, 2013",0.6369
10,A253X5E4L0DM0W,B00000J1V5,Andrew,"[0, 0]",I am pleased at how well this cable works. I use it to hook up my XBOX to my router in order to get greater speeds for streaming video and it doesn't disappoint.,5,It works!,1365033600,"04 4, 2013",0.5962
11,A33MZ69QV2G5F3,B00000J1V5,Andy Lynch,"[0, 0]",I have no complaints pertaining to this cable. I particularly like the molded connector feature. It's always a personal fear of mine that my wires and cables will fail at the connector due to cheap construction. I doubt that will be the case with this cable from Belkin.I also give kudos to the pricing. I simply cannot argue with $3 for a 7 foot CAT5.,5,No complaints,1363910400,"03 22, 2013",0.0836
12,ANI8BTQMGG1R2,B00000J1V5,Anna Marie Tway,"[0, 0]",Secure snug fit great colors price is definetly right! Get what you order at your door with minimal time usually 2 days,5,Love the colors,1360195200,"02 7, 2013",0.4258
13,A2H4B42VDSFV2V,B00000J1V5,Annette1915 Annette,"[0, 0]",I bought this cable and it worked well. I would recommend it to anyone who is looking for products sold by belkins.,5,I love Belkins,1394928000,"03 16, 2014",0.3172
