,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A28DIZ6KDD6DYR,B000071K5K,Amazon Reviews ReviewPurchases,"[0, 0]","Does the job. No worries, when you toot it works every time. Heard easily over the din of a game.",5,Fox 40 Whistle,1241136000,"05 1, 2009",0.2217
1,AFP0PAIXIYFFN,B000071K5K,BKuhl,"[0, 0]","It works great. Though $5 seems like a lot for a simple whistle, that's just the going price with online retailers..",5,Works great,1380672000,"10 2, 2013",0.493
2,A2UIR2QEWEHJYR,B000071K5K,brad,"[0, 0]","Purchased for attaching to a PFD for kayaking. This is loud and obnoxious, exactly what I wanted. I heard that the Fox 40 was the best whistle, I believe it.",5,Loud and obnoxious.,1402358400,"06 10, 2014",0.0594
3,A204906HLJ443E,B000071K5K,Chanteuse,"[0, 0]","I (female) bought one for myself and one for my mother. This pealess whistle is small and light weight, perfect to be added to my keyring. I tried it and found it loud enough.Hopefully I will never have to use it to get help or rouse attention. I just feel better having one with me.",4,Safety measure,1389744000,"01 15, 2014",0.3536
4,A2CJKEJ75246CS,B000071K5K,dylan hansen,"[2, 3]","noisemaking is always fun and this device is worth one or two whole days worth of fun. since it's pealess it only makes one tone so it sounds official and real (peas sound lame). it sounds like the whistles that referees use, which is also cool.",5,so cool!,1322438400,"11 28, 2011",0.34
5,A3AI9W4LQC0DTI,B000071K5K,edgar arsenal,"[2, 2]","very loud very high pitch, pealess design. came with extra split ring. dont forget to get a lanyard as one is not incuded with this whistle. ordered mine in brite yellow for boating.update July5,2012: something interesting I wasnt aware, on the back of the fox 40 whistle package is an International Whistle Code, [one blast: where are you?, two blasts: come to me., three blasts: I need help!, if you hear any of these signals, respond with one blast. each blast should last 3 seconds.] I cut it from the package and have it in my tackle box, may be very helpful when im out on a lake in my boat as I bought this whistle for fishing, if of course any one within hearing distance also knows the code. I have another for bicycling in my CB hydration back pack.",5,very nice,1337385600,"05 19, 2012",0.1583
6,A2QTDL1XR2HTX,B000071K5K,Escape,"[3, 3]","I have been very pleased with my purchase of the Fox 40 Classic whistle. I mainly use these whistles while hiking or camping in the outdoors. Some of the features I like about it are...* 115 dB of sound- High pitched and designed to cut through other noises like crowds for coaches.Makes it seem very loud.* ABS plastic design- Free of Bisphenol A(BPA). The ABS plastic has proven very strong even in cold conditions* Pealess- No cork pea to collect moisture and germs. Does not lock up with excessive moisture. Makes cleaning easy.* Easy to clean- The whistle can be used in water etc, and it clears easily. Easy to rinse out and clean with some vinager and water or some anti-septic mouthwash. Especially useful after a camping trip with kids.* Variety of colors- You can find these whistles in just about every color, and even with favorite sport logos. I use the orange one most for visiblity purposes. But I also have a gold one which is actually tan.* Economical- The price point on these whistles allows me to have a few extras on lanyards around for each kid in the campsite. They are taught not to abuse them, and to blow them in three bursts if they should somehow get lost.A great whistle for search and rescue work, lifguards, coaches, hunters and hikers. Very versatile and strong. For everyday carry I would also recommendMicro WhistleorUltimate Survival Jetscream Whistle Ultimate Survivaldue to their flat designs and smaller profile. The Fox 40 classic is a great standard whistle meeting most needs.",4,Very Loud and Economical,1342137600,"07 13, 2012",0.3741
7,A3OS5M8BO19GWK,B000071K5K,Hank Rearden,"[0, 0]",As a basketball referee there is no substitute for the Fox 40 Classic. I especially prefer the cushioned whistles for everyday use. I bought this to have for Breast Cancer week or when I'm doing girl's games.,5,Nothing but Fox40's for me,1339632000,"06 14, 2012",-0.3186
8,A1H2RD4UOB9FCZ,B000071K5K,J Bob Marsh,"[0, 0]",I've been carrying a flat pea-less whistle for a few years. Never was really satisfied with it's tone or volume even though it is Coast Guard approved. I bought this as a back-up but I like the tone and volume much better than the other one. This has been promoted to primary whistle.,5,Good piece of survival gear,1380672000,"10 2, 2013",0.3206
9,A1FW0WFZ5LVVCE,B000071K5K,J. Spencer,"[2, 2]",This whistle is extremely loud and has the sound of a real professional sports whistle. The pea-less design is great because you can dip it into water and not have to shake it out for it to work. This makes it ideal for emergency situations and outdoor activities. The plastic is solid and it's an all around great product.,5,Great Wistle,1287100800,"10 15, 2010",0.3939
