,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AEEJGDRRGLBB1,B000050B6U,Abby,"[0, 0]","I have long, thick, and straight hair. I bought this curling iron because I wanted to curl my hair for special occasions. This curling iron doesn't curl my hair much at all. All it does is make a little wave at the very end of my hair and that is when it's set to the highest setting. Pass this curling iron, especially if you have hard to curl hair.",2,Doesn't curl my hair much,1376438400,"08 14, 2013",0.1051
1,A2K6LI89NAD2J2,B000050B6U,Alice Zindagi,"[0, 0]","I love that it has more heat settings than a lot of other curling irons, because let's face it, no two girls have the same texture of hair. I typically use a medium setting. It's important for my curls to last all night because I'm a professional wingwoman by trade and my profitability is based upon my appearance. I've had good luck with this curling iron.",5,Professional Wingwoman Approved,1365638400,"04 11, 2013",0.4022
2,A1P9UMP1XSE6MI,B000050B6U,Amazon Customer,"[0, 0]","I don't curl my hair every day so I didn't need to get a high-end curler. I dropped my old curling iron (10+ years old) and had to buy one from an all-night pharmacy. I paid twice as much as the Amazon price but was very happy with the curling iron. What a surprise to save 50% thru Amazon for the exact same product. Now I have one tucked into my overnight bag for visits to the grandkids.The iron does everything I need it to do. Heats quickly, evenly, and has an automatic turn-off. The barrel is the perfect width (you'd be surprised how much this can vary.) It feels great in my hand without being cumbersome.",5,Why Pay More?,1391385600,"02 3, 2014",0.3734
3,A4WX0FZ1MMAUH,B000050B6U,Amri he refund the money .. thanx,"[0, 0]",I bought the biggest size of this curling just great but I want to say that works well with med_long hair as my hair.,5,Sexy curling,1395446400,"03 22, 2014",0.6858
4,AHP55PFHJL0H8,B000050B6U,Barbara A. Talley,"[0, 0]",It gets too hot and is hard to handle without burning myself. It will go out for a garage sale.,2,Dangerous...,1391558400,"02 5, 2014",-0.0513
5,ASPABROV8R7M5,B000050B6U,Barb Mechalke,"[1, 3]","I like the size of the barrel on this iron and I like the results I got with it. However the design of the kickstand and its location are horrible and unsafe.When you heat the iron up on the higher settings the kickstand gets very, very hot and it's very difficult to use the iron without touching that kickstand because of where it's located. I burned my hand on it while holding the iron and then I burned my face with the kickstand while curing my hair.I'm not at all happy with this product and I'm returning it after using it only twice.",1,"Nicely Does My Hair, Not So Crazy About How It Burns My Skin",1380153600,"09 26, 2013",-0.026
6,A3T4OHEAHOJ700,B000050B6U,B. Colonna,"[1, 1]","I didn't expect too much when I purchased this Conair curling iron. It is quite inexpensive, about $7 when I bought it. There is nothing incredibly special about it. But it is a decent curling iron. It is available in three barrel sized, 1/2&#34;, 3/4&#34; (which is what I bought, and 1&#34;.This is the traditional design, with a heating barrel and piece that opens and &#34;clamps&#34; against the barrel with a thumb lever. Our family prefers this to the newer heating wands that have no clamp and come with a heat-resistant glove. We find those tend to be awkward, as you need two hands to manipulate the iron and your hair, as opposed to this design where you have one hand free for a brush, but still can use the clamp to curl your hair.The iron features a black tip at the end of the chrome barrel. The tip does not get very hot at all.Heating is very quick, about a minute, and it has a simple rotary knob built into the handle to adjust the heat. The controls are near where some people may hold the barrel, so you could accidentally touch them, but I think the barrel design makes it simple enough to avoid that (the rotary switch is on a thicker barrel part, adjacent to the heating iron. The switch has 25 power levels, as well as an On/Off switch and indicator, and a &#34;Turbo Heat&#34; button and indicator.There is a small metal rest at the bottom of the barrel to help keep the hot barrel off surfaces when you place it down.The 5' cord is designed to swivel to minimize tangles.Conair backs the curling iron with a 2 year warranty.",5,Inexpensive Yet Functional,1395705600,"03 25, 2014",-0.0207
7,AWR80FA3IQ633,B000050B6U,Bookworm,"[1, 1]","The 1/2&#34; barrel is perfect for styling short hair. I also like the quick-heating features. Small circumference curing irons are hard to find, and the fact that it was available so readily on Amazon was a major plus - no telephoning around or driving from place to place to determine it's availability. Because of Amazon's Prime Membership, it was delivered within 24 hours.",5,Great for short hair,1378684800,"09 9, 2013",0.1767
8,A3TQZLWYCQXLCQ,B000050B6U,Brandi,"[1, 1]",This came quick and packaged just like I bought it in the store.Everything seems fine with it and I like that it has the turbo heat button. Great curling iron for the price.,5,Great,1355529600,"12 15, 2012",0.6626
9,A2RUV6V9CWZAA0,B000050B6U,Candy,"[7, 10]",,3,Better than others,1300838400,"03 23, 2011",0.6626
