,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2P1NMQ5THQICT,B0000644AF,A. Jordan,"[0, 0]","The Thermos insulated can holder works very well. I have 4 of them and keep them at home, at work, and in my vehicle. They keep a can cold for a very long time.",5,These things rock!,1385856000,"12 1, 2013",0.1128
1,A1Q3ZCREE3V8ZM,B0000644AF,Allan Cloutier Al Drew,"[0, 0]",Love the Thermos beer can holder/cooler. You can even use it as a glass. Recommend it. Better than the foam ones. Later: I've had this for over a year now and still amazed at how it keeps drinks cool. I also use it as a glass and ice cubes last for hours and hours.,5,Thermos can insolator,1360022400,"02 5, 2013",0.3515
2,A24QSSWFMQRL6M,B0000644AF,Amazon Customer,"[0, 0]",I use this item daily! It keeps my soda cold even when I get busy and it does not sweat. I even had my name engraved on mine!,5,Awesome Can Coozie!,1387843200,"12 24, 2013",0.0
3,A1F02182E2913P,B0000644AF,Billie Athanas Billie,"[0, 0]",this is pretty straight forward. it does keep the cans much longer than holding them without it. a good stocking stuffer kinda gift.,5,"perfect, keeps cans cold.",1362873600,"03 10, 2013",0.432
4,A2VOP72JWPOTHS,B0000644AF,Brian Downey,"[0, 0]","Take a can from the refrigerator, put it in this double-walled vacume container and 4 hours later it will still be ice cold. Fantastic product.",5,Keeps drinks ice cold for hours,1365552000,"04 10, 2013",0.2787
5,A31RFO77JBO2IK,B0000644AF,C. Henry,"[0, 0]","Living in south-central Texas and spending a good amount of my free time in the outdoors, having the ability to keep my beer cold is a top priority. I purchased two of these Thermos can insulators, one for me, and one for a friend. They have not disappointed. I've not done any scientific tests on the performance of these can insulators, but they keep a beer cold on a 100+ day as long as you'd need to drink it.Another benefit to the stainless steel construction of the Thermos can insulator when compared to a traditional foam koozie is that the Thermos can insulator is much easier to clean. While a foam koozie will eventually get wet, and sometimes take on a moldy smell, the Thermos can insulator obviously doesn't absorb water, and can easily be washed in the sink with some soap and water.My only complaint about the Thermos can insulator is that the rubber ring around the top comes off quite easily. So easily, in fact, that I ended up losing mine while dove hunting one day. The can insulator still works in the absence of the rubber ring, but the can will flop around a bit more since it doesn't have a tight seal around the top. I'd almost be tempted to use some electrical tape around the bottom of the ring to attach it to the stainless steel if I were to ever purchase another one.Overall, I'd recommend the Thermos can insulator to anyone wanting to keep a 12oz can cold. Be prepared, though, since this thing is a bit of a conversation starter, and all your friends will want one too.",4,Works well,1357516800,"01 7, 2013",0.4446
6,AGXHCA7OUZU0P,B0000644AF,Cheryl Leland Cheryl Leland,"[0, 0]","This can insulator helps to keep can cool, but also prevents the can from being crushed. Might not seem important to most but my autistic son would always want to crush them when he would have a tantrum. This way no more crushed cans.",5,keeps cans cool for a while,1362441600,"03 5, 2013",-0.2526
7,A1O5ZVZU2P3857,B0000644AF,Chris Foulon,"[0, 0]","I bought this at a food festival from the Owner of http://stores.chillingthemost.com/ and I love it. I bought the version that has the bottle adapter for keeping your bottles just a cool. And from him, even with Shipping, its a little more than twenty six dollars.Highly recommended this cooler!!!!",5,Love this!,1369180800,"05 22, 2013",0.382
8,A2Q7DE6NA7VKAJ,B0000644AF,Daniel M. Hart,"[0, 0]","Thermos Stainless Steel Can Insulator 2700P, by Thermos.This insulated stainless can and bottle holder will keep your beers and sodas cold for at least an hour. Starting with a 12 ounce can of beer at 33 degrees, and a 16.9 ounce plastic bottle of soda also at 33 degrees, I put each of them in a room temperature 76 degree Thermos insulated holder, and left them unopened. After an hour, both the beer and soda had warmed up some, the bottle of Coca-Cola was at 48 degrees when opened, and the can of Budweiser beer was at 36 degrees when opened. I usually keep my holders upside down in the refrigerator, on top of soda bottles to save space. I also keep a gel insulated holder in the freezer, with the shape maintained by an empty beer can. Replacing the soda bottle cap will keep the fizz in the soda, but if a can of beer is left opened for more than an hour, it will start to lose its fizz and go flat. How many people leave a can of beer open for more than an hour if they plan on drinking it? In the hot sun, any drink is better than no drink, but indoors, you might just dump it and start over,-depending of course on how many beers you have already had. After a few beers, you may not even notice how cold the beer is. (-;In the future, I will update this review on how well the beer and soda stay cold when the holder is also stored in the refrigerator. This item is expensive, but well made. As a future improvement, I think that the rubber collar should be extended the length of the can, to improve the grip, and to further insulate the can by isolating the heat sink metal sides from the influence of warm hands. Four stars for this can holder.03/25/14 Update. Just for giggles, I tried the test again, this time with the holders kept in the door of the refrigerator, alongside the 12 oz. can of beer and the 16.9 oz. plastic bottle of Coca-Cola. They all started out in the refrigerator at a temperature of 33 degrees. After being placed in the holders, both of them sat unopened on a table for one hour at a room temperature of 76 degrees, and the opened can of beer was at 38 degrees, and the opened bottle of soda was at 51 degrees, probably due to the fact that the top 2 1/2 of the bottle and its soda were above the top of the insulating holder, while only 5/8 of the beer can was above its holder.Strange as it seems, the beer and soda both did a little better in a room temperature holder than in a refrigerated holder. Whodathunkit. This was not a controlled scientific experiment, but I tried to control the variables the best I could so that I could compare the results. If anyone can explain why this same thing happened with both the hard rubber holders I reviewed on 03/24/14, and these metal stainless steel holders as well, please leave a comment. The hard rubber holders had about a 2 degree difference between the can and bottle, while the stainless holders had a 12.5 degree(48&36;51&38) difference between the can and bottle. The difference between the hard rubber and stainless for the beer can was 11.5 degrees(48&36;49&38), while the average temperature for the bottle was 50 degrees (48,50,51,51) for both the hard rubber and the stainless holders. So for the plastic bottle, it doesn't seem to make a difference what type of holder you use. For the beer can, the stainless holder was a clear winner over the hard rubber holder, with an average temperature of 37(36,38) for the stainless holder and an average temperature of 48.5(48,49) for the hard rubber holder.A beer still cold at 37 degrees after an hour? Hard to beat that! These stainless holders are excellent.Next up, placing the holders in a freezer.04/18/14 Update. The freezer test. I started out with the stainless steel holders in a freezer at a temperature of -8 degrees. The 12 ounce can of Budweiser and the 16.9 ounce plastic bottle of Coca-Cola were in the refrigerator at 32 degrees, and the ambient room temperature was 76 degrees. After one hour of sitting unopened, the Budweiser was at 36 degrees, and the Coca-Cola was at 44 degrees. The soda was 4 degrees cooler than in the previous cooler at room temperature test, and the beer, at 36 degrees, was about the same as in previous tests, and exactly the same as the stainless cooler in the room temperature test. In this test, there was a 12 degree difference between the coldness of the beer and the soda, about the same as in previous tests. It does not appear that freezing or cooling the stainless cooler is any improvement over using a room temperature stainless cooler when keeping a can of beer cold, and at best, only a 4 degree improvement in keeping a plastic bottle of soda cold. I can't think of any more tests to run on this cooler, and about all there is left to say is: buy it!Sold by Corydor and Fulfilled by Amazon. Manufactured by: THERMOS L.L.C., 2550 W. Golf Rd., RM, IL 60008, USA; Web: thermos.com/ Canadian Thermos Products, Inc., 370 King Street West, Toronto, ON M5V 1J9, Canada; web: thermosbrand.ca07/09/14 Update. I have noticed that the rubber ring around the top of the can has started to loosen up a bit. I was thinking of adding some glue to keep it in place, but silicone glue might not dry without exposure to air, so I might use some rubber cement on both the can and rubber ring, let the glue dry, and then place the ring in its proper position. If anyone knows of a better glue to use, please leave a comment. Thermos should extend the rubber ring all the way to the bottom of the can, including the bottom as well, so the metal holder doesn't have any way of slipping out and landing on the floor.",4,"Even with The Can Holder At Room Temperaure, Canned And Bottled Drinks Will Stay Very Cold For At Least An Hour.",1395187200,"03 19, 2014",0.1502
9,AWJCL1N4MW3G0,B0000644AF,JayJay Bovie Muff,"[0, 0]",Anybody would think anything that insulates would be thick but this thing adds very little overall thickness. It fits the drink holders in my 2011 Mazda 3 with plenty of room to spare. Not only that you can keep change in your holder and due to the rubber bottom on this there's no jingling compared to the can sitting on the coins themselves.It insulates very well but my major reason for the purchase was to prevent the condensation and it works perfectly for that.,5,Works better than I thought it would,1386460800,"12 8, 2013",0.2644
