,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2YS9DNDQEZ45J,B000052XZX,Amazon Customer,"[1, 2]","I was looking for something to aleive my scalp build up so that my hair will grow out again. I tried Nioxin, and all it did was burn my scalp and make my hair feel dry and brittle. I had tried T/Sal a long time ago without any adverse effects. I went back to it, and I'm STILL in love with it! No burning, itching, or other adverse effects. (It doesn't strip my hair either!)My scalp is actually sun burnt right now and it didn't even agitate the burn when I applied it.",5,Sooo much better than Nioxin!,1335657600,"04 29, 2012",0.0974
1,AQLBICYNR2YNP,B000052XZX,April,"[1, 1]",This shampoo does the best job at controlling the build-up of plaques from psoriasis and removing the greasy medications I have to use.,5,best shampoo for psoriasis,1385078400,"11 22, 2013",0.6369
2,A1WLVR8F7C8X9Q,B000052XZX,brianna,"[0, 0]",I am half way through the bottle and still have problems with my scalp. I will continue to use (instead of almost everyday) to see it it makes a difference. The price isn't too bad though. so I might buy another one.,3,mixed feelings,1375488000,"08 3, 2013",0.0073
3,A22NH69NM8JHG0,B000052XZX,Carmen G.,"[1, 1]","I very badly want to leave this product a good review, but in the interest of honesty, here goes...I bought this shampoo solely on the basis of excellent reviews. Many of the reviewers mentioned this product's ability to deal with their itchy and often oily scalp. This was my concern too. A huge benefit I noticed right away was that it made my hair (not my scalp) feel really really clean- it would even squeak when I would squeeze out the water, post-shower. So, I was excited about how well it worked and how quickly.But I noticed within a day of using it that I now had a problem I never had before: flakes! So many of them, and so disgustingly visible! Further, after a day of washing, my scalp got extremely oily- more so than it did before. Still, I've been using it and giving it a chance, at least until I am done with this entire (small) bottle.I am about half way through the bottle, washing my hair every other day, and have experienced the same results consistently. However, I will use it until the bottle is empty, and if results change, I will update this review. I am hoping the negative results are just an initial reaction to new treatment. If anyone else has had this reaction and wants to share any tips, I'm all ears!",2,Caused new problem: flakey hair! And more oil than before.,1386460800,"12 8, 2013",0.1633
4,A2P99LRDXBF8NF,B000052XZX,Celeste Thayer,"[2, 3]","I guess I had no idea what 4.5 fluid ounces really was, but I happily bought this to combat my dandruff. And it does just fine! I definitely have noticed reduced flakes with this. As a shampoo, it's more medicinal - it doesn't smell great, doesn't have a smooth luxurious texture...but it does what it says so, I guess I have to reduce my complaining :)",4,"Small bottle for the price, but otherwise great",1362268800,"03 3, 2013",0.1744
5,A1U90MYVSLLFI1,B000052XZX,Daniel Murtaugh,"[0, 0]","Good shampoo. In the winter scalp can get dry & itchy, this so far is working nicely. Smell is fine - to me almost nonexistent. But it solved the dryness and itch.",4,This shampoo works well,1388102400,"12 27, 2013",0.3092
6,A373DEIH9BXSNZ,B000052XZX,Fernando,"[0, 0]","It gave me the impression that my scalp was been treated as it should to prevent dandruff. It smells like remedy. However, no so sure if it was really really effected in my case. Perhaps I should use it more.",4,On treatment,1383609600,"11 5, 2013",0.0074
7,A3HPWCO03NENL4,B000052XZX,fountained,"[2, 2]","This product works great for me. I normally have an oily, itchy scalp with buildup, and I notice that I have no itching afer using the T/Sal for a month. I wash first with Nature's Gate Tea Tree shampoo, then wash once with T/Sal (leaving on for several minutes), then condition with Nature's Gate Tea Tree conditioner.I initially bought both the T/Sal and T/Gel, so I used the T/Gel last night, and I notice I have a little itching today. I will update my review after I've used the bottle, but I already prefer the T/Sal.Update: after using the T/Gel for a few weeks, I do not have itching, but I have a dry, flaky scalp, which I did not have before. I will gladly be switching back to T/Sal.",5,Works for me,1358121600,"01 14, 2013",0.0909
8,AS2J6F9MTSDMK,B000052XZX,Gabriela Diaz,"[3, 4]","During the past two years I've been struggling with some scalp build up problems and I pretty much have purchased all the drugstore products I could find to solve this. After months and months of trying to find a solution I decided to give this a try even though I thought it was quite expensive and yes, it did start to get better right away. However, it wasn't as quick of a process as I wanted it to be so I decided to buy Head & Shoulders Clinical Strength and use it combined with this and this combination REALLY solved it in a matter of days. Since I've done that I haven't had any problems, my scalp is super clear and I couldn't be any more please. I never really stopped using this product and I don't plan on doing it but just keep in mind that this product by itself didn't really do too much. In terms of the smell I don't really like it, but it's nothing intolerable or disgusting.",4,"Works great, just not by itself!",1368921600,"05 19, 2013",0.4802
9,A31TVI6YHIQZ34,B000052XZX,Jamie,"[0, 0]",This is a pretty good product. I have allergies and one of the causes my scalp to get itchy and flaky. This shampoo has helped relieve the itchiness and flakes.,4,Good Product,1363046400,"03 12, 2013",0.2716
