,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1VLE2SH9J8WYS,B00005MOYK,Allison &amp; Bill Dunn Alli,"[0, 0]","Bought this for my 6 year old daughter. She rides it all over the place. Payed more than you could get it in the store, but it's Pink (as compared to red or blue the box stores sell), so it was well worth it. My daughter loves it!Pros:Great constructionGreat rideHard wheels...no tubes to pumpFolds quickly and easilyAdjustable height handleCons:I can't ride it",5,Great scooter,1297382400,"02 11, 2011",0.3176
1,ARTDFXKS45H3,B00005MOYK,Amazon Customer,"[0, 0]","I bought this scooter for a young family member. His mom said it was taking him a little time to learn to use it because it does take a little coordination, but he was having fun learning.",5,Works Great,1390176000,"01 20, 2014",0.3326
2,AJJH71T4KKHOH,B00005MOYK,A mom Loves to read,"[0, 0]",This is our 4th scooter. My kids just love them so much. Great toy for a wide range of kids. Never gets boring and keeps them moving. The pink is perfect and girly too.,5,so fun,1381017600,"10 6, 2013",0.415
3,A30H2335OM7RD6,B00005MOYK,apoem apoem,"[0, 1]","We have three of these, one for each kid. They have been well used by all three children and have held up well to the use. They fold down to a very slim size that fits well under our seats or in our trunk. We have had them for some time and the children are able to fold them up and open them up without extra help from mom and dad (always a plus).The one negative that I have found is that if you get the lever that is used to lock the scooter open (or closed) at all dirty it will jam and not open or shut very easily. A quick clean will fix this, but it is something to watch for.A small adult can easily use this with no difficulties. If you are a heavier adult or tall, you might want to look for a sturdier scooter meant to hold adults.Well worth the money.Enjoy.",5,Superb,1228176000,"12 2, 2008",0.1787
4,AQ5IW36LA7OLE,B00005MOYK,avsb,"[0, 0]",They love these scooters. Even with the single digit cold spell going on they want to go outside and ride them. The foot board is wide and forgiving enough for the cautions rider. The scooter collapses and stows away easily and doesn't take up much room in the garage.,4,Kids got them for Christmas,1389052800,"01 7, 2014",0.3015
5,A3QMDZTRWOIQS0,B00005MOYK,BeartoothHiker,"[0, 0]",The scooter is just as advertized. Even though we missed out on Black Friday deals this was close. The Razor scooters are very well made and durable to last through at least a couple of kids.,5,perfect gift for kids,1392854400,"02 20, 2014",0.0141
6,A9KAY47NCPQS,B00005MOYK,Beatrice Izzey Nanny Dog,"[0, 0]","a solid chunk of metal for [...]; best part is instead of whining and foot dragging, we get a child who is ready to go, and we can walk great distances, miles and miles, as a family!",5,"for [...], mobility for the family",1275350400,"06 1, 2010",0.8955
7,A2QP5ZEZ12F8CR,B00005MOYK,BONES,"[0, 1]","Daughter's first Big girl scooter (4) She was happy to get this and it put a big smile on her face when she got to try it. She can hang with her older Bro now. Good Razor quality, easy to fold for transport/ storage..",4,Nice Scoot,1392422400,"02 15, 2014",0.4785
8,A19EVWARPV18L8,B00005MOYK,Brannon Z.,"[0, 0]","This scooter folds up easily into a fairly compact form factor. It rides smooth and has taken a beating without any issues. The step brake works ok but is hard for younger children to master the use of. As such, I wish this had a bicycle-style handle bar brake.",4,Nice Scooter,1402358400,"06 10, 2014",0.0708
9,AX81FCT89MCNQ,B00005MOYK,Calum Stewart IWhiskymac,"[0, 0]","My son loves this scooter and it works great, it is pretty much as you would expect from the website. I like the braking system, press down on the back mudflap, and it brakes on the back wheel.",5,Nice scooter,1370822400,"06 10, 2013",0.6307
10,AWWBWAEQ8UUO0,B00005MOYK,Capcyclone,"[0, 0]","Love the fact this scooter can fold for storage or when taking with us in the trunk of the car. Though I think the clip you flip to fold this could be easier. (My ten year old doesn't have the finger strength to push the clip down to fold it). That's a little disappointing, but Razor's use of quality metal, foam and plastic more than makes up for this little annoyance.If you're in the market for a child's scooter - Razor is the best.",5,Razor quality is tough to beat,1370304000,"06 4, 2013",0.5643
11,A3A5VLP3RBF0RQ,B00005MOYK,Captain Insano,"[0, 0]","Bought this scooter for my younger nephew in green and he really loves it so far. It's too small for adults like myself, but for kids 4-12 it really does the trick. It rides a little rough on the street, but it's great on freshly paved surfaces and side walks. Do note that the wheels are on the smaller side, so they feel every single bump and road imperfection. Small loose rocks can stop the scooter if driven over at the wrong angle. Definitely make sure you purchase a helmet and pads along with this scooter if you have inexperienced little ones.One issue I did not like about Amazon is the constant price changing they do. When I first added this scooter to my cart, it was priced at $25, then about a hour later, when I was nearing completion of my shopping, the price went up to $30. Be weary, and pay attention to the price listings.",4,Good little scooter,1293667200,"12 30, 2010",0.0752
12,APOG4C0T3275P,B00005MOYK,Dave,"[0, 0]","It was a gift sent out of state, so I didn't &#34;see&#34; it. But my niece said it was perfect for her.",5,Niece liked it,1357516800,"01 7, 2013",0.5816
13,A3KT5SEGWNGRWZ,B00005MOYK,David,"[1, 1]","I bought this for my 4 year old daughter. She loves it. Good quality, no complaints. I would purchase another.",4,Pretty good.,1390867200,"01 28, 2014",0.3009
14,AT2Q06W05OBO1,B00005MOYK,David J. Riebe lxluthr,"[0, 0]",I bought this for my son who at the time was 6. He is now 7 and he still enjoys riding this. He is on the taller size and is about 105 pounds and it still performs at high level. He fits fine on the deck and brake works fine. Hope this helps!!!,5,Great Quality,1353715200,"11 24, 2012",0.2697
15,A2OT5UW4ADG05A,B00005MOYK,David Martin,"[0, 0]",We got this for my 5 year old daughter (pink) and she loves it. The color is great and the scooter fits her perfectly.,5,Awesome!,1390694400,"01 26, 2014",0.7119
16,AD05LV5A1SLER,B00005MOYK,eoneill Ed,"[0, 0]","I had an original Razor (got it in 2000) and wish I still had it, haha. Got this one for my daughter and she loves it. The pink highlights are nice for a girl, design doesn't seemed to have changed much over the years. It works great for her and supports me as I have tried to teach her how to stand, move, etc.",5,Daughter loves it,1400284800,"05 17, 2014",0.6372
17,A1QX4FGHSRNC65,B00005MOYK,gehrig2130,"[1, 1]","We love these scooters!! My kids are almost 4 and 5, and we all have one!! This one was for my husband--my daughter insisted he should have one to ride with us!! It didn't take any time at all for them to get the hang of riding them! We bought therex kids theirs when we were at Virginia Beach for a week (3 and 4 at the time.) By the end of the week, they had it down pretty well! We often take these for short trips instead of dragging the bicycles around! They are compact, and a lot of fun! Just wonderful! I am also not a tiny person--I am 160 pounds, and my husband is 190, so they do a good job standing up to our weight!",5,Fantastic for kids and adults!!,1382745600,"10 26, 2013",0.3039
18,A337U81HJ55SRB,B00005MOYK,GoldenElkLad,"[0, 1]","The construction is great, but I didnt realize this was made for kids when I bought it.I wiped out in the first 4 minutes and left it by the side of road. I got some road rash on my face and learned a valuable lesson.If I was a kid , i would probably be loving it.",3,warning: for kids,1386115200,"12 4, 2013",0.5101
19,A2W6B66HO0XCJP,B00005MOYK,Gordon,"[0, 0]","Bought it for my Great Nieces when they visit, so they have something to do that they like. It sags slightly when I step on it as I am at the weight limit. Well made and looks good--thinkin' 'bout getting an adult version for myself but have to pay off what else I bought first!",5,Too small for most adults!,1387497600,"12 20, 2013",0.2257
20,A3NR8Q9OJB65BW,B00005MOYK,Graciele Graciele,"[1, 1]","My son loves this scooter, he jumps very easy with it, he just turned 8 and carries this scooter everywhere with no problem, so it's not heavy for him. The scooter is worth the price. I recommend it.",5,My son loves it...,1352332800,"11 8, 2012",0.4779
21,A1MXJVANURX26J,B00005MOYK,G. Wells,"[0, 0]","The seven-year-old is on this all the time. We customized it with some colorful neon animal print duct tape for easy identification, since the local Brooklyn park we frequent has DOZENS of these things lying around.The steering column and front wheel have slid out of alignment a couple times, but were easily fixed. Just keep an eye out for it.",4,neon animal print duct tape!,1344988800,"08 15, 2012",0.1437
22,A31SW745HVDL3,B00005MOYK,Halston,"[0, 0]",I have a scooter that i got for my b day when i was 5 and it looks completely brand new. The only thing that i wouldnt do is if you get one dont go really fast then stomp on the brake because then the tires get worn out but they still work and you can buy replacement tires. overall...... AWESOME,5,scooter,1307577600,"06 9, 2011",0.1179
23,A2IP5YRO1LVUK8,B00005MOYK,H. Cornelison Organic mom,"[0, 0]",My kids love their razors. Ride them everywhere and already went through one set. Lasted several years of hard riding and play. Great!!!!,5,Must have,1361059200,"02 17, 2013",0.3206
24,A2WJH1QD0M9X51,B00005MOYK,Heather F.,"[0, 0]",The price is great. My kids have so much fun scooting around. It's great for getting out and getting some exercise.,5,Great fun for kids!,1355529600,"12 15, 2012",0.6013
25,AU2QC1ERMDL7Q,B00005MOYK,Heath Johnson n2johnson,"[0, 0]","I had one of these in college. My son wanted one for Christmas, so we got him this one. I can ride it (250lbs) and she works great. Very adjustable, so it will grow with him for a long time.",5,Good as always,1391731200,"02 7, 2014",0.1562
26,ATNZ6ZION5HI1,B00005MOYK,.,"[0, 0]","Since the Razor originally came out, there have been many other types of scooters competing for our attention: 3-wheel, 4-wheel, and larger wheel scooters -can- fairly be called improvements, but the Razor is still all that most of us need, for short trips a bit faster than walking. Sure, you can't fit two feet side by side on it, it doesn't have suspension of any kind, and the small wheels get hung up on sidewalk seams, but it gets you where you're going three times as fast, (it really -does- roll smoothly), it's -very- compact, and -very- inexpensive. Unless you plan on spending -many- hours a week on your scooter,(in which case a couple hundred dollars may be a fair expense for the big-wheel advantages), I recommend a Razor .",5,still a good idea,1199750400,"01 8, 2008",0.4085
27,A8CKMK1CJM0X0,B00005MOYK,hesty24,"[1, 1]","I needed 3 of these for my boys, and of course they had to have their favourite colour. These scooters arrived at my Post office in less than a week at a overseas military address. Scooters were exactly as described. Adjustable height for the handle bars. Capable of folding up to a relatively small size for stowage, or travel. Why the 4 stars as opposed to 5? This is because the handle bar shaft fits somewhat loosely in the neck of the scooter. I would expect it to be of a tighter fit. Every Razor scooter I have ever seen or handled demonstrated this looseness in the neck. Other than that they are great!",4,Save money and get them on Amazon!,1379635200,"09 20, 2013",0.1402
28,A1TZCOXEFT8XP8,B00005MOYK,HuoXingC Ninja MidgetChan,"[2, 2]","I remember having a Razor A Kick Scooter about a decade ago when the original first came out, and it was pretty handy for traveling short distances (e.g. to/from school or neighbor's house) when a bike wasn't necessary. It was a fun, easy, and convenient to ride...until someone borrowed mine indefinitely. Now, as a college student, I wanted a scooter as a means of transportation to grab lunch and run errands off campus without the hassle of driving my car.I must say that this A Kick Scooter is just as awesome as the original I had a decade ago:+ looks pretty much the same+ conveniently folds up the same+ rides smoothly just as before+ no annoying wheelie bar+ different colors to choose from+ brakes on back wheelSimilarly, it still has the same problems as before:- the brakes don't slow the scooter down fast enough- the wheels are too small- no suspension- not designed for the bigger and heavier kidsNote that it's a very basic scooter offered at a very affordable price, so don't expect to use this for doing tricks. The fact that it folds is all ready a good enough reason not to take this to a skate park. Since it has no suspension, I would avoid riding this on bumpy and/or uneven grounds. Even as a small adult (4'11, 105 lbs), I feel as if I'm about to bounce right off the scooter whenever I'm going down a bumpy road or sidewalk. Also take note of the weight limit. It would definitely benefit from a suspension system and slightly bigger wheels, but at the same time, remember that this is a classic kid's toy. If you're an advanced scooter rider, and adult, or you're anywhere close to the weight limit or above it, I would recommend getting a different model that has a higher weight capacity, bigger wheels, and a suspension systemRazor Pro Model Scooter. My bf, who is 6' and about 180 lbs, can barely move my scooter. If you walk around a college campus and see a rather pudgy college kid riding one of these, you'll notice it's all ready squeaking for help.Overall, I recommend this specific model for kids and small adults for basic use. If you're an average sized adult, go for thePro.",4,BASIC scooter for KIDS and SMALL adults,1347840000,"09 17, 2012",0.2984
29,A1LX8K5L3CGC1A,B00005MOYK,IceOnFire,"[0, 0]",My son love his razor scooter. He is 5 years old and he is now a speed pro on this thing!!,5,Great little scooter,1294358400,"01 7, 2011",0.2123
30,A3PGS9RW2MAT0N,B00005MOYK,Jae Rosemeyer,"[0, 0]","I bought this for my daughter as part of her birthday present this past February. Unfortunately, being a winter birthday she couldn't go outside and use it except for a couple days when the weather has gotten better(it's late March right now). However, she has been scooting around the house for the last few weeks and has gotten the hang of it pretty well. All the neighborhood kids already have these scooters so it'll be nice for her to race her friends!I'm giving it an OK rating because aside from assembly being super-simple(just unfold it and it 'clicks' in place) and looking like good quality(that's why I went with the Razor name instead of a cheaper alternative) it has already started loosening around the headtube. It's to the point where the front wheel can completely turn a different direction than the handlebar if you put the lightest pressure on it! I'm almost afraid to let her go outside now and use it on the sidewalks(she does have a matching Razor helmet which I always make her wear). It's only been used in the house for a few weeks and shouldn't fall apart like this!Unfortunately, I don't have a big enough wrench nor do I know what size headtube wrench to buy on Amazon. We've had numerous bikes at the house over the years and I can't remember ever once having to tighten the headtube. I wonder if this is a common issue? If anyone knows the answer to my questions I would greatly appreciate it!Jae",3,She loves it!,1395360000,"03 21, 2014",0.1199
