,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AA9ZSOIWYST12,767002652,2CV,"[0, 0]","Not the caliber of Downton Abby, but none-the-less entertaining! Most of the actors did a fine job and made the characters very believable. Season 2 was also just as good. I think I will re-watch the original series from the 70s as it has been so many years.",4,Entertaining!,1368489600,"05 14, 2013",0.3977
1,A2E1EFNIZL2FVA,767002652,&#9899; RIZZO &#9899;,"[0, 0]","I stumbled onto this wonderful period series recently, never knowing or remembering that the masterpiece production dates back to the early 70s. The show, however, takes place in the early 1900s in posh London. It is truly a first class operation, fine acting, beautiful sets, superb period costumes, enthralling storylines, and just plain fun to watch; yes there is a share of humor.The premise of the show is the upperclass extremely wealthy family of four, parents and their two adult children. The adult children make their presence periodically, and the servants have their share of dramatic escapades in the lower part of the mansion.The characters are all memorable, engaging, and quite entertaining to absorb. What makes this such an addictive series to watch is what you learn about how the wealthy and servants behave, perform, and communicate. The episodes take you several places without one getting over exposed by the same sets. It is a wonderful lesson on historical periods.What's good is that you may need to use the subtitles, due to the accents, and just to learn so many new phrases and words that cover interesting topics that one is no familiar with. The subtitles for Season One are very good, no gaps, and correct titles.Plus, the episodes are fast-paced, nothing drags, content is filled with dialogue.Once you start this, you just keep going into more and more.... I call it addicting.... Love it! Rizzo.",5,Definitely a masterpiece! How refreshing,1354060800,"11 28, 2012",0.4562
2,A31QD16CDM0PE2,767002652,A. Bernard,"[0, 0]",Like Downton Abby this series is enjoyable because of the interplay of the characters. If you liked Downton Abby you will like this.,4,Like Downton Abby,1389052800,"01 7, 2014",0.6542
3,A3VBOZ6RW58XDE,767002652,AIDA K BARNETTE,"[0, 1]",I've only watched one episode so I'm withholding full judgment for now. I'm also doing my best to keep an open mind since I've been spoiled with Downton Abbey.,3,Jury still out on this one,1396396800,"04 2, 2014",0.3185
4,A1GL32GNX83AZ2,767002652,Airport FAn,"[0, 0]",So many have Panned this as a poor effort to replace a beloved series but I for one say how sad BBC stopped it before it could take off yes its wonderful to see Rose again and see the inside of a great or nay minor house as it tries to weather the storms of life war and personal choices and yet its still heartwarming and touching I just wish they kept it going,5,Awesome sequel but Sadly too short,1372118400,"06 25, 2013",0.9042
5,AAZRWLML88IZK,767002652,A kids review,"[2, 3]","One of 2011's best TV releases, this is a must-see even if you've not seen the original program. Buy this now!",5,Upstairs Downstairs,1321142400,"11 13, 2011",0.2501
6,A4V4YUEA4HJBS,767002652,AlaskanBargains,"[0, 0]",It's a great series with interesting characters and fabulous costumes! A window into an era of war and changing alliances. Fascinating!,5,Enchanting!,1383264000,"11 1, 2013",0.2912
7,A15GHI0YOBYL1F,767002652,Alice Francis,"[0, 0]","But then again I love BBC television - especially the older stuff where there is great language; no violence, no swearing - nice change.",5,Great,1361836800,"02 26, 2013",0.9777
8,A2E5ZK0NAI7ONF,767002652,Amazon Customer,"[0, 0]",On the same vein as Downton Abbey - it's cast of characters are great. Needless to say that I am a big fan of Britain's high quality shows.,4,Another from Britain,1392681600,"02 18, 2014",0.4716
9,A2NXF7JXGR9XV8,767002652,Amazon Customer,"[0, 0]",So well done. We've watched it several times. So sad there are only two seasons but it was canceled ironically because of Downtown Abbey. If you love all things British (or even if you don't ) this is worth the investment of your time.,5,So well done...,1404604800,"07 6, 2014",0.1925
