,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2TN0U8173HM7A,B00000J1SC,acanal,"[0, 0]",I have purchased many of these Belkin Velcro Cable ties over the past few years. They are well made and very useful.,5,Belkin Velcro Cable ties,1354752000,"12 6, 2012",0.3239
1,A6GSTJCNZY4IW,B00000J1SC,A. Kaufman,"[0, 0]","I love these things, in fact I use them in my backpack to manage the cables I travel with. Power adapters for tablets, phones, chargers and computers, with all that i carry a bunch of cables. so its nice to have these!",5,Great!,1372896000,"07 4, 2013",0.3863
2,APT7V2Z8MO6T0,B00000J1SC,AKVHutch,"[0, 0]","If you have cords that you want to identify or cords that you need to pack away then these are excellent. I use them on my laptop power cords, headphone cords, etc.",5,Very helpful,1355356800,"12 13, 2012",0.3062
3,A34X9CGJCEE5Q5,B00000J1SC,Amazon Customer,"[0, 0]",My stereo system was a jungle of wires once i used these cable times I tamed that jungle. I love that I can remove the cables that I no longer need and add new cables without cutting cable ties.,5,Nice and neat,1373414400,"07 10, 2013",0.261
4,A1UB46NT3QX94A,B00000J1SC,A Music Lover,"[0, 1]",These work and look exactly as expected. Easy to use. What more can I say about Velcro strips? Evidently I need to say more to meet the minimum word requirement to post this review.,5,Works as Advertised,1386806400,"12 12, 2013",0.1101
5,ASCBJEPXTOU0V,B00000J1SC,Bacon,"[0, 0]",This are great. They are high quality. Nothing more to say really except that they work. I use it for all the cables on my computer.,5,Good,1386806400,"12 12, 2013",0.1562
6,AHRWSHIMCV963,B00000J1SC,Ben Garcia,"[0, 0]","Cable ties works as they are promised to. Was able to organize the cables behind the TV, looks much better. Preferred to use these over the smaller ties, the larger velcro straps allow multiple larger cables to be bundled together.",4,Works Great!,1376265600,"08 12, 2013",0.3426
7,A3LQI6DLFEXOVJ,B00000J1SC,BobbyB,"[0, 0]",They work as I expected they would without too much extra material left over and here are my last words.,4,I like them.,1396483200,"04 3, 2014",0.0
8,A5ZGJBOPDRVQL,B00000J1SC,Charles,"[0, 0]","Quick, reusable, and color coded... these velco cable ties are a fast and effective way to cable management. Easy and reusable, unlike zipties.",5,Reusable,1356652800,"12 28, 2012",0.4586
9,A35OQ29USFZHDN,B00000J1SC,Chris B. crispy2226,"[1, 1]","i definitely prefer the radio shack ties because you can adjust the tie to the size of the tie to the cable, and the whole strip is velcro so no extra cable hangs off of the bundle. but these are a little cheaper and work most of the time too.",3,better options available,1295222400,"01 17, 2011",-0.0215
10,A33LBTRTH6XOLE,B00000J1SC,Daniel Allen,"[0, 0]","Good Product and different colors come in handy for using a certain color for a specific device, they are priced right so like me I bought 5 packs that way I have 5 ties of the same color.",5,Good Ties,1398038400,"04 21, 2014",0.8042
11,A1GZTVDFGF71XM,B00000J1SC,Dennis Minnick,"[0, 0]","These are OK for wrapping cables behind your desk or something like that, but they do not attach to cables. If you are putting them on cables that you wrap and unwrap on a regular basis these are not so good. Seemed to be designed for semi permanent installations, not for daily work",3,Ok but not great,1374105600,"07 18, 2013",-0.0196
12,A3LM4LWX9M14BI,B00000J1SC,Derek Godwin,"[0, 0]","For no more than they cost, I would recommend these to everyone. Yes the colors are rather primary and boring, but they are dirt cheap and have withstood daily use and abuse.These travel around in my flight case and camera bags all the time and still work great. I'm ordering more as soon as I finish typing this review. Seriously, stop reading and just buy them already!",5,Buy these,1396224000,"03 31, 2014",0.0409
13,A4OGL6HINEZVL,B00000J1SC,D. Hirsch,"[0, 0]","As others have noted, there is only a small amount of velcro to hold.Also, I like the type of ties that you can wrap first around the cable (so you don't lose the tie) and then around the bundle.With the way these work, you can't do that.If you want ties in different colors and you won't be using them much (e.g. wrapping up a cable and storing it in a drawer until you need it) then these might be ok..but for the road warrior trying to keep all his cables organized, pick something else.",2,There are better choices,1389657600,"01 14, 2014",0.3099
14,A3V6YL38FIEDP,B00000J1SC,D. Mckenna Keays,"[0, 0]","These were purchased as an &#34;add on&#34; item and must say that they fit the bill in our house. We use them as a tie on the cords for equipment that we move around the house. Easy to wrap and unwrap. Thanks, Amazon!",5,Just what we needed!,1356912000,"12 31, 2012",0.35
15,A7N1JRLTA65IE,B00000J1SC,Doc,"[0, 0]",As someone with far to many computers anything that helps me tame the mess of wires is welcome. this fit the bill well and I like the tab that makes them easy to remove.,5,Just the thing to clean up those wires,1380672000,"10 2, 2013",0.6584
16,A2ZBL197CLFKPK,B00000J1SC,D. Parker,"[0, 0]","These are great. That the hooks of the velcro only occupy a small strip on the band isn't a big deal. They hold well, they're colorful, and good quality. My strips from eight years ago still work.",5,Bought these eight years ago and then again last month,1352332800,"11 8, 2012",0.3093
17,A1MCVOZSB6GDI8,B00000J1SC,DPBOSS,"[0, 0]","I use these every day for keeping cords neat since I have a lot of computer equipment, ipad accessories, power cords, etc.",5,Have a lot of computer equipment - Nice to keep cords organized.,1364601600,"03 30, 2013",0.4588
18,A2BYV7S1QP2YIG,B00000J1SC,Dr. Oceanfront Oceanfront,"[1, 1]","These little cable ties may not be of the highest quality, but they do work, and you sure get a great deal considering the price.There is only Velcro on part of the strip, so I don't know how long the tie would last if you were tying and untying it all the time. What I have found, is that if I just tie something up and leave the cable types alone, these work great.I am happy with them.",4,For $1.13 you can't go wrong!,1392422400,"02 15, 2014",0.6119
19,A1IZZLH62NT5F1,B00000J1SC,dtsm,"[0, 0]","I travel with cpap machine and this works great for my hose, power cord and extension cord. Highly recommended, A+++",5,Excellent,1400457600,"05 19, 2014",0.4483
20,AFTOBK4M64RVV,B00000J1SC,D. Weathers,"[0, 0]",I use these all the time to organize my cables and power cords. They are long enough to do a great job (nlike some that are too short to wrap the entire cable).I recommend them.,4,Organize your cables!,1355961600,"12 20, 2012",0.3825
21,A31GOE0Y2JM17C,B00000J1SC,D. Williams,"[1, 1]","This is cool and all, but I was a little upset when I found out I could buy it at the dollar store for about half the price.",4,Works as advertised,1286236800,"10 5, 2010",-0.3205
22,AI43VKPN5NF7D,B00000J1SC,Edd Anderson ezduzed,"[0, 0]","I have been using these for a few years as I use Belkin A/V Pure cables a lot. The colored ones are nice, think I will use them to color code cables.",5,Nice Product,1371081600,"06 13, 2013",0.2107
23,A1EAN2SFKYBJ05,B00000J1SC,E. Hunter Hale,"[0, 0]",A simple little product that is a great help in keeping control cords used on a video jib. I like having them in various colors so as to be able to keep track better of several different cords. These are well made.,5,It's All About Control,1359331200,"01 28, 2013",0.5704
24,A13HO1F4SW568P,B00000J1SC,Eric Nelson,"[0, 0]","I love this things. I use them to keep wires contained and out of the way, and I use them to keep things organized and handy. They can be reused over and over, and the colors help to organize and mark things.",5,You'll love them,1384300800,"11 13, 2013",0.3463
