,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LBAC84TLIGAX,B00000IODY,ACEMAN1 HERE TO PISS YOU OFF,"[2, 9]","I tried to like this game, I really did, but the controls are horrible and some of the worst I've experienced when trying to shoot something. When playing I also wondered why it took developers so long to utilize the second analog stick and why it took so long for them to learn how to develop for the Playstation platform. While the story is well-done, it was hard to appreciate under the terrible gameplay. So I'll understand if Syphon Filter fans hate me because of this review, but seriously the gameplay is terrible.",2,"SORRY, BUT IT PLAYS TERRIBLE 4.75 OUT OF 10",1195776000,"11 23, 2007",-0.4374
1,ACGBAI00YLEBW,B00000IODY,A. Navarro,"[0, 5]","This is an early military simulation type game, and pretty much obsolete, basically a mediocre pastiche of other stuff being done at the time. The graphics are supposed to be photo realistic but they aren't, the ideal in these types of games is that it should look like a helmet cam worn by a soldier in real life. Everything looks very matter of fact... This isn't a beautiful game to behold. The psn version that I have glitches and freezes up often, I don't know if that was a problem in the original or not but it probably was. The Gabe Logan 3D model is the worst that I've seen in a ps1 game, he has a Sasquatch body with a Lego character face, and stands and walks like Sasha Mitchell. That has nothing to do with the limitations of the system but instead it's a limitation of the artistic ability of the people working on the game. Controls are pretty close to as bad as it gets, very hard to steer your character, mostly worthless auto-lock targeting. There is some creativity to the level design, some okay variety, but there was better stuff being made back then. I stopped playing a level or two after the helicopter boss, because the enemies start wearing super flak jackets that take more than one clip, it turns into a head hunting game where you have to go into manual targeting mode and are left a sitting duck unable to move from the sucky controls.",2,Sort of fun and unintentionally funny.,1346889600,"09 6, 2012",-0.1227
2,A2582KMXLK2P06,B00000IODY,B. E Jackson,"[1, 19]","WAY too many positive reviews for such a crappy game. That's what I think. Syphon Filter is atrocious. I received this game as a Christmas present (gee, what a crappy gift) back in the late 90's. I thought to myself well, all the N64 players have Goldeneye, I can compete with them when I receive Syphon Filter for my Playstation! How wrong I was.It's not that the actual game is bad. I mean, walking around shooting people is fun, and it's also fun to avoid being seen and make it to the end of the level without having to fire your weapon once (and having to remain VERY quiet while doing so). The problem is that the difficulty is incredibly high and the storyline is about as interesting as watching the paint your baby brother smeared all over your television set dry.Without a certain special code it's REALLY hard to get *anywhere*. The storyline is similar to one you'd see in the TV show Jag. It's just not interesting to me. Walking around shooting people is fun, but that's all the game has going for it. Now imagine if that special code didn't exist where you can kill people in just one or two shots. The difficulty would be out of this world.I also hate the game for the bad memories connected to it. The Christmas I got the game, I had a few bad personal things happen. But looking back, Syphon Filter really isn't any good. It's not surprising to me that the game is going for only a couple pennies right now used, and only a couple dollars to buy brand new. It's not even worth THAT much!",2,just avoid it,1152403200,"07 9, 2006",-0.1675
3,A1WEZUBX8JM1TP,B00000IODY,cykill,"[2, 2]","simply awesome. if you havent already played it, get it, youre gauranteed to love it. its the birth of spectacular stealth adventures. and you can buy it for as little as three dollars on amazon and it will play on playstation 2.",5,an icon stealth game,1050883200,"04 21, 2003",0.4657
4,A1ZYZ5853ZADZA,B00000IODY,Eric Johnson,"[6, 8]","Following the popularity of Metal Gear Solid, Syphon Filter is a game that stands up very well on its own. It has enough that is different that it can be considered a very good game in its own right. SF has a very nice blend of shoot-em-up and stealth missions that it is never the same thing over and over. However, it does find a few things lacking. The save system is horrendous. You can only save at points that are very far apart. The checkpoint system which allows you to restart at the last checkpoint helps this a little, but being able to save a checkpoints would have made this game much better. Also, some scenarios are very difficult, especially if you've been playing it through and miss one detail. Most likely, it's a detail that you will miss everytime, which can make a few missions very frustrating. The cut scenes are good and the game control is good. The wide variety of weapons is very interesting as well. All in all, this is a very good game marred by a very few flaws.",4,A great Metal Gear Solid clone,962668800,"07 4, 2000",0.2754
5,A1PX6UVOQZKLX5,B00000IODY,Frank Munoz II,"[0, 0]",Arrived in a timely manner and in great condition. No problems with the game and thoroughly enjoyed playing it. Recommended to those who grew up with the PS1.,5,Great condition,1378166400,"09 3, 2013",0.5378
6,A23KDYA7YGPEWW,B00000IODY,Gil,"[5, 5]","During one of my many ventures to my local game store a year and a half ago, I came across a game called Syphon Filter. Intrigued, I went ahead and bought it, popped it in my Psone, and to this day, it is one of the best games I have ever played. I have beat the 1st, 2nd and 3rd, and am on my second pass through the series. I will then give the Omega Strain a go on my PS2 once I am finished with SF3. While I have read no so favorable reviews on OS, I think it would be fair to at least give it a try.You are Gabe Logan, a special operative for a super secret government orginization aptly named The Agency. Your mission is to find a dangerous chemical stolen by terrorists from a lab and stop them before they destroy the world. You are remotely partnered with Lian Xing, another agent who guides you through your missions and later on in the game is in action on the ground.You are gradually given an arsenal of weapons as each level moves forward. Among them are: There is the Silenced 9mm handgun, the .45 handgun, the G-18 Pistol-machine Gun, , the HK-5 Pistol Machine Gun, the Shotgun, the Combat Shotgun, the PK-102 Assault Rifle, the M-16 Assault Rifle, and the K3G4 Assault Rifle just to name a few.In each mission based level, you must accomplish a variety of objectives, and eliminate a tough boss at different intervals. You will use stealth at times, or just face enemies head on. The interesting part about this game is that it really draws you in, and takes some interesting twists and turns as it progresses.As for gameplay, it is fantastic and addicting. While the levels are challenging and tough at times, they are not overly frustrating or extremely hard. Some levels and missions are easy, and others will take a few times to get through. It will be a bit of a challenge if you play this for the first time, but you won't become overwhelmed as in similar games. As you play it a second and third time,though, you will become familiar with the layout of the levels and more or less breeze through. As an example, I was able to shoot down the chopper on the base tower after 5 tries, as opposed to 30 attempts during my first run through the game over a year ago. You will also attain some tricks along the way as well, such as becoming more effective at headshots and so on. I have found that it's the little things that get you through this game.As for game layout and graphics, excellent, IMO for 1999 PS1. Great voice animations and camera angles as well.While there are many new games out, especially in the wake of the XBOX 360 and PSP releases, I still encourage you to give this masterpiece a try. You won't be disappointed.",5,"Awesome, addicting",1134432000,"12 13, 2005",0.1311
7,AD5KJTU24CKTP,B00000IODY,G-Money,"[0, 0]","Syphon Filter is a good 3rd person shooter with stealth elements. People have to remember that this was one of the early 3d games that tried to incorporate stealth elements, so it is not as smooth as some of today's games, but it is still pretty well done in my opinion. The game has its flaws, but was a very fun game and the difficulty was just right. Not too easy and the boss fights were pretty sweet and did require multiple attempts on my part. I have the disc version for the PS1, so I cannot comment on the digital version.",4,Fun 3rd person shooter,1363824000,"03 21, 2013",0.3703
8,A19OVRG42RGXYC,B00000IODY,Landon Bushner lb,"[1, 1]",Syphon Filter is a awesome game it was pretty advance in stealth reminded me of mg and splinter cell i only wish they would remake it and the others for ps3 with updated graphics,5,Pretty Awesome for its time,1257724800,"11 9, 2009",0.8658
9,A2K58LB86EC0QM,B00000IODY,Maxime Manuel M Square,"[0, 0]",This is one of the classics here. Same as Syphon Filter 2. I loved this game 12 years ago and I wanted to buy it and play it again. It's fantastic with the rollings and all the weapons.Great game!,5,Great Game,1366934400,"04 26, 2013",0.3353
10,A4TALUD8B6FT2,B00000IODY,O. Aguilar All Hail Jah,"[2, 2]","This game is indeed what started it all. The graphics were great, considering its an early PSOne release. The storyline is a bit farfetched and predictable, but likeable (and face it, you've seen worse). The controls are extremely easy to work with, the missions are satisfactory, and you get to shoot ppl. What more do you want?",5,What started it all...,1185062400,"07 22, 2007",0.2479
11,A29R9J2OJTFAT8,B00000IODY,phoenecians,"[0, 0]","The game is excellent. The plot is good. I mean, what can be better than a deadly poison killing people? But the graphics could have been infinitly better. The faces are flat, and have hardly any detail, and that is in the movie scenes! The graphics are esspecially bad in gameplay. The guns, well let me just say it leaves more to be desired. Blood is extremly fake looking, but there is tons of it! But the actual play itself is very fun.Now for the sound. Music is okay. Gun fire sounds are awesome. But the one thing that could have been changed are the voice overs. As soon as one is finished speaking, the other one cuts in right away. Not a very big deal, but it wears on after awhile.Graphics 3/10Sound 7/10Gameplay 10/10Blood Content 9/10Overall 7/10",4,"Good game, but it needs a make over.",1030406400,"08 27, 2002",0.0741
