,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LBAC84TLIGAX,B00000DMAX,ACEMAN1 HERE TO PISS YOU OFF,"[1, 1]","This was the first real game I ever played along with the first I ever owned. Despite the fact that I've grown out of many kids games and spend my time focused on M-rated games with a lot of violence or sexual themes, this is one of those games I most definitely have not grown out of. I love the tracks, the weapons, the characters(Yoshi's my favorite), and simplely how much fun this game still delivers to this very day. The replay value is endless, and multiplayer is still very engaging(It's always fun to humiliate your friends at this game). This game is what got me started on games and it will continue to be one of my most memorable games in my life as a gamer.",5,NEVER GETS OLD 9.5 OUT OF 10,1195689600,"11 22, 2007",0.3932
1,AMP7TQRWAIE84,B00000DMAX,Adrian Cooper That Guy from Venus. :D,"[1, 1]","It has spawned such classic levels (as I recall) such as Luigi's Circuit, Moo Moo Farm, Frappe's Snowland, Toad's Turnpike, Koopa Troopa Beach, Banshee Highway, Bowser's (infamous) Castle, Wario's Stadium and the ridiculously long and bright track, Rainbow Road, which has spawned at LEAST 5 different versions throughout the series!My all-time favorite level in the game is actually Sherbet Land. It's filled with ice and is just fun to cruise through! And the penguins that you can run into are so cute!The playable characters are your basic eight: Mario (balance), Luigi (balanced), Princess Peach (lightweight), Toad (lightweight), Yoshi (advanced), Donkey Kong (heavyweight), Wario (heavyweight) and Bowser (the heaviestweight).This game is very, VERY easy to just pick up and play with friends. The controls are simple as all get out and the characters look pretty cool, for a N64 game. The sounds they make are cool too!If you want something that 4 guys (and/or girls) can enjoy, this is the right move!* PROS *-Bright, colorful boards.-Addicting sound effects.-Semi-interesting characters.-Fun tracks.-4-Way BATTLE. Nuff said.-8 Semi-unique characters* CONS *-Sound comes through in 1-player or 2-player mode, but fails to when playing with 2 or 3 friends-16 levels just isn't enough to satisfy the average gamer's thirst-The music can be annoying/nauseating to some-When you're in 1st, you get crappy items. When you're last, you get the best ones, usually landing you in 1st/2nd/3rdCons aside, I spent countless hours with friends that I cherished playing this game. It will bring smiles to your faces for months to come. If you like this and own a Nintendo DS or a DS Lite (shame on ALL of you who don't!), then I totally recommend Mario Kart DS also. More levels and more mayhem. Did I mention even more characters?!4.5 stars.",5,Great game overall.,1191024000,"09 29, 2007",0.2885
2,A3A1E05J5PXADW,B00000DMAX,A Humble Reader,"[0, 0]","even with all the improvements in systems, games, graphics, etc., this one remains a classic in all sense of the word.",5,classic game,1388448000,"12 31, 2013",0.3182
3,A2AV2TR28DGSGC,B00000DMAX,ajnrules ajnrules,"[2, 3]","People say GoldenEye was a much multiplayer than this game, but I've spent more happy hours racing my friends in Mario Kart 64 than blowing people up with proximity mines in the Complex in GoldenEye.Lots of people extol the graphics in GoldenEye, but graphics in Mario Kart 64 is better. First of all, it has a lower polygon count and the characters look much better. The gameplay is simple, but that only means it's easier to learn. The card that comes with the game tells you everything you need to know so all you have to do is plop the game inside the console and start playing.So the characters don't say much. It's mainly just a simple &quot;Yippee!&quot; or &quot;I'm-a Wario and I'm-a gonna win!,&quot; but there's much more in-game speech than GoldenEye. Sound effects are fine too. The soundtrack is excellent. It ranges from coutry to smooth jazz. Even some major critics of video game music I know have said that the music here is great. You know Koji Kondo's doing something right hearing that.Mario Kart 64 is addicting with four players, and it can be addicting with one player too. The Time Trials may be a little disappointing, but the Mario GP had me coming back for more.The game is one of the best racing games on the N64. It's better than WaveRace, Diddy Kong Racing, F-Zero X, and even Excitebike 64. Heck it's one of the best games on the N64! If you haven't played this game, then you don't know what you're missing.",5,The Game of 1997!,975369600,"11 28, 2000",0.2971
4,A1ZPVW0WXNJ3YZ,B00000DMAX,Alex 47,"[0, 0]","This was the first 'Kart' game quite like this.. there isn't any 'Kart' game like this either outside of the Mario franchise. If you think you can find a better Karting game out there, I'd like to see you find it and show me, because from my finds and plays, this is the only game that is worth playing. From DK to Bowser, Peach to Toad, this game has most of the characters that have been involved with Mario in some way. The graphics are great for its time, the sound is fun, the worlds are colorful, the idea is great. Who wouldn't like this game- at ANY age? I'm not sure, but if you don't, you amy need to see a doctor. This is the best Kart game ever, and the best Mario Kart game ever.",5,Amazing,1117411200,"05 30, 2005",0.4084
5,A1VNI8SZ045QY1,B00000DMAX,Anohka,"[0, 1]",I have loved this game from day 1. I was happy to find it and receive it quickly and safely.,5,Very Happy,1322006400,"11 23, 2011",0.692
6,A17GUOF4ZMHXDY,B00000DMAX,Bonnete,"[0, 0]",Cool game.But I think Toad is the fastest of the crew. I usedto be an expert at it.I was even born an expert....,5,A cool game Even better than Super Mario Kart super circuit.,1042243200,"01 11, 2003",0.1591
7,A2II09GQGWOMTQ,B00000DMAX,Brian Nallick METALMANMN,"[1, 1]","Excellent game all around except one thing....The game CHEATS.You can be in first place and magically all the computer controlled racers somehow manage to catch up to you anyway.Now, if you're in last place you literally have no chance of catching up.Not fair.Not cool.That aside....if you develop your skills you'll still win.After much practice I still managed to beat the game even though it blatantly cheats.Great graphics.Every character you love from the Mario universe.I think Toad is my favorite, when he gets hit LOL. The noise he (it?) makes is hilarious.The courses are inventive and enjoyable.The music fits in perfectly.Did I mention it cheats?That's my only complaint.Otherwise another five star winner from Nintendo.Highly recommended.",5,Incredible racer.,1296518400,"02 1, 2011",0.5365
8,A4Z6FZUXI5U,B00000DMAX,Celia R.,"[0, 1]","This is a must-have for your N64. It is fun to play by yourself, but the most fun is when you play with 1-3 friends. :) The graphics are not the greatest, but it usually doesn't affect the gameplay. A classic N64 game.",4,Mario Kart 64,1312243200,"08 2, 2011",0.2239
9,A2W64CYLK7KQ8L,B00000DMAX,Chaos_Theory,"[0, 0]",I used to play this game all the time when I was a kid. I recently came into an N64 and just had to get it. Game works perfectly and it arrived quickly.,5,Memories,1373241600,"07 8, 2013",0.3256
10,A1A6F2JFGFIP7J,B00000DMAX,Chris,"[0, 0]","This is an excellent game! Once you start playing you cannot stop until you actually beat it! This has averythingn a GOOD game should have: Excellent graphics, excellent gameplay, good2-player mode, and good sound. The only flaw in this game is... well... their are no flaws, this game gets a SOLID 5. Thanks for reading my review. Happy Gaming. P.S. Don't buy Pokemon Snap... Thanks!",5,EXCELLENT Game,1024704000,"06 22, 2002",0.423
11,AQAMD65HGUGMO,B00000DMAX,cj the great,"[2, 2]","Truly a classic. This game was one of the first I got for the N64, and it is one of my favorites today. As it gives graphics that were hardly ever seen in the early N64 days, it also has gameplay almost unmatched by the games of it's era. The sound is moderate, but sound isnt a very big facter in deciding the rating of the game.A followup on the early SNES version that was also a hit, this game was certainly watched before it's release date, as it stormed into the N64 world and took many fans (as you can see from it's very high review in many chances) right away. It was considered as a very high class game then, and now too. Many of the N64 owners today have one in their hands, and many of those have played the game for over 24 hrs.This game has wonderful graphics and sound for the era that it was made in. The size of a typical game back then, but with the technical advancements of some of the games today. The graphics are very good, as you can distinguish all characters and objects faster than immediatly. The game also shows no slow down rate no matter how many characters or items are on the screen at the same time. The sound is entertaining for a while, and it is different for almost all of the 16 courses, showing wonderful compositions with goofy sound added noises at parts.The gameplay is also great. You may pick one of 8 characters to race with. On a small go - cart, you must race on one of the 16 courses and try to get in first. There are many modes. You can race with a group of 8 racers in a grand prix mode, where you may race a total of 4 races and accumulate points. A vs. mode race will put you against a friend or 2 (or 3) in a single race. There is also a battle mode, which will put you against 1 to 3 other players where the last one alive wins.The items in the game play a big part. Some will boost your speed, while some are used to slow down enemies. Some steal enemies items, and some let you do things such as go invincible or invisible. Most of the however, are used to smash your opponents into the air and slow them down. In battle, it will be used as one of 3 hits to destroy the enemy.The characters are the typical mario game characters: Mario, Luigi, Peach, Toad, Yoshi, Wario, DK, and Bowser. They should all come in handy sometime in the game, and it should be fun to test them all.OVerall, this game is great for having fun. I reccommend it to any one. Great for technology too. This game is right for you.",5,One of the early N64 games,995241600,"07 16, 2001",0.1988
12,A29Z0OKLTIZ7MN,B00000DMAX,crude101,"[0, 0]","This is a really cool game. I played this to death i don't know how many times, sometimes alone and at times with a partner.It's really tragic if you don't have this game when you own an N64, you don't know what you're missing out on.Um...well, this game is pretty easy and you don't really need a strategy guidebook for this one. I think the only reason why it's so damn fun is because on every track and race, you can race it differently. You can try new tricks or even attempt to create your own shortcut-if you are that good!Graphics-wise, it's all a let-down, i was expecting realistic models but i got cartoony characters, but then again- it's mario and friends, right?As a mario fan- you'll want to have this in your hands and if you're not- then play this as a party game. It beats Mario Party in replay value but is somewhat less challenging.So bottomline- it's a little too easy. But that will not prevent it from being a top 100 game of all time (read EGM #100)....",5,Replay Heaven,966297600,"08 15, 2000",0.3051
13,AODCE1AC7NOHW,B00000DMAX,cthoms,"[0, 0]","This game is one of two reasons to buy an N64. It's excellent multiplayer, with enough shortcuts and tricks to perfect that's it's also a great solo game. If you have an N64 and you don't have this game, then you should stop wasting your time and go out and buy it. You could play the other games, but they are terrible...",5,Put this one in your &quot;Kart&quot;,978739200,"01 6, 2001",-0.0585
14,AWG2O9C42XW5G,B00000DMAX,David Black Widow 2014,"[0, 0]","This is the best racing game i've ever played and the most funest. The game has a cool unique to a racing game. it is tons of fun, and you can play either Mario, Luigi, Peach (The Princess), Toad, Yoshi, Bowser(King Koopa) & Donkey Kong. There are three types of trophies you can recieve, either the Mushroom trophy, Flower Trophy, Star Trophy and A Special Trophy. Cool Hu. Well this game was tons of fun i recomend it to everyone. Peace OutIf you liked this game then check out all of the Mario Games.",5,"An Excellent Game,",1147737600,"05 16, 2006",0.5567
15,A3Q0TQB5EDQ01N,B00000DMAX,David Kauffman,"[2, 2]","Ahhhh! I love this game! It's so great. My friend gave it to me and I fell in love with it fast! I played Mario Kart for the SNES and thought it was the best thing since sliced bread. When I found out Mario Kart was for N64, I went bezerk. This was the first game to my N64 collection. You choose between 8 characters. You can get over 10 different powerups, including the legendary star which makes you invincible, banana peels which make opponents skid out of control, lightning bolts which makes characters small so you can smush them, mushrooms that boost your engine, and 3 kinds of shells. A green shell will go and bounce off anything, A red shell will do its best to find a character and smash them, and a spike shell with automatically find the player in 1st place and destroy them without fault. The reason it is 4 stars is because they didn't go the extra mile. If you play 1 or 2 player(s) you can do a Grand Prix, but not with 3 or 4. In player 1 mode you cant do a battle or do a vs. with the CPU. Battle only contains 4 tracks. I guess what i'm trying to say is that i wish it was more open. Taking shortcuts won't work because Lukita drags you back when your at the top of the mountain. This game would be the best if you were allowed to do more.",4,Just like Mario Party but you race all day!,998524800,"08 23, 2001",0.3211
16,A9L4AQU51UF2D,B00000DMAX,Dolphin,"[2, 2]","When I had this game, I did not stop playing until I got to winning the game. It's fun for awhile to throw objects at people that are racing against you. It has a four player mode, which is not bad, but sometimes gets a little confusing when you're watching other people racing. The split screen should never be included. Although, that it is which is easy to get distracted. But Mario Kart is fun and it should be in one of the hand-held games, too. I wouldn't mind playing this. Oh, I have the one on Gameboy Advance, which is cool but not like the one from Nintendo 64. Now, that confused me.",4,Mario Kart is Fun!,1133827200,"12 6, 2005",0.1284
17,A1V6BQLWVOVHR0,B00000DMAX,Drew,"[0, 0]",It plays great and i look forward to beating my fance. We place bets on who will win and the looser has to do the chores.,5,Great game,1389139200,"01 8, 2014",0.5313
