,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1Z9NIQKY3VLVG,B00004SR9P,A Writer,"[0, 0]","It's too short to be particularly useful. If it had been about 3 inches longer it would have worked. The problem was when you tilt your suitcases on their side to roll them, this is so short that the wheels of the attached case come off the ground. The quality of construction looked good.",2,too short,1384992000,"11 21, 2013",0.1328
1,A4ZTZFOO75HD2,B00004SR9P,Backyard Images,"[3, 3]","I bought this strap to hold two suitcases together while running through airports on vacation. We just got home and the strap was a life saver. My suitcases did not have one attached, so this rugged strap did its job well.",5,It Works!,1281484800,"08 11, 2010",0.0911
2,A1WCJS4L2L1WQ,B00004SR9P,book-lover,"[8, 8]",Highly recommend this product. I was easily able to piggy back or connect 2 luggage pieces by the handles to easily transport 2 pieces of luggage with my carry-on resting on the top piece of luggage. Have used this now 3x's and highly recommend it.Wish I had it for earlier travels.,5,great product. Made handling bags so much easier.,1197676800,"12 15, 2007",0.507
3,A2HLAQL31J0IE1,B00004SR9P,citykid,"[1, 1]","husband needed this strap to be able to attach his briefcase to his carry-on luggage to make navigating through the airport to the gate easier. product fits the bill, is well-made so it should hold up over time. he's already road-tested on a couple of recent trips and is happy with it.",5,durable and functional,1355616000,"12 16, 2012",0.3311
4,A3BGYK1ELD652P,B00004SR9P,James Cook,"[1, 1]","I travel 3 weeks a month and carry 2 50 lb bags everywhere I go. I have been using this strap for a couple months now to pull both bags together and it works awesome. I wouldn't go back to traveling without it and the convenience for the price is great.I can even get both bags, when piggybacked, on an escalator and the strap is strong enough to hold the second bag in the air without snapping or anything.",5,It Works For Me,1337040000,"05 15, 2012",0.3785
5,A34TVK5J8P7XDQ,B00004SR9P,JAS JAS,"[4, 4]","This is a must have item for travelers. Very sturdy, adjustable. Couldn't live without it for carrying multiple bags.",5,Must have,1226188800,"11 9, 2008",0.0
6,A2U583VJW1XN83,B00004SR9P,Joe,"[0, 0]",it doesn't make for an easy set of bags to move about the airport. Use it only id you have to. A samrt cart is better,3,works but,1393977600,"03 5, 2014",0.2936
7,A1QMRP6KLZDMAT,B00004SR9P,John J. Francis rojac70,"[2, 5]","This would have worked fine if the buckles had bee the same as on my luggage, but they weren't, so I had no use for the thing.",1,buckles did not match my luggage,1375142400,"07 30, 2013",-0.4206
8,A38EJVT7C2T6CH,B00004SR9P,Marc McC,"[0, 0]","I bought this item to attach the handle of a backpack to a 22&#34; carryon. The strap is well constructed, but the minimum length is too long to avoid your backpack from dragging the ground when pulling the carryon. A laptop bag or purse is fine, but not anything as vertically high as a backpack. I purchased the Travelon bungee cord for this purpose and will try it on my next trip. I'd shorten the minimum length of this thing and it would be fine. Otherwise, it will be fine with a checked bag coupled with a smaller carryon or purse/backpack. But for smaller luggage, not so much.",3,Too long for carryyon bags,1387756800,"12 23, 2013",0.0286
9,A22GHD1G3OQTED,B00004SR9P,Michael D. Chlanda MDchlanda,"[0, 0]","This adjustable straps fit around my messenger bag, which has to pieces of cloth on both sides of the front flap, and have sufficient length to secure it, as a back up to the velcro closures. They have a heavy plastic clip that &#34;clicks&#34; to make sure they close. Very useful.",5,Just the right size to secure the flap on my messenger bag,1403481600,"06 23, 2014",0.4701
