,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3NQU1649SH0Q4,B000050FZP,"Allen Smalling Eclectic Reader,","[9, 10]",".This review is of the AT&T; Trimline model 210, made by Advanced American Telephone under license from AT&T.; Along with similarly-shaped Trimstyle and other imitator models, there are readily available two other, similar phones entitled to use the term Trimline: one marketed by Northwestern Bell (which sells a lot of corded phones); the other the model 205 Trimline, as one expects a bit simpler than the model at hand. The model 210 Trimline has a long history of production at different sites, with few pauses from the mid-1960s to the present. During the early days of renting the phone from Ma Bell they were made in Indiana (rotary models, too); then (according to Wikipedia) tone models came out of Singapore, the Philippines, Mexico, China and again China. I think the advantages definitely outweigh the disadvantages of owning a newly made model 210, and I'll elaborate:PROS: Fully modular: not only the handset but the line cord is modular, including lead into the telephone base itself (prior reviewers did not find that feature) . This makes extending the line cord a breeze, substituting either a very long male/male phone cord, or inserting a modular (F/F) adapter in the middle of two conjoined male/male cords. I've tried that and found fit-and-finish were fine with GE brand coupler from the Also bought recommendations at this site.A little heavier than some previous retro Trimlines, but of course not nearly so heavy as the originals of the Sixties and Seventies;Receiver volume can be raised or lowered via switch on the outside of the handset;Inside the phone below the number pad are found an OFF-LO-HI volume switch (note that it is possible to turn the ringer off entirely, although some earlier reviews have said the contrary). Chirper is a moderate, office-style pitch, nothing extraordinary;Can hold (if the specs are right) up to 13 stored numbers, although that may really mean ten stored numbers plus the three feature buttons for Fire, Police and Ambulance;It can indeed mount on a wall--just follow instructions.Small footprint and an acknowledged classic design, down to the rounded rectangular buttons on the handset. Lack of ringer bell notwithstanding, this is probably the Trimline design and touchpad layout that best mimics the Bell (Western Electric) Trimlines of 40 years ago.Switchable Tone/Pulse on handset should anyone still need to imitate rotary-dial pulls with Pulse;Surprisingly cheap. This model retails at thirty-two .95 (and you can expect to see it a great deal cheaper here) Accessories are cheap, but color issues may arise (see below)..CONS: No one really knows how long this particulate incarnation is going to last under ordinary residential use.. Some prior reviewers had their Trimlines fail almost immediately; others have kept this same model no. for ten years and more;Handset has buttons for Flash, Redial and Mem[ory], but not a dedicated Hold button per se;This is not a two-line phone; even the cheapest of them cost more;The lit handset is indeed so dimly lit as to be practically useless. At least no separate AC connection is required.There is nothing remotely domestic (USA/Can) about 210's current manufacturing site, China;The coiled handset cord provided is short (a loop of about 32 inches stretched but not overstressed; i.e. about 1.4 feet per side); and . . .Finding a new longer coiled handset cord, while easy as to function with so many suppliers around, has proved to be a real BEAR when it comes to matching colors! This AT&T; white is more of an off-white, not the Polar white of GE/RCA white phone accessories, nor anyone else's ivory, ash, or beige that I can determine. Technically off-white as a color still exists in the canon of AT&T; accessories, but.... please let me know if you find any.And speaking of which, despite a need, product instructions lack any attempt to sell accessories like phone cords by mail or web.SUMMARY: If you want a corded phone with a small footprint for light use that weighs a little more than was strictly necessary, the current 210 should serve. But if you want only one main corded phone for the living room, kitchen or office, there are plenty more choices out there. For about twice the money you can get a speakerphone white model out of Northwestern Bell and other Bell competitors and survivors; with not only speakerphone but more memory, usually a dedicated `Hold' button . . . and at the higher price ranges genuine TWO-line phones make their appearance! (This may beg the question of why a second corded line is needed, but there are home/office situations where that's for the best.)Whether your backup is a rarely used cell phone prone to battery depletion, or a traditional corded phone like the Trimline 210, test it every now and then. No one wants to come across failure during a real emergency situation.Along with its Brady Bunch-era charm, the Trimline 210 is a recognized design classic. If you find it a little too bland and you want to make a stronger nostalgia statement, repro-retro Princess phones are not hard to find. To buy American, some residential phones out of Cortelco that were manufactured in the USA can still be found. Good luck whatever your decision, and if any of you know how to find accessories (peripherals) like an AT&T; coiled handset cord in their signature off-white version of white, kindly Comment here to that effect! Thanks.",4,"A classic endures, at least to some extent",1302652800,"04 13, 2011",0.1258
1,A335QXPTV1RIV1,B000050FZP,Art M. Art,"[2, 2]","Great classic design. I imagine it is a wonderful phone if you get one that works. Mine refused to ring, and yes I checked the ring setting. Returned it.",1,DOA. Does not ring. Returned it.,1352073600,"11 5, 2012",0.3312
2,A2SATO5BNKWY3Y,B000050FZP,B.A.M.,"[0, 0]","This model has all the features most people would want on a landline type phone, and mfg. by AT&T, I am expecting a long-lasting lifespan on this device. I wall-mounted mine (easily) and it has been operating perfectly!",5,"Very dependable, great price!..",1398643200,"04 28, 2014",0.3093
3,A9KAY47NCPQS,B000050FZP,Beatrice Izzey Nanny Dog,"[2, 2]","finally a phone that you don't need to plug into an electrical outlet, no power supply needed, just a phone jack.It's just right, for $12, it's a steal.",5,great sound!,1249776000,"08 9, 2009",-0.6597
4,A2582KMXLK2P06,B000050FZP,B. E Jackson,"[2, 2]","What you have here is a quality, reliable phone. While it's not like the updated models you see today, it serves its purpose, and serves its purpose quite well. When it comes down to it, no matter what kind of fancy phone you see in the world today, you're still basically typing numbers in *just* to talk to someone. This is why ANY phone will do. The size, comfort and everything else doesn't matter when it comes down to it. Don't even get me started on ring tones. Geez.As long as the numbers work and the signal is clear, who cares? The AT&T; phone is exactly what you should buy. It's a good old phone.",5,calling home... good phone!,1156204800,"08 22, 2006",0.1689
5,A13S959ZBAOU53,B000050FZP,CFB,"[0, 0]","Best corded phone on the market -- voice quality, lighted keypad, small footprint. It's everything I need.",5,What Can I Say?,1263427200,"01 14, 2010",0.3185
6,A369A814V5P8WS,B000050FZP,Charles D. Greene,"[0, 0]",Perfect replacement at reasonable cost for an old phone I had.You can't beat this phone for quality and value from AT &T & Amazon.,5,"AT&T 210 Corded Phone, White, 1 Handset",1362700800,"03 8, 2013",0.7783
7,AZAKCIFE27RAA,B000050FZP,Chicago Gal,"[0, 0]","This phone started to have problems around the 1yr mark. First, a lot of static and now it just keeps disconnecting calls. Looking for another.",1,Find Another-,1233532800,"02 2, 2009",-0.134
8,A3OXHLG6DIBRW8,B000050FZP,C. Hill CFH,"[3, 3]","The AT&T; Trimeline is a very basic corded phone that works when the power goes out. We bought three of these (one for our house, shop, and my mother's house) to use mostly as backup for when our various cordless phones become unusable in during power outages (more frequent than I like in our area).We have these connected to line splitters (likeBelkin RJ11 Plug/2-RJ11 Jack Modular T Adapter) and they work just fine. These also have physical switches to adjust the ringer volume and phone volume which, although limited, does give us some control. It is also handy that the keypad is backlit and draws power directly from the phone line, allowing you to see the numbers in the dark.While these phones do have the ability to store numbers and even speed-dial, we have not set them up to do it.Highly Recommended!CFH",5,Handy For When The Power Goes Out - Highly Recommended,1284768000,"09 18, 2010",0.1661
9,A3D4VYPFBI08C,B000050FZP,cincinnati Jake,"[0, 0]",this is a no frills corded phone.It works out of the box and the sound quality is sufficient- not special.for 10 bucks you can't expect too much but it met all my expectations,4,just what you expect,1349740800,"10 9, 2012",-0.1531
