,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2KY76HK8DYRL3,B00006I9VJ,A Book a Day,"[0, 1]","I couldn't believe when I pulled this out of the box that it was basically set up! The white board simply slides up and you screw the giant handles on the sides to add tension so that it stays upright. Although I ran out of flip chart paper to slide into the top holder, I very easily got a note pad in there and the design appears to fit perfectly with the top border of flip chart paper to make it secure. The only thing that I'm not used to working with flip chart boards is that the base legs don't seem to separate that far, but I've pushed it and written on it and it's sturdy enough and won't tip over that easily. I love how it's one easy piece that is easily adjustible for height and is double sided so you could have a white board on both sides, or white board on one side and flip chart on the other. Very versatile.",5,"Versatile, collapsible, and very easy to set up.",1403740800,"06 26, 2014",0.3097
1,A1W415JP5WEAJK,B00006I9VJ,Alex S,"[13, 13]","We have been using this particular DryErase/Flip Chart outside of our store for 2 years now. We do not use it as an Easel, but rather as a hanging board (where it hangs downward) to promote specials and products.After purchasing another product that didn't work, we were especially grateful to purchase this particular one. It is sturdy, and except in high winds, we do not have a problem with it blowing over. Best of all, we can write on both sides - either turning it sideways so it can be seen by cars / Pedestrians coming from either direction, or facing front, with the ability to turn it later in the day to promote a different sale (especially helpful for Thanksgiving day sales).As a small business owner, I appreciate the flexibility of being able to promote items without a lot of hassle, and this particular chart has been especially helpful to us.",5,Using as Sign Board,1256774400,"10 29, 2009",0.5292
2,A2KMV056844YV2,B00006I9VJ,Book Lover CYN,"[1, 1]",The Quarter Easel Whiteboard and Flipchart is perfect for Sunday School at my church. I like the double sided writing surface and angled feature for good viewing across the classroom. I just wish I could get one for every classroom. The board is very sturdy and well built. It does take two people to set it up and secure the legs. The double-sided white board makes it a reversible writing space. It also will hold the Easel Pads 27 x 34 Inch. I highly recommend this easel whiteboard for a small office or classroom use.,5,Perfect for Sunday School,1403568000,"06 24, 2014",0.3707
3,A3J3OCM6PPWNRY,B00006I9VJ,Dinakar Sarma Dino,"[0, 0]","Whenever I have a study group at my house, it drives me bonkers to have to demonstrate everything on a piece of paper. This easel style whiteboard is stupid easy to set up. It comes assembled already. All you do is adjust the height to where you want it, and tighten the knobs so it stays put. Then, it stays exactly where you put it until you're ready to adjust it again. You can write on both sides. Both top and bottom have the little marker holding tray on it. The legs spread out so that the easel stays nice and stable on the ground. This makes life so much easier to study, because everything is right there.",5,HUGE board.,1403740800,"06 26, 2014",0.1932
4,A6SZZSMX7DQG1,B00006I9VJ,Elly Sparks,"[0, 0]",Light enough to be portable but heavy enough to be durable. I use this almost daily and have transported from office to office (and used it at our garage sale!). It wipes off very easy (often I just use a paper towel). I love that it turns into a table (we used it as a small table at our garage sale to display books!). I think this would be great for a teacher or real estate agent or any sort of person who makes presentations (or even in a cafe as a &#34;special&#34; of the day board).Love it!,5,"Portable, Durable, Great Tool",1404604800,"07 6, 2014",0.3642
5,A3OEIPLU13BEW2,B00006I9VJ,funbear,"[0, 0]","EXCELLENT quality...u can buy cheaper ones... surprisingly stable, folds nicely, I love how its so versatile, becomes a table, or a writing surface... well designed, well executed... the reviews on this product were very true to its performance...",5,quality!,1403740800,"06 26, 2014",0.9691
6,A2P739KOM4U5JB,B00006I9VJ,Half Fast Farmer,"[0, 0]","This is my new best friend. This thing is awesome.The Quartet Ultima easel is adjustable. I can adjust it to whatever setting I need . It even can be used as a table top but I don't use it that way. It is easy to move. We have dragged this all over the house and out to the barn to list the days work or anything else. It is so stable, we used it on a float in a parade. It wipes of easily. And the frame seems like it is going to last.I am very pleased",5,Fantastic,1404950400,"07 10, 2014",0.3162
7,A2TGMGZ116G6AW,B00006I9VJ,Howard W.,"[0, 0]","The white board part of it may be nice, but no matter how hard I tried and tightened the locks, the back leg would slip out.I could not get it to stand up while writing on it.I don't think the plastic locks are strong enough. Maybe mine is defective, but I'm guessing, it is just poor design.",1,Find another easel board,1404691200,"07 7, 2014",-0.0211
8,A3HPFC4WMB2LZD,B00006I9VJ,kre8iv1,"[1, 1]","Yes, you read correctly, this CAN be converted to an actual TABLE!This helps if you need a place to put your projector in a pinch.Very easy to adjust, and very sturdy.This piece is a tad bit &#34;bulky&#34; for me (I am 5'5&#34; tall, and its size competes with my size), but not overly &#34;heavy&#34; as far as weight.Quality is great, and I highly recommend it for presentations, or even just a good writing board for your office.",5,Nice easel/whiteboard/table/flipchart holder....,1403568000,"06 24, 2014",0.9589
9,A2VH0UT5EQFB6P,B00006I9VJ,Loveguitar,"[0, 0]","This thing is pretty cool! It's bigger than I expected, and blocks out nearly all the light from the window behind it. I've been needing something like this for a long time though, so light or no light I find it very useful. I teach classical guitar and often need to draw out chords, music or whatever for my students and this is plenty big enough for me to not only draw out the Treble Clef, but the Bass Clef underneath and show how the the two clefs are related. This is a big deal to me because before I was trying to use staff paper and it wasn't designed for that purpose, or use a very small white board that wouldn't hold nearly enough information.I have the tray already loaded with various expo markers and a couple of erasers. The easel is steadier than I expected, and being tall, I can slide it upwards and tighten down the two knobs on each side and it seems to hold alright. The paper catch at the top is a nice touch though I have to work a bit to get any papers to catch in it. I doubt I'll be using that function much, if any. And I'll only be using one side of it, but it's a white board on both sides if you need that.So overall, it's really good. I'm hesitant to give it 5 stars yet because it's kind of pricey, and I don't know yet how well it will stand (pun intended) the test of time. Just noticed it is not magnetized.",4,"Quartet Ultima Easel, Whiteboard Flipchart, 27 x 34 inches",1403654400,"06 25, 2014",0.1963
