,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LBAC84TLIGAX,B00000DMAT,ACEMAN1 HERE TO PISS YOU OFF,"[3, 3]","Golden Eye 007 is still one of the best action titles ever created, along with the best licensed product ever released. The action is still superb and well-polished even since its release 10 years ago. The enemies are still smart, even with competitors like F.E.A.R. which have incredibly intelligent artificial intellignce. There are a couple of issues unfortunately; some targeting problems and odd save layouts. Other than those, this game is still one of the best shooters ever made. The missions are excellent, the enemies are cool, the weapons are cool, and virtually everything else about this game is superb and well-executed. Too bad Nintendo handed the rights of James Bond to EA.",5,A STELLAR ACTION TITLE 9.5 OUT OF 10,1197417600,"12 12, 2007",0.3268
1,A8TCAEBMUQ3VP,B00000DMAT,adidas21012,"[3, 5]","First, the single player is awesome. Then the multiplayer battle gets even better. But then when you add Game Shark it becomes the best game ever. One problem is that it is a bit unrealistic because there are up to 400 shots in a clip/magazine. Otherwise the game is good. Also if you like this game you will want Perfect Dark. If you like this game but wish it was more realistic get Rainbow Six.",5,??????,969840000,"09 25, 2000",0.4179
2,AMP7TQRWAIE84,B00000DMAT,Adrian Cooper That Guy from Venus. :D,"[1, 1]","I came upon this game in the late 90s/early 00s. Me and a couple of friends would play it religiously and I must say that although the characters are better and more original in this game, Perfect Dark (if you haven't had a chance to play that) is the superior shooter.They both are fun in their own right though. They were both made by Rare which did WONDERS for the N64 gracing us with the aforementioned games and also Diddy Kong Racing which I played for hours on end with friends also.Fun levels to play in and the music was pretty damn good too. Like I said, I liked the characters, Natalia being my absolute favorite and I kept coming back to this game.Even the single-player mode was fun. Just not nearly as fun as the multi-player mode.Fun: Single-Player: C+ Multi-player: B+Sound: B-Characters: B+Controls: A-Overall: B",4,A classic in its own right! B,1243728000,"05 31, 2009",0.4739
3,A1G0VFQ9198IUF,B00000DMAT,al,"[2, 2]",with this game you play through each level in the movie. this is when James Bond was James Bond. you can choose from a whole list of players to choose from to play as. you can get any kind of weapon just about through the whole game. and you can even play with some friends on missions. if you have never played a n64 what are you waiting for. 5 out of 5. super fun.,5,ONE OF THE BEST,1343606400,"07 30, 2012",0.2192
4,A2N1C9JKI2C5XD,B00000DMAT,An amazon visitor,"[0, 0]","I have to be honest: Normally, I'm not into these first person shooter games. They're just so clunky, most of the time you can't tell where you're going, you don't know if an enemy is behind you, (Or at times even in front of you, if you get a weird camera angle) and plus might I add that you can't see your character, which does not really, (For me, most of the time) give that whole imaginative feel that you ARE that character.Well, Goldeneye is an excellent and well made game.I don't know why people complain about the graphics...it's actually kind of cool, and plus the enemies in this game are from head to toes so detailed that you think they're real. The scientists in the facility level are well detailed, and most all the characters are animated incredibly.Besides, you take on the role of James Bond. James Bond! The hero that defined action! This game is not dull, and at times it is so scary when you are overswarmed by a bunch of enemies in one small room.The multiplayer mode, is, of course, wonderful. You can choose from power weapons, sniper rifels, Dostovals, Shotguns, PP7's, proximity mines, hand grenades, laser guns, and basicly everything else that you can think of. It is an entertaining game, and it is well worth the money.The camera angles rock. you never get lost.So, why didn't I give this game Five stars? Read below and find out.THE BADS OF THE GAMEThere are some major glitches. You can see your enemies literally walk through walls, not completely, but almost there.At times the doors, when I command it to open with the B button, it still won't open, even if I already DID get an access card for the door in the first place. The reason behind that is the fact that an enemy is probably trying to open the door as well, but how am I supposed to know that? So, I stand back, the enemy comes in, and oh, guess what, it turns out that there isn't just one of them, there's thirty, so they all shoot at me, and I die. You can easily die in this game just due to glitches, which makes it very difficult and frustrating.If you forget one thing on a mission, just one small thing which most of the time has nothing to do with the story, then you have to start the whole mission over again. You don't just do the thing you forgot, either, you have to do all the things that you did do, as well as the things you did not.The game is predictible, due to the fact that it follows the movie, although when it does not follow the movie, (Which it does a lot) then it gets kind of dissapointing because what you expected did not happen.The puzzles can be frustrating. I'm still trying to figure out how to get the bottling room on the facility level.The game is also very gory. I don't know why they gave this game a TEEN rating instead of a mature...it should of been rated mature.Now, for the GOODS of this game.GOODSUse an incredibly large arsenal of weaponry and more weaponry...prepare to save the world, it's gonna be a rough ride.It follows the movie really well, (Most of the time, anyways) And if you're a big fan of james bond you will really enjoy this game. Even if you aren't you'll still enjoy it.You play the role of james Bond, which is worth it within itself.This game is the greatest First person shooter game for the N64. The controls aren't so difficult that you'll get lost and forget which buttons to use while you're losing, but they are simple and easy and at the same time fun. And even if you don't like the controls, you can decide which buttons you want for which ones the controller screen.There's nothing that you can't shoot or destroy.The cheats are FUNNY! I mean, honestly, try the invisibility mode. You can shoot a near bye dashboard when a Gaurd is near, and that gaurd will start freaking out and look around to see who did that. This makes the game easier also, and the invincibility mode is good too, although I tried and realized that you can't have the invisibility mode and invincibility at the same time. You can also make the bad guys heads small and stuff, which is really funny to see.The way that the characters are animated are almost identicle to the characters in the movie...they look exactly like the actors.At the end of every level, it tells you how many kills you did, how many limb shots, how many head shots, and how many body shots you had.The artificial intelligence with the badguys aren't all that challenging, but when there's a whole crowd of them, watch out!This game is excellent. Did I mention that it's excellent? Let me repeat it again: This game is excellent! Excellent I tell you, excellent!",4,An excellent first person shooter game.,1027814400,"07 28, 2002",0.1884
5,A1I36XQ57TKNK7,B00000DMAT,Andrew1414,"[0, 0]","This is game was based on the movie and they hit it spot on! Playing the levels are fun, but this is the perfect game to play if you are just sitting around with a few friends talkin about the old times.",5,Best First Person Shooter Game Ever!,1360281600,"02 8, 2013",0.4709
6,A1AR8HYZ17T5H7,B00000DMAT,arxane,"[0, 0]","With the Nintendo 64 beginning to slowly...okay, quickly drop off the gaming radar, it's time for gamers who bought the last of the Big N's cartridge systems to see if their investment was a good one. Is there even a reason to keep this system around anymore? Is there one game to give you an excuse to say to Playstation2 and X-Box and Gamecube owners, I know it's an old system, but this game is the reason I still own it? Yes, and that game is called Golden Eye 007.It's hard to believe that a game based off the best of the Pierce Brosnan Bond movies would become an undeniable classic. But that's exactly what Golden Eye is. Many first-person shooters try to overwhelm gamers with unbelievable graphics while offering no depth in gameplay, while others try to create complex game engines with passable graphics and end up only frustrating players. Thankfully, Golden Eye is the diamond in the rough. It takes a remarkably simple control scheme and graphics that were good for its time and combines them in an unbeatable combination. Moving Bond, James Bond is as easy as breathing, and the shooting system is just as simple. Even with the horrible N64 controller, a player can learn how to play Golden Eye on the first or second try. And its gameplay is so addictive because of the stunning level designs and adequate AI. Of course, because of the N64's difficult-to-program cartridge format, some things had to be sacrificed, like detailed textures and realistic AI responses to being shot. But the overall experience is enough to overlook such trivial matters.Graphically, Golden Eye 007 was a marvel to look at...when it was first released. Nowadays, when compared to games like Metal Gear Solid 2 for the PS2 and Dead or Alive 3 for the X-Box, Golden Eye looks like a SNES game. Because cartridges are limited in space, textures can be bland, character models look blocky, and detail is kept to a passable minimum. But anyone who doesn't care about graphics, as long as they are good enough and the gameplay is excellent, shouldn't have any trouble with Golden Eye.Soundwise, it's not the biggest strength of the game, but it's still good. Sounds like gunshots are remarkably well done - a player can tell what kind of gun he or an enemy is firing just by listening to it, at least to a certain extent. And voices, while limited to overdone grunts and questionable laughs, suit the game well. It would've been nice to hear full voiceovers for important characters, but the limitations of the cartridge format doesn't help this area much.All in all, Golden Eye is undoubtedly a classic of modern gaming. While the N64 is arguably one of the worst Nintendo consoles to be released (alongside the horrendous Virtua Boy), it still had some incredible games that managed to sustain it until the Gamecube was announced. Golden Eye is not only the game that many FPS fans point to as their favorite game, but many non-FPS gamers also found it very enjoyable. While later great first-person shooters like the N64's Perfect Dark and the recent X-Box million-seller Halo presented excellet FPS action with updated graphics to boot, Golden Eye will forever be remembered as the first-person shoot for the masses.If you need a reason to keep your N64, this is it!",5,One of the defining first-person shooters in existence!,1018396800,"04 10, 2002",0.2191
7,A14F106N1M9AAQ,B00000DMAT,Average Joe Average Joe,"[2, 2]","Goldeneye 007 is the best game for the Nintendo 64. Its an amazing game, and its still fun to play today. There was a game called Perfect Dark that was similar to this and came out later, but this is the far better game. Tons of great guns and gadgets are here, and the gameplay is awesome. Its not the best first person shooter ever(Halo for Xbox is), but its still one of the best. The graphics arent the best ever right now, but at the time, in 1997 or so, they were real great. The music is good. It has a mysterious sound to it for some reason. This game has some of the best levels in any game, and it controls great. Multiplayer in this game is some of the most addictive ever. At the time it had the best multiplayer around. It might not now, since there are games like Halo and Diablo II, but like I said, it was the best at the time. There arent really any negatives. All hail to the best game on N64, and one of the best games ever.",5,The best game on N64,1075766400,"02 3, 2004",0.5799
8,A2YAABMT80RLYA,B00000DMAT,Ben Rowland,"[0, 0]","Goldeneye 007, at first glance, looks like yet another installment into the tired and outdated First-Person shooter game genre. The big suprise is that it is so much more than a standard shooter or a bog standard movie translation.In a word, Goldeneye is amazing. It takes full advantage of the 64 bit technology and delivers a smooth, fun, and challenging adventure. You assume the role of James Bond, the secret agent who needs no introduction. You run through various missions, which tie into the movie, and solve various problems and perform various tasks. What complicates things is the number of guards who are ready to kill you on sight. As expected, you have a number of weapons at your disposal, from the silenced pistol and machine gun, to the grenade launchers and high-powered explosives. The first-person perspective adds amazing realism to this game, with action and controls that are as smooth as James Bond's charm.The graphics are phenominal, with smooth movements and amazing scenery. This game really makes you feel like you are living the adventures. The music is right out of a Bond movie, and adds a nice edge to the action. The controls, usually quite clunky on that horrible N64 controller, are easy to manage here. After a while it becomes like second nature.For parents considering this game for their children, they should be aware of the violence. Much of the game is spent killing people, and the realism is striking. It is up to you, but this is an excellent game that can be quite addictive.",5,More than just another Quake knockoff.,1013644800,"02 14, 2002",0.0773
9,A2QHYLI6Q4PL14,B00000DMAT,brentswinehart,"[0, 0]",This game has plenty of levels weapons and it has challenging gameplay with a pretty good multi-player (but i wish u could face computers in the multi-player) good graphics great play control and sound get this game if u don't already have Perfect Dark,5,One of the best first person shooters for the N64,996019200,"07 25, 2001",0.9388
