,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2DYMDOAJURO5F,B00006B7UW,Aceto All Knowledge is Sorrow,"[3, 4]","I ordered this stand thinking it would be a useful Christmas present for my daughter and son-in-law who will be spending the next year or two writing their doctoral dissertations. Unfortunately, it came in today when I needed to type a bunch from some papers so I set it up in front of my iMac. It fits between the screen and the keyboard perfectly and the tilt is adjustable so I can place it just under the screen view. I also like the elastic line guide, which I found useful in keeping my place on the pages.First, it's great and I again I find myself asking why I don't own more 3M stock. I will get the kids another one because I'm keeping this longer format one for me. It allows me to place a book or 2 sheets of paper (I can just about squeeze in a 3rd) across the clear, flat plastic surface and easily see what I am looking at, which is a way more comfortable feat for these 50 year old eyes. Surprisingly, the clear surface appears to be high grade optical plastic and does not distort images underneath. It's a marked improvement over those flimsy aluminum or plastic typewriter paper trays from earlier years.Second, it rates only a pretty good and not an Ah, ha from those 3M engineers. I guess it cannot be helped that the stand eats up a foot of prime desk space. This is unhelpful when its use is not necessary. The design suggests it is kind of meant to be semi-permanently fixed: The feet are study with substantial weight to hold heavier papers and such which is good. BUT, I'm going to have to be very careful--where the feet attach to the plastic surface is flimsy, not reinforced and bond to break if occasionally moved. I guess that is why the assembly instructions tell you it takes only 30 seconds to attach the base to the feet rather than provide better detail on how to attach. So be warned, this is a handy, very useful product; but, unless you use it continually, you will need to assemble and disassemble the parts to move it to and from your desk. I'm keeping the packaging box for storage. At least it has a 5 year warrantee which I bet will be much used, 3M.And I'm still buying another one for the kids; I'll probably break down again and get the wider format. And to other members of my family who sometimes sit at my large desk at home: Donna toucha the merchandize; you break it, I cotoffa you fingar and maka cheZe outta it.",4,I needed this.,1285718400,"09 29, 2010",0.2957
1,A1R76R4E6A8S3B,B00006B7UW,Akash,"[0, 1]","This product works exactly as you'd expect it to, it holds your books up with no fuss. The setup was pretty simply despite the truly atrocious instructions (the pictures don't even make any sense) and it seems sturdy enough to last many years.If someone gave me this product for $15, even $20, I would be impressed and recommend it to everyone I know. But the asking price here (the MSRP is over a hundred bucks!!!) is just out of control. It's so ridiculous that I found myself searching for some hidden feature (built-in LED lights, diamond encrusted accessories) that could possibly make it worth that much.Long story short: Great product, but you'd have to be out of your mind to pay this much for plastic.",4,"Works as advertised, but price is a little out of control",1287360000,"10 18, 2010",0.1502
2,A2SNSC2U05O4TQ,B00006B7UW,Alison Ginter Goddess Alison,"[0, 1]","I got this looking for a simple copy holder...I was easily deceived by the picture thinking it would be much less than it is! It has a large footprint and it's got a significant weight to it...it really will hold up to 300 sheets! I do find that for some reason, the little elastic cord that runs across it to hold your paper against the back seems to pop off when not in use, so if you move it around frequently to make room for other things (as I mentioned, it's rather large), you run the risk of losing that cord.",5,Heavy Duty..don't let looks fool you!,1306368000,"05 26, 2011",-0.1669
3,A3RGHO0Q938FRS,B00006B7UW,Amazon Customer,"[0, 0]","I got this product for my wife who was complaining about losing her place in cookbooks while working. It has worked great! She is able to put her largest cookbooks, or 3-ring binders, or loose sheets on this holder, and with the elastic strap she never loses her spot. The holder hasn't tipped over, with heavy books. Keeping the books upright also makes following the recipes easier. It does take up some space, but fits above our cabinets, but it could be a concern for some.",5,Great for cookbooks,1300320000,"03 17, 2011",0.0778
4,A6VPK7X53QNAQ,B00006B7UW,AmazonDiva Keep Calm and Carry On.,"[1, 2]","This is a handy tool for holding up heavy books if you do a lot of transcribing. I find it most suitable for an office setting. However, it takes up quite a bit of space on your desk, and barely leaves space for anything else. If you're not using it you will probably want to fold it and put it away, but then bringing out the heavy stand each time can be time consuming. So unless you do a lot of copying of books etc., it will not be used as much. I really don't find it very useful in the kitchen like some others, as I hardly ever cook from cook-books. And when I do once in a while I'll just leave a cook book open on the counter in a clear plastic bag, rather than use this stand as it takes up a lot of space and is not meant to be moved around a lot.I found it to be a nice way to hold 2 side-by-side information sheets at a booth or on a counter top in a store. Although, it is very nicely built, the price still seems a bit high. I got mine to test through the Vine program but I don't think I'd have bought one unless I really needed it.",3,"Sturdy and does its job well, but takes up quite a bit of space",1287532800,"10 20, 2010",0.2155
5,AOEP96629WHHA,B00006B7UW,A. Reid,"[0, 1]","3M is a good company. I trust the quality of their products and generally regard them as good value, but I have to admit to being a bit disappointed in this design. This copy holder has good capacity and very solidly constructed legs. But the large piece of clear plastic at its core feels flimsy for the scale of the item, and at a manufacturer retail price of $109, I'd expect more solidity. I'm afraid to tighten the legs too much for fear of cracking the plastic.Another potential drawback to the item, depending on your set up, is its size. To hold 300 sheets, it has to be big, and it is. It claims to be Designed to position directly between monitor and keyboard just below monitor. If your desk (like mine) has a pull out drawer for your keyboard, you're not going to be able to put this below the monitor. You need 4 for the feet. You'll have to put it in front of or to the side of the monitor, presuming you have 4 of depth and 11 of width to play with. (Fortunately for me, I do.)Those concerns aside, the unit seems to work as billed. I've tried this out with single sheets of paper, stacks of paper and books, and it has performed well for me with all of them. The ledge is pretty deep (notThe Riverside Shakespearedeep, but deep enough for most texts), and it is ridged to help hold content in place--a nice supplement to the rubber band that spans across the text. It is flexible in angle. In addition to holding text at the computer, it can easily serve in other capacities where you need books or papers held. It could be of good use in the kitchen holding recipes, at your child's desk helping hold a book for homework, at a side table holding instructions for a hobbyist.At $109, though, it's a luxury. I think it's a luxury even at the ~$60 Amazon is currently asking, but, as with all such items, it comes down to how badly you want it and how much you have to spend. To give it its due, for its capacity the reduced price seems to be if not a bargain, at least compatible with the expense of similar devices from other companies...and, with those solid legs, it looks like a good step forward in quality.",3,"Good idea; perhaps not good value. Challenges in use, but broader applications than billed.",1286323200,"10 6, 2010",0.2257
6,A1T1YSCDW0PD25,B00006B7UW,A. Wiersch,"[1, 1]","For the price I expected better (as did some other reviewers). I shouldn't have spent so much money on this. The quality & design is worth about $25 in my opinion, not what I ended up paying, even on a lightening deal.I'm worried this thing won't last and that it will break at what seems like a weak point where the supports hold the clear plastic piece.So based on the poor value & that it seems it will break at the weak point, I only feel comfortable giving this 2 stars.UPDATE 2013-03-15: My wife has been using this and so far it's been working well. I'm still concerned about it breaking and don't think the design is the best and still don't think it's worth the current price, but it's holding up and I haven't heard any complaints from my wife. Therefore, I'm upping my rating from 2 to 3 stars.",3,Seems poor for the price,1354320000,"12 1, 2012",0.3674
7,A9Y5O2R4D6EH5,B00006B7UW,Careful shopper,"[2, 2]","From opening box to ready to use is only about 6-7 mins, nothing to do but attach the weighted legs and put on the movable elastic band that holds pages down.While a great idea, this item is not designed well for all plastic construction IMO.The only metal I can find is the threaded bolt on the adjustment knobs, and what sounds like steel shot when you shake the base legs.The main plastic support for the books and it's adjustment point are very flimsy and it's a plastic to plastic contact area, no matter how much pressure you put on the tightening knobs you can't stop the legs from flopping side to side by an INCH either way. Also slips down when you have heavier book on the stand.Thought I must have them attached wrong, but they are correct.Maybe some masking tape under the clamps might close the gaps a bit and make it tighten up better.I would suggest that you never move it around with the legs attached as there is only a very small lip of plastic on the clear back board to keep it all together and when that snaps you will not be able to use that area again.Plastic legs are make heavy by filling them with steel shot or BBs through a hold in the bottom and then sealed with a plastic plug pushed in then covered with one of the stick on foam feet.This could be a pretty nice item with the use of a bit of metal in the right places rather than plastic IMO.",3,Expected better ... at the MSRP,1285545600,"09 27, 2010",0.8847
8,A2SH6A32BE6NEV,B00006B7UW,Comp Expert Comp,"[0, 1]","When I got this product I realized it was extremely heavy and complex to put together. Not exactly what I thought I would be getting. Then unpacking I realized it took up a huge footprint on my limited desk space. This thing is just too big for a regular person's desk and more fitting to be in some kind of industrial fabrication plant. Seriously, the design is old and not very useful. It's also severely overpriced.",2,Clunky,1285977600,"10 2, 2010",-0.1451
9,A1X2LENOF84LCQ,B00006B7UW,D D,"[0, 0]","The thing is huge and takes up way too much space on my desk, I don't like the legs at all, they are not sturdy and I feel that they should have been made all one piece (like a frame) and then attach to the plastic holder. You can't pick this up with the legs attached. This is also a little high for my monitor. I have a large monitor but it sits a little low on the desk so I can't tilt this thing very far because it then obstructs the view of my monitor. I don't expect it to last long because of all the plastic pieces and the little lip that the legs attach to are not going to be sturdy either.",3,Just OK,1285632000,"09 28, 2010",0.0203
