,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A31FSZ5PHE3K8G,B0000530ED,Adrian Boatman,"[0, 0]","I love the color this leaves my hair and it does not seem to be as damaging as other brands I have used in the past. I will say I have had the best luck with Feria Color products in general, so I may be a little bias, however I have never been disappointed with any of the colors I have tried.",5,Great Color,1392768000,"02 19, 2014",0.5452
1,A32GCOTGFJ9XC3,B0000530ED,Alex Honda onyx575,"[3, 4]","I bought FERIA'S VIOLET SOFT BLACK at a drugstore because I couldn't find theGarnier 100% Color Vitamin Enriched Gel-Creme Color, No. 210 Blue Blackin store, I'm going on a trip and don't have time to wait for shipping, so I went with this color.The color isn't bad, but it's not even close to the color on the box. I know there will be some variation, depending on what your natural hair color is and what color it is currently, but I started out with faded out blue-black hair!My end results were dark burgundy-plum color, which isn't bad, but not what I was expecting at all (see my pic I posted above).Although I like the burgundy colors and have had my hair that color many times, I was looking for a change which is why I switched to Blue-Black.The color isn't bad but it is a let down if you compare it to the box. I can't imagine what color it would be if you started out with light brown or blonde hair, but I'm sure the reddish-plum color would be intense!I would say that VIOLET BLACK is just a tad darker thanL'Oreal Feria Haircolor, Chocolate Cherry 36, 1 Application.If you're looking for a blue-black color or even a soft black color go with a different shade of black than this one because this will be more red (warmer color) than black.",3,This Is *Deep-Burgundy-Plum* Not Black,1372204800,"06 26, 2013",0.5498
2,A19KLWTEW9KRJ8,B0000530ED,Alexis,"[2, 3]","I dyed the tips of my bleach blonde hair to get a two-toned look. The color was very bright and vibrant. I loved the dramatic contrast. Unfortunately after about 5 washings it has faded out and is pretty dull looking. If your not looking for a very bright color I would recommend this, but if you want to make a statement find another color.",3,Fades Fast,1373673600,"07 13, 2013",0.333
3,A2HD9JTLRSC9IL,B0000530ED,Allison Danielle Burke,"[0, 12]",I gave this product four out of five stars because I haven't tried it yet. It looks good in the picture though.,4,Loreal hair dye,1389225600,"01 9, 2014",0.2202
4,A1YRCEF0HM8QVR,B0000530ED,[[ Amanda 242 ]],"[0, 0]",Color is okay. It made my hair a medium brown shade and it did seem to have highlights as advertised. It really dried my hair out and damaged it. It has a strong chemical scent and my hair was shedding out twice as much as it usually does after I used this dye.,2,Bad on hair! Okay color.,1382054400,"10 18, 2013",0.0741
5,A1RWHY9E5VIVNQ,B0000530ED,Amazon Customer,"[0, 0]","I love the product & it makes my hair really soft, smooth & healthy, but with this particular color it's actually the 1st time I have ever colored my hair in over 35 years that it colored it the same color my hair already was!. There was literally NO difference! None! But the grey was gone. Rather amusing & a learning experience",5,L'Oreal is my favorite,1397347200,"04 13, 2014",0.1077
6,A1VJCR1AJRFJJ7,B0000530ED,Amazon Customer,"[0, 0]","Love the color, love the application and LOVE the conditioner.Future suggestions: Sell the conditioner alone too so it can be purchased independently of the color kit. I would use this conditioner at least 2 x a week if available outside of the boxed kit.",5,Awesome,1401580800,"06 1, 2014",0.4618
7,A2WMT6JZTBJ6ZT,B0000530ED,Amazon Customer,"[10, 12]","For starters, my hair LOOOOOVES color. Soaks it right up and does great with almost all cheapo home kits.I got to the color on the box from very dark brown in about 3 colorings that were spaced out, hence the 4 stars. I have a lot of red in my hair and it really kept the brassiness to the minimum while I worked on getting to a lighter shade. there is a lot of really nice dimension to the color as well, making it look naturally blonde.I also ignored the timing instructions. I always apply my color the same way (roots to ends) and leave it on for 45 minutes no matter what. I also cover my hair with a plastic cover to keep heat in and help the color set.I finally got bored of the upkeep this color required as far as roots go and went back to my natural, but it was a fun (and cheap) way to go medium blonde for a while.",4,Takes a few colorings,1328572800,"02 7, 2012",0.2919
8,A1VR3AUXR1950S,B0000530ED,amazon lover april,"[0, 0]",but it is getting difficult to obtain. my subscribe and save for this item has now been cancelled. I get so many compliments on this color.,5,i love this color,1368403200,"05 13, 2013",0.0829
9,A2GA55P7WGHJCP,B0000530ED,amazon shopper,"[0, 0]","FERIA DOES NOT COVER GREYS VER ELL, WHICH IS WHAT I WANTED. IT MAKES THE HAIR VERY SHINY. NICE LIGHT COLOR WITHOUT TOO MUCH RED TONES.",4,EXCELLENT QUALITY,1388361600,"12 30, 2013",0.1405
