,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2TQST4IPVA0EC,B00004WFTV,ACAR,"[0, 0]","packs small so its easy to keep it where you might need it. diamond sharpener works with water adding to its portability. cuts fast, be careful.",5,handy,1266624000,"02 20, 2010",0.2257
1,AP9GMT6G15UKL,B00004WFTV,Amazon Customer BWH,"[1, 1]",In my opinion this is the best 'pocket' sharpening tool available. The coarse and fine sides can handle just about any field sharpening chore and it provides enough sharpening surface to handle even medium sized sheath knives. Highly recommended!,5,"I've Bought, And Lost, At Least Two of These, But I Keep Coming Back",1370044800,"06 1, 2013",0.392
2,AX4XVT6XCGQ8F,B00004WFTV,anonymous,"[2, 9]","I do not recommend this item. It is advertised as being able to last a long period of time without dulling and this was not the case for me. I took it out of the package, sharpened one knife, and midway through the second knife, I noticed that the course side was smooth. Sure enough when I felt it with my finger there was almost no abrasive material left on the sharpener. The total time I used the product before it became useless was 20 minutes.",1,Dull by SECOND knife,1357430400,"01 6, 2013",-0.0781
3,A2Z2VZEOYK3EMX,B00004WFTV,Arnold Asrelsky,"[0, 0]","Over the years I've used oil stones and water stones, ceramics, electric sharpeners, Wusthof and other sharpening gadgets.This item beats them all. Four strokes of the coarse followed by four of the fine restores the knife edge to a sharpness I've never achieved before.",5,Best I've Ever Used,1399939200,"05 13, 2014",0.2294
4,A16SPGA83A4J8H,B00004WFTV,A. Thomas,"[0, 0]","I've been using the DMT diamond stones for 15 years or so. Even when they appear to be worn down they still work just fine. They are my go-to for both house and field sharpening.The double sided F/EF is a great solution for a longer knife sheath accessory pouch, such as the Spec-Ops (which is 4 deep)Having a double sided grit sharpener like this is a huge benefit in the field over a traditional stone (especially if you have room for the handles). The red side works as a medium grit and the green side works as a fine grit; allowing you to quickly bring back an edge on the fly. The compact nature of the double sided/sandwiched system is what really shines for a limited space load-out such as in a long accessory pouch on a knife sheath or compact gear pouch. In it's original configuration, the double-sided Diafold is great, but if you need to conserve maximum space like I do, here's a little tip: remove the handles using a punch on the roll-pins. That will take the width down by 1/3... from 3/8 to 1/4. That might not sound like much, but it makes a huge difference when packing in micro storage areas like a knife sheath. For my use in the Spec-Ops sheath (Mini), due to the top flair of the inner kydex liner, I also remove the 1/2 handle attachment area (which otherwise works great to hold onto while sharpening). This results in the ability to store the sharpening system fully flat & flush in the 4 pouch, along with all my other critical gear (a big fire-steel, a magnesium block, and a smalls Altoids tin full of micro-repair gear). Note: the small and large Spec-Ops sheaths are mounted lower than on the Mini model, so this cut-down mod is not necessary.)Summary:if you are space limited but want dual stone versatility, then buy THIS folding sharpener, and reduce it in size as needed.Highly Recommended!",5,"Perfect One Sharpener solution, especailly for a longer sheath accessory pouch",1389484800,"01 12, 2014",0.2495
5,A1V4VVBQBFXRHC,B00004WFTV,Big-D,"[7, 8]","I collect many different types of knives. Although most usually come sharpened, I wanted a good portable way of renewing the edge when needed. This sharpener is fast and light weight to carry in a bag or pouch while on trips. The diamond parts sharpen in seconds without any effort at all. Once mastered with a little practice, you will be able to create a perfect edge on any type knife. You will be happy with this fine/ x-fine sharpener.",4,Diamond Knife Sharpener,1293062400,"12 23, 2010",0.3585
6,A2OW2RM544F419,B00004WFTV,bjjjcr,"[0, 0]",Found this as I was looking around for a better sharpener for my EDC and other knives/tools. This thing sharpened my Benchmade Pardue to be sharper than its been since it came new after half a dozen passes on the red and green each. I definitely recommend this sharpener!,5,DMT FWEF Double Sided Diafold Sharpener Fine / Extra-Fine,1344729600,"08 12, 2012",0.37
7,APAYX5CZ55LVD,B00004WFTV,Boanerges Chiro Doc,"[0, 0]",Keeps everything sharp that you might require personally utilize the red more than the blue but eh what are you going to do.,5,Mighty Sharp,1348704000,"09 27, 2012",0.0
8,A1YT7AL0YAYIOZ,B00004WFTV,Bo Knows,"[0, 0]","What can I say... It will sharpen your knife pretty well as long as it is under 5 inches. Also, I have had this for probably around a year and put a lot of miles on it and it seems as good as new. I do wash it off after each sharpening. This is really all you need but most people like to use finer grits to finish off their knife. Also, a strop is very helpful for maximizing sharpness. I would reccomend this product.",5,Does the job,1391040000,"01 30, 2014",0.3045
9,A1SEO4Y5EBIH4Z,B00004WFTV,Bongoben,"[0, 0]",Its a sharpener. Very light and useful. Works seamlessly and i wouldn't hesitate to buy again. These sharpeners are a million times better than pull through sharpeners. I really have no complaints at all. The handle is cheaper plastic but i don't mind. Great product and better seller,5,Very very nice,1365379200,"04 8, 2013",0.3351
