,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2IEY846AH8R1H,B0000868O9,50 something,"[0, 0]",This bra fits true to size and is comfortable. I was able to find this via the id number on the tag of my old bra. Thank you Amazon for making searching for items easy and having a better price!,5,comfortable bra,1327536000,"01 26, 2012",0.5519
1,AFNE6AFYU3ZVD,B0000868O9,A. Fink,"[0, 0]","I am a solid 32DDD. I've been measured and that is the size of bra I wear in brands across the board. This bra has this weird extra nipple room that I did not need. I'd probably be able to fit a tablespoon in there and fill lit perfectly. It isn't that the cup is too big, it's only this extra nipple space. The bra is also scratchy. I'll give it the benefit of the doubt and wash it a few times before I go to put it on again. I cannot wear it with t shirts or thin dresses because of this extra nipple room, and because it does create sort of a torpedo effect. I wouldn't compare it to the torpedo boobs you'd see on Marilyn Monroe and the likes, but it definitely does give a point to the breasts. I will only be able to wear this bra with clothing that is thicker, like sweaters, or dresses that are double layered or have thick material. I also ordered Wacoal La Femme Contour Bra. This bra is AMAZING. The Bali Bra in my size has 4 hooks and very large straps also, the cups go very high on the breast, covering almost the entire breast, making it illogical to wear with anything that shows even a little chest (not breast) because the bra is visible. The Wacoal bra is unbelievably comfortable and only a tad bit more in price.",2,"Pointy boobs, slightly larger than it should be",1400198400,"05 16, 2014",0.2402
2,A3PLZB0DZ3NZWW,B0000868O9,Amazon A.,"[2, 2]",I normally wear a 42 B but I had to buy a C in this. It fit but man is it scratchy material!,1,Itchy!,1386028800,"12 3, 2013",0.1299
3,AKFVTWLRDMBYE,B0000868O9,Angie,"[0, 0]","Although the cups of my 32D fit, the back measurment is not right. The bra will only fit around my back in the very last hook, which means that when the back stretches, the bra becomes useless because there's no where to go with the hooks. It should have been made to fit on the very first hooks, so that I could always move in if I needed to.",3,Not good enough,1379289600,"09 16, 2013",0.1204
4,A2WXE0OVZ0AFDD,B0000868O9,Audrey Richards,"[1, 1]","I'm wearing this bra as I type this rating. It fits very well, and is extremely comfortable to wear. I disagree with some of the other reviews that say this bra is &#34;scratchy&#34; - not at all! Very smooth feeling and well made. I will purchase more.",5,Wonderful!,1378425600,"09 6, 2013",0.1429
5,A2OSOO0NRPLZRH,B0000868O9,Bunny B Bunster,"[0, 0]","Been wearing this bra for many years, recently lost weight but cant wear a C cup.Looks great, that is what you expect from Bali",4,Old favorite,1392422400,"02 15, 2014",0.7184
6,A00635603LUUJQPQWSJW1,B0000868O9,Charlie,"[0, 0]","Great bra for the money, I just wish there where more colors to choose from for my size. Its great.",5,Great fit,1384905600,"11 20, 2013",0.7016
7,A1GWNPHCV116B6,B0000868O9,Cindy Richardson,"[0, 0]","I have to start out by saying, I thought this was the brand of bra I have been wearing for the last 8 years, (it looks exactly like what I wear) I didn't realize mine is a different brand until after I placed my order.. I am Sooo Happy I did order this Bali!! The fit (for me) is perfect!! It stays in place, the back is &#34;U&#34; shaped so I don't have to keep adjusting it through out the day!! It has GREAT SUPPORT, (I'm 64 yrs. old, 5' 5&#34;, 137lbs). I purchased a few T-shirts at the beginning of summer, little did I know how clingy they would be (I almost sent them back) with this Bali Bra however, I look great in those T's!!! I LOVE &#34;This Bali&#34; Soooo Much Better than my brand!!! I LOVE the U shaped back, I love the support, I love the comfort, and I Love the way I Look with this Bali Bra!!! I can't wait to buy more!!! Thank You Amazon and Under Moments!!!",5,"Bali Women's Flower Underwire Bra, 34C",1375920000,"08 8, 2013",0.4815
8,A1B7XXNR5DL4TR,B0000868O9,Cindy T.,"[0, 0]","I've purchased this bra for many years. It is never my only purchase. I use this bra for specific purpose in specific garments when I was to have a true shelf type bra that hold your breasts up and out. Wearing blouses or dressed, or even casual tank tops, can make the breasts look droopy and thereby making you stomach area look thicker, and your torso shorter. With this bra, the band does most of the work holding up the breasts so that the stress is not felt exclusively at the shoulder straps. No the straps are no elastic and it isn't due to being cheap. the do the job of holding the breasts in perfect place and they have soft fabric under the strap which makes them very comfortable. The only discomfort you should feel is you choose the wrong size because they don't have a lot of &#34;give.&#34; They wear like iron and look great through many washes. I recommend never putting any bra through a dryer, nor using any fabric softener or high sudsing detergents that destroy the elastic. (sulfates causes sudsing) Try Charlie's Soap. You can purchase it through Earth Fare. You will never regret it and it keeps the washer clean as a whistle, even the moving parts. What I also like about this bra is that there is no side breast because of the wonderful &#34;stays&#34; on either side of the bra. These push you side tissues towards the front. Just own it and throw your shoulders back and look great even if you aren't used to looking so good. You will be glad not to bounce all around if that is an issue for you i other bras. Don't let the less expensive price break distract you from getting this bra. Inexpensive doesn't mean it is &#34;cheaply made.&#34; Remember to lean fully forward while making the connections so you distribute tissue. Enjoy this purchase. Cindy T. God Bless",5,For an architectural bra this is a Frank Lloyd Wright type construction. Ha!,1389052800,"01 7, 2014",0.1994
9,A2QDFKU0CZ9ZX9,B0000868O9,Cinzia,"[0, 0]","Very nice bra, but the material is a bit stiff, which keeps the girls where they're supposed to be, though. It'll give a pointy shape, which is not very flattering with regular t-shirts, but will add some lift with flowy tops.BE AWARE: even though it says that this item qualifies for free returns, you will have to pay for the shipping costs if you want to return this bra!!! Amazon customer rep told me it's because the product is not sold/fulfilled by Amazon itself, but by a 3rd party. It puzzles me why Amazon mentions free returns on the product page when it doesn't apply to that specific product. On a product that doesn't cost much, having to pay for return shipping is quite a waste.",3,"A bit stiff, but definitely keeps the girls in place",1338854400,"06 5, 2012",0.3154
