,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2HYLKXMCGA6EF,B00005UKAX,amylovesred,"[1, 1]","I don't need a whole case, just a ream. I can add this to any other Amazon order and get exactly what I need. We're a military family, so wasting some of our precious poundage on lugging around a case of paper is not an option. Great quality for our Canon inkjet/multi printer.",5,Great option for 1 ream at a time,1373414400,"07 10, 2013",0.2142
1,A3CHMHGSJSQ02J,B00005UKAX,Anon. A. Non,"[34, 36]","It's hard to find a lot to say about paper. But as paper goes, this is good stuff. Clean, crisp and bright, just the right thickness. Perfect for all your printing and copying needs. Oh, and nicer-looking than the paper you steal from work. heh",5,"Great, especially for the price",1256601600,"10 27, 2009",0.1826
2,AWC8CTW8N2XVE,B00005UKAX,AWGamer11,"[3, 4]","- Solid feel but not too thick- Bright white looks good with any color ink printed on it- Cheap, price is right on amazon.com- Using it on an HP printer from 2002 with no issues whatsoever.",4,solid printer paper,1287273600,"10 17, 2010",-0.1923
3,A2QQKIR0SWZA1,B00005UKAX,BettyCos,"[0, 0]",This copy paper is brighter than your run-of-the-mill copy paper and I am extremely pleased with it. Will buy again.,5,Good Value,1398816000,"04 30, 2014",0.3498
4,A2RAZD36HY2ALI,B00005UKAX,B. Horne,"[0, 0]","I have used this paper for a number of years. It is perfect for my printing jobs and my ink jet printer. It is bright without being too bright, has a nice weight and is neither too thin or too thick for general personal and office use. The price was right so I bought a ream! Good purchase as far as I am concerned.",5,My Favorite Paper,1377648000,"08 28, 2013",0.3198
5,A2HMF8ZR67BNZS,B00005UKAX,Bill A. Belt,"[1, 1]","Paper is paper. Well not exactly. Some of the &#34;stuff&#34; on the market will not do your printer justice and the end product will be less than what you should expect. This paper has a good surface and goes through the printer without &#34;jams&#34;. It has a 96 brightness which I find excellent. While it is listed as 20 pound paper, i checked this against a cheaper packaged of 20 pound and the difference was astonishing. This is good paper at a reasonable price.",5,Love The Paper,1401667200,"06 2, 2014",0.3462
6,A1DH3QDZX8Z7GO,B00005UKAX,Charlemange,"[0, 0]",This is a bright white paper which is good for general printer needs. It feeds into the machine with no issues. Ink did not bleed on it. No problems here.,5,Good paper,1398038400,"04 21, 2014",0.1783
7,AI1SSQELYZGLB,B00005UKAX,C. Hinton,"[0, 0]","I bought this because it was the best price on Amazon's site, when I ordered, for a single ream. The paper is as good as any other with the same weight and brightness numbers.",4,It is paper,1398384000,"04 25, 2014",0.6537
8,A3G05IEEQP0LHM,B00005UKAX,Christopher W. Morris,"[0, 0]",works as expected,5,works as expected,1404950400,"07 10, 2014",0.0
9,ABDR6IJ93HFIO,B00005UKAX,Daisy Daisy S,"[0, 0]","This HP Multipurpose Copy/Laser/Inkjet with 96 Brightness, I was so glad to find in a local store last week. So I have been printing letters, forms, misc type of documents on it and am amazed the brightness of the paper for such a reasonable price! And since I have an HP Printer, I am glad to have paper with HP's endorsement (on the back of the wrapping for this paper, it states that it was actually made by International Paper Company under license of HP). So this paper is made for HP and other quality types of printers, whether HP or another brand.So glad I am using this paper now as in the past, I paid for the generic and cheap types of paper that a brightness of about 88, which is not that good when it is compared to 96 brightness. And the old generic paper cost the same price as this high quality paper.For the cost of this product and the quality, this is in my opinion a BEST BUY!",5,A Bright White All Purpose Paper That Is Very Reasonable In Cost!,1381449600,"10 11, 2013",0.7135
10,A3HEIIQCP02IBM,B00005UKAX,Deena A. Peters,"[0, 1]",I ordered this paper because I knew it would be a good product since it was from HP. I received the paper in a couple days and this saved me a trip to the store to buy it.,4,Paper,1295049600,"01 15, 2011",0.4713
11,A2KAKUZZIPQF0J,B00005UKAX,Diane Dixon-Wise,"[0, 0]",Excellent for all in one documents. The paper is smooth and when printed on it shows results that are great quality.,5,Definitely needed for printing out all documents,1392854400,"02 20, 2014",0.5984
12,A2ZNMPZMLRRC8R,B00005UKAX,Engee00 Engee00,"[0, 0]","3/6/12: I just bought paper at Target and it was $5 for 750 sheets. Same brightness, same weight, works fine in my printer (generic paper). Really look around to get good prices on paper.Original Post: Not much to say on this. It's paper. 96 Brightness, 20 lb, letter size, 500 sheets. That said, it works great in my Canon inkjet photo printer. It never jams or crinkles.",5,It's Paper! - Check Around for Better Prices,1305590400,"05 17, 2011",0.282
13,A26DG05WFGH2V0,B00005UKAX,Gary Parlato,"[0, 0]",I have tried this paper in all four of my printers and it works very well. I have one printer i hate because it loves to jam the paper. Well this paper has never jammed in that printer. I think this HP paper has taught my printer to behave itself. It is reasonably priced and works very good. I will keep buying it.,5,What can you say about paper,1370476800,"06 6, 2013",0.184
14,A2SQJPUCZNHMZE,B00005UKAX,Geraldine Ahearn Author Geri Ahearn,"[1, 1]","I have ordered this pack for the first time, and as usual, HP has come through once again. The price is one of the best as I've compared to purchasing in different office supply stores. The quality is top notch. I have no complaints. Thus far, I've already used about 50 pages & it was recently delivered. The colors are bright & no paper jams noted on my 2 printers. When I find a product this good, I will order again-and-again. Totally satisfied. Highly recommended!",5,"GREAT PRICE, GOOD QUALITY, AND NO PAPER JAMS!",1386115200,"12 4, 2013",0.2957
15,A2HCEAGTSREO4G,B00005UKAX,Iona Godfrey King,"[0, 0]",The multipurpose Copy paper works well the the printer.My family and I are enjoying both the printer and the paper.,5,HP Multipurpose Copy Laser/jet Ink paper.,1397520000,"04 15, 2014",0.6705
