,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2B7GQR6ONJPUH,B000052YQ2,4451,"[0, 0]",So far so good! I'm happy with the results. My skin is not really oily since I've used this. Like this product,5,Great!,1345766400,"08 24, 2012",0.3972
1,A3UR5FRLA1LINI,B000052YQ2,abstsf,"[2, 2]","This is my favorite face moisturizer and I would recommend it for daily use. I have tried other face moisturizers and they are either too expensive or hard to find again or don't work well or at all. I usually sunburn with even a small amount of exposure but this product is just the right texture, easy to use and a good base for my skin.",5,favorite,1389312000,"01 10, 2014",0.3995
2,A337MH4DW79U1N,B000052YQ2,A. Cole,"[0, 0]","Bought this for my mother while Amazon was offering coupons on different Olay products, and I'm glad I did. I was looking for a good daily moisturizer with some SPF protection for her mature skin, and this was the right balance of price and quality. I will repurchase when she runs out.",4,Great for mature skin,1404950400,"07 10, 2014",0.4209
3,A15LI24XAWS8RA,B000052YQ2,Amazon Customer sunshine,"[0, 0]","I've been using this product for a several years. At first I used it on my face and neck, but as I got older, I needed a creamier moisturizer for my face as my skin became drier. I still buy this for my neck though. I've seen women with really wrinkly necks, so far mine is OK.I have ultra sensative skin, this Olay doesn't hurt when I put it on, I like the fact that it has SPF 15 which helps a little bit to protect my skin from the sun. If I'm going to be out in the sun for a long time, I use a different product, with a high number, SPF 30 to 50.When I ordered this, I thought it was the larger size, so when it arrived, I was a bit disappointed. I bought another one exactly the same, in this size at Walmart a few days ago, it only cost $5, I paid $6 here on here Amazon, it's good to shop around.I would recommend this for those who are just beginning to use a moisturizer.",5,GREAT FOR SENSITIVE SKIN,1383782400,"11 7, 2013",0.1923
4,A22OWLY1J6XEH8,B000052YQ2,Amy,"[3, 4]","Non greasy, fragrance free, absorbs fast, base for makeup, moisturizes, lasts all day and can be used under or over another product. Olay lotions are the best I've ever used. I will burn down cities if they stop making it. Not really. I will probably just be incredibly sad. Love olay.",5,the only!,1380240000,"09 27, 2013",0.1605
5,A2FWDBKX76ILA7,B000052YQ2,Amy L. Burr,"[0, 0]",This is my other go-to moisturizer that is SPF 15. It has a perfect texture and works very well and I will buy again.,5,Good moisturizer,1394064000,"03 6, 2014",0.3632
6,A314FPY3VST1IH,B000052YQ2,ASHLEY V.,"[0, 0]","I love this lotion. It smells good but it is not strongly scented, it feels good on my skin (not too heavy, not too light), and it definitely moisturizes all day.",5,I love this lotion,1394496000,"03 11, 2014",0.7175
7,A2XNJJ9TF70P4J,B000052YQ2,Aurora,"[2, 3]",I don't know what Jaag is talking about. I love this product. I have extremely fair and very sensitive skin and this doesn't burn my face at all. It moisturizes well and I really like it.,5,I love it!,1273881600,"05 15, 2010",0.4039
8,A33T1S6PWFAMQJ,B000052YQ2,baji,"[0, 0]",always my dad's favorite.,5,Five Stars,1404432000,"07 4, 2014",0.4588
9,A3ABNQ6KXWDEL4,B000052YQ2,BigB83,"[0, 0]","This face cream is very light and easy to apply. There is no harsh sunblock-y smell, or stinging when I apply it. Also, my skin absorbs it well.",5,Soft and light,1376352000,"08 13, 2013",0.3674
10,A38JIIHRVTSNYV,B000052YQ2,C. Eres,"[0, 0]",HG face moisturizer. its the only kind i can use that wont break me out with repeated use. wish the spf were higher. i only use the classic formula with zinc.,5,hg,1373328000,"07 9, 2013",0.2321
11,AARGOLRC3IB0L,B000052YQ2,chippy,"[0, 0]",I love it is why I give this an A+. Great lotion and feels very good on my skin. I do recommend this lotion.,5,olay complete,1402790400,"06 15, 2014",0.6017
12,A3R7FYHGPXGUS8,B000052YQ2,Eva Anderson,"[0, 0]",This really helped add moisture to my skin. it is light a weightless. A little but goes a long way and I usually only have to apply it once a day to keep my skin smooth and supple.,4,really smoth skin,1390176000,"01 20, 2014",0.0
13,AP0JEKMYDOL4E,B000052YQ2,Fonnie Hall,"[0, 0]","All 3 arrived in great condition, and I use quite a lot of this product in the Summer time. I have tried so many other costly sunscreen products, and found them all to be rather sticky. I am handicapped and like to sit outside in good weather. I used to freckle up so much, even though many sunscreens say up to 30 minutes. But with this light formula I don't have to use very much, and I don't look like our Dalmatian. This is sort of funny, but when I used other sunscreen products my sweet dog didn't like the smell and she wouldn't sit real close to me out side. Animals are very sensitive to smells. It is a very nice product, and I'm sure that other customers will enjoy it also as the moisturizer keeps the skin so nice and soft.",5,Olay Complete all day Moisturizer with Sunscreen.,1404518400,"07 5, 2014",0.2636
14,A3TY6PPI2UCEIT,B000052YQ2,hannahb426,"[6, 6]","Since I've turned 20, I have had problems with blemishes. So, for the last few years, I began to try many different face cleansers and lotions to solve the problem, and finally stumbled upon this one. It's lightweight and definitely moisturizes just enough. I never feel like my face is oily or greasy. My blemishes haven't completely gone away, but ever since I began using this lotion, my skin has been noticeably clearer. I assume it's because it doesn't clog my pores like my old lotion must have. The only complaint I have is about the bottle. When you squeeze it, you either get no lotion, or the lotion explodes everywhere. I wish they would put a pump on the bottle or something, so that I wouldn't be wasting so much lotion when I barely squeeze it and it all comes flying out.",4,"Great lotion, awful bottle.",1319500800,"10 25, 2011",-0.014
15,A1P4DHRG58OSPS,B000052YQ2,JBo,"[0, 2]","olay has definitely the best skin care products, i have tried many brands in the past and always return to olay.",4,like it,1372896000,"07 4, 2013",0.8779
16,A8JC56FC74XZE,B000052YQ2,Jessi Jessi,"[0, 2]",I have been using this lotion for years I love it! It has SPF in it too! ?I feel like it keeps my face mositurrized all day and the SPF also helps. It works great under make up .I highly recommend !,5,This lotion is the Best!,1369440000,"05 25, 2013",0.5239
17,AD0UV04EWWT40,B000052YQ2,J. McDaniel,"[0, 1]","I have simply fell in love with this facial moisturizer. I've found that most sunscreen containing facial lotions feel heavy on my face and irritate my skin. This doesn't do that at all, and the best part of all is it's not greasy but actually leaves a kind of dry finish to my skin that is perfect for applying makeup. I would recommend this again and again!",5,"Doesn't irritate skin, doesn't feel like a mask, and it's not oily at all!",1336089600,"05 4, 2012",0.365
18,A2WT1H9FGIB9ME,B000052YQ2,J. Shirvan psycho_logic,"[0, 0]","My face was horrible and I was starting to notice that I wasn't looking as vibrant as I needed to for someone as young as I am. (I bought this product when I was 24 and I am now 26). My skin is horribly acne prone and incredibly sensitive. I have trouble with clogged pores and I really thought since I already have such heavily oily skin that adding more moisture or oil would just send my skin into overload.I couldn't be more wrong. After a month or two of using the product I noticed that my skin had a healthy glow, I noticed that I wasn't as oily. I also noticed that in combination with using my acne treatments that my outbreaks weren't as bad, but were getting better over time. It has helped with the elasticity of my eyes and a little of the product goes a long way. I have had the same bottle for over two years and I just cannot seem to finish the product. It is an amazing little moisturizer. I really like how the SPF 15 is enough for my skin to counter the sun, but become a little darker over time. I really enjoy this product and when fall comes around again, I will definitely be getting another bottle of it.",5,I have had this product for two years... and I can't seem to run through it,1367107200,"04 28, 2013",0.1269
19,A3QZMUVPH9XGU2,B000052YQ2,Kaylie Johnson,"[0, 0]",Makes my face feel moisturized and very soft after washing it. Would recommend if you're in need of a good moisturizer!,5,I love it,1398816000,"04 30, 2014",0.345
20,A21U4DR8M6I9QN,B000052YQ2,K. J justine,"[0, 0]","I am over 50 and have used this for years, it works the best. I have some other stuff,its lighter and ok for summer. This is really great in the winter weather . poepl comment all the time on how lovely my skin is, I rarely wear any make up.",5,I have used this for years,1396224000,"03 31, 2014",0.5444
21,A291ZW0VWGH03U,B000052YQ2,Kristin keaton,"[2, 2]",Very moisturizing and great protection against the elements at a reasonable price. I have sensitive skin that irritates easily and this has always been kind to it.,5,Great price for a great product,1388188800,"12 28, 2013",0.5662
22,A37IIX7OLELUMT,B000052YQ2,Mezz,"[0, 0]",I always purchase this. It's great because I live in a sunny climate and have sensitive skin. This cream make my skin feel soft And hydrated.,5,It's great because I live in a sunny climate and have ...,1403654400,"06 25, 2014",0.2615
23,A2XOSQBV5RXUFK,B000052YQ2,nmsqb,"[0, 0]",good product does what it says oil of olay products a good used it for my trip to mexico last month and the price was great,4,good product,1385856000,"12 1, 2013",0.872
24,A1Z66KHEXSF3L5,B000052YQ2,RICKY,"[3, 6]","Let me tell you, I'm a veteran at moisturizer and i've been thru it all , divorced break up to make upwith all these products.. lol... this is my dovoted one.. what it says it delivers wit seriously magnificent results.you dont need much, just have a good cleanser.. and use a lil bit rub it gently around your face.. drink plenty of wateruse this day and night.... give it about one month, and watch this baby go to work.. im not Lying I spent hundereds of dollarsand waisted them all... what i realize for best skin products come from not expensive over hyped adds.. but the names thathave great establishment and history like Olay.. and this perticular one complete all day for sensitve skin is the best for sensetive skin so dont deviate from it if u have sensitive skin this is your best chance to control your oil and have even skin tone..",3,Remarable... best thing for aging skin since botox..,1361577600,"02 23, 2013",0.9866
25,APYKGTU0LFICH,B000052YQ2,SATG,"[0, 0]","This item doesn't adequately moisturize and is greasy for my combination skin. I only put it on my dry cheeks, avoiding my t zone since that's oily. It makes my dry cheeks greasy and I don't need that. However, it works well for my mom, who has normal skin.",2,Not for me,1387238400,"12 17, 2013",-0.0167
26,A22QBPOG0A08AB,B000052YQ2,S. D. Hood,"[0, 1]",I use Olay Complete on my face in the morning and at night before bed. It makes my face feel so soft and smooth.,5,Makes your face so soft,1367884800,"05 7, 2013",0.0
27,A13STKDYQO5DQ8,B000052YQ2,S. Hebbron S B H.,"[15, 15]","Give it 2-3weeks and I gaurentee you will be glad you tried it, it is light and thirst quenching on the skin and seems to cover a multitued of tasks, you will not need seperate creams for eyes etc. My tip is to use it a s a night and day cream after gentle washing and exfoliaiting the face. By night put slighty too much on so as the skin has to slowly drink it in.You really will see a plumpness and radiance to your face in this space of time. This stuff is not bank breakingly expensive either.",5,Nothing will give skin as good as this!,1119052800,"06 18, 2005",0.3098
28,AI5IP9Y660LJ7,B000052YQ2,Snakewoman,"[2, 2]","I have used this product for many years and have always liked it. My mom also loved it, before she passed away. This was a great deal; I saved money by ordering the bundle",5,The standard,1388016000,"12 26, 2013",0.6018
