,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A132FCKZZYSHBY,B00000DMAM,baylor,"[1, 1]","i didn't like this game when i first saw it at E3, but when i went back and played it, it turned out to be pretty good. Not too many boss monsters (i hate those things), some of the monsters are rather agile, the weapons are new, the graphics are extremely pretty (nice colors, great water), you can configure all sorts of things, there are some good guys to help you out (they show you hidden goodies) and the game makes a lot of effort to be stable. Hey, they even have a story and little logs you can read to get a feel for the story.It's not as story-scripted as Half-Life (but then, it doesn't have the awful Xen world either), and many people prefer the realistic weapons of Quake to the unusual ones of Unreal. i like the built-in bots in multiplayer (i think this was the first game to ship with them), but i'm told the net play is really slow",4,"Pretty good, has more story than most, tries new things",966556800,"08 18, 2000",0.5556
1,A38TA13FXZC7V0,B00000DMAM,Blake Watson ===Blake===,"[0, 1]","Well, that's what CGW editor Jeff Green called &quot;Unreal&quot;. After playing it, I'm inclined to agree. It incorporates (on a small scale) elements of adventure games, which slows down the first-person action without actually adding much weight to the alleged story. It does look nice, though, at least for a 1997 era game.",3,Myst for the Testosterone Set?,957830400,"05 9, 2000",0.3809
2,A3KMOEVKYDKEY7,B00000DMAM,G. Long,"[0, 1]","This has to be the most detailed and beautifully rendered game ever made. The monsters look real, the weapons look sleek, and the animation is very realistic, with no jerkiness. Unfortunately, this game requires totally unreal system requirements! Anything less than a PentiumII/300MHz processor runs like garbage unless everything is turned down, and, well, there goes the graphics! This game was the chief reason for my system being upgraded! Also, remember the sleek weapons I described? Well, they're sleek, but that's it. For crying out loud, it takes THREE HITS with a ROCKET LAUNCHER to kill one of the BASIC enemies (the Skaarj). There's no bang to them at all! Plus, another good thing about Unreal is the multiplayer games where you can play against computer-controlled opponents (bots). Sounds good, right? Wrong. Unless you put the skill level down nearly all the way, simply aiming a gun at the bot will cause it to zig-zag in a way that is impossible to hit, all while shooting at you with godlike aim! Other than the steep system requirements, the difficulty of the bots, and the bangless weapons, the game is very good and highly customizable for all those hackers and map makers out there. You'll get your money's worth, but I hope you're good at strafing while shooting, otherwise you'll NEVER win!",3,Unreal requirements!,953337600,"03 18, 2000",-0.0547
3,A3E68QNSCABRVW,B00000DMAM,Gradient Vector Field subjectedtometal (dot)...,"[0, 0]","I was feeling nostalgic last week so I started playing Unreal again. Probably for my third time through at this point! While Unreal doesn't have as much replay value as a game like Half Life it certainly does have its moments! Unreal was one of those really impressive FPS games for it's time. It boasted great graphics and intense game play. Of course by 2008's standards these graphics merely look silly! But if you were picking this up in '98 like I was, you were pretty impressed.I figure I'll throw in some points about playing this on a more current system, since I experienced some issues here and there. Being a game made for Windows 98 it doesn't translate perfectly over to an XP 32 bit system. I have no idea what this would do on Vista's 64 bit architecture. Basically when re-installing it I got a strange error with the option to ignore. You can definitely get away with doing that and then it will install fine. Strangely every time you reinsert the disc to play some more you have to cancel out of the install process and that ignore message comes up as well. I'm not sure if this is just my system, but I recommend saving quite frequently, at least every time you hit a load screen. For some reason the game will randomly crash after a little while and it exits out completely for you. This can be frustrating if you've been playing for a while, because it doesn't auto save between load screens. Otherwise it played very smoothly on the newer system. You can also get the Unreal Anthology which has been updated to handle Windows XP. Oh and this was on a Pentium 4, 3.0 ghz system.That being said, I'll move onto the actual review for anyone thinking about delving into this great game for their first time. The first thing you notice is that you have almost no health. You begin to discover why as you start wandering around a crashed space ship and it appears you were some kind of prisoner. Naturally the first things you need to do are finding some health and then find some way out of the ship. The ship is kind of a boring part of the level, but it leads you a bit into the story line because you clearly crash landed on an alien planet. When you finally get out of the ship the first thing you'll notice is how amazing and stunning the world is that has been created for you. Outside it's very bright and vibrant in spots. This felt a little different compared to games like Quake, Half Life, Doom, because a lot of those games are very dark and have a major dungeon crawl atmosphere to them. Unreal has a lot of that usual stuff as well, but it also has a lot of time spent outside where you get to see amazing scenery. One thing the developers did right was making you feel like the in game world was huge! This was really impressive and fun when you first got into it.As you explore and interact with the world you learn more about what's going on with this planet called Na Pali. Apparently the native people are called the Nali and they've been enslaved by an alien race called the Skaarj. The Nali are extreme pacifists and I can't help but think their designers wanted them to be Buddhists for the most part. The Skaarj on the other hand are the main enemy of the game, though not the only enemy creatures you'll face. They are a warrior race that pretty much takes over wherever it sees fit. You'll notice that the Skaarj design is clearly influenced by Predator. They have a humanoid lizard design and have a mouth design that looks just like that of a Predator. To brandish even MORE similarities they also have energy weapons and steel double claws attached to their arms. As you can see this isn't very original. Another part that is kind of unoriginal/strange is the Nali castles that you come across. They are clearly living in what we would term a medieval level society versus the Skaarj who have high grade technology. Strangely you come across large castles that look like they're straight out of thirteenth century England. I know... strange for a race of pacifists. Despite all this, those parts are some of the most fun to play through. I loved going into the castles and running around!Another aspect that made Unreal very special, when compared to other FPS games, was the sheer amount of atmosphere that is injected into this game. It truly does feel like you're on an alien world. The sounds, the textures, were all there perfectly bringing you into this world, almost so much that you didn't want to leave! You even hear echoes off of cliffs if you're walking through a cavern, it's like they tried to get as many little details in order to immerse the user. For it's time the Unreal graphics engine was also very impressive and really took things up a notch in the gaming world. They also programmed enemies to react more realistically to the user when confronted. So when I'm fighting against the Skaarj enemies they will actually make an effort to jump out of the way of my shots. This was really cool to see and I really only found that in games like Half Life.The maps you have to navigate through are pretty massive at times. I really felt like a lot of the level design was also influenced by the great game Marathon. A lot of times in order to open a door you have to search out a series of levers, or whatever, in order to proceed onto the next section. This game literally has hours of game play and probably took me in the vicinity of 20 to 30 hours to complete, so you really get your moneys worth. The downfall to having such large maps is it's kind of easy to get lost sometimes if you're trying to complete certain tasks. Another detriment to the game was the lighting. I put this game on maximum brightness levels in order to help me see where I was going. Sometimes that wasn't even bright enough. There are sections of this game that are absolutely dark, especially towards the end of the game. While this creates a very scary atmosphere, I felt it hindered the game play once in a while. The reason this hurts game play is because the flashlight function is incredibly annoying to deal with. You have to pick up flashlights or flares in order to see in the pitch black areas. Now to make it more realistic the flashlights eventually run out of batteries or something, but this was poorly incorporated because they only last a few minutes. Seriously, the flashlights in real life would NOT die so quickly and then it's up to you to go find another one. The only reason this hurts the game is because if you no longer have light, you can't enjoy the environment nearly as much.Aside from a couple flaws this is a pretty awesome game and I had a lot of fun playing it. In '98 this came out around the same time as Half Life and they were both the must play FPS games that year. Half Life ultimately won the game of the year slot mainly because of story line. Unfortunately Unreal's story line is pretty poor in the greater scheme of things. The user doesn't really feel a greater purpose to their mission and instead you are merely trying to complete levels and puzzles. Whereas Half Life created a vastly well written world where you were trying to get out of a facility and stop an experiment gone out of control. Unreal just couldn't compete with something of that caliber and it's not nearly as engrossing on that level. Beautiful world and really fun to play overall, but not the best of the year.Overall Rating: 4.5 out of 5",5,Still a really awesome game to play!,1225497600,"11 1, 2008",0.2044
4,A1PN2U0AWXGVML,B00000DMAM,Mark,"[4, 4]",This game is fun to play just for looking at all of the scenery. I enjoy all the brilliant colors and the array of monsters to kill. This is a Quake-type game but is better in everyway except the weapons. Just plain fun.,5,Ultimate Graphics,945216000,"12 15, 1999",0.3799
5,A2MMO0QPJS6SRD,B00000DMAM,Matt Curtis,"[2, 6]","Well, going into it, I heard that this was SO much better than Quake III arena. I had played that game, and I liked it. So, I gave Unreal a go. After playing for a while, I played Quake III again. Within a few minutes, I quit Quake, uninstalled Unreal, and went back to playing Quake. The difference in the graphics was incredable. All the sharp edges are fine, but I perfer the revolutionaly rounded surfaces. Quake III blew Unreal out of the water graphically. What about the game play? Well, I was kidna dissapointed. Quake III is very intense, the kind of game you get caught up in. I found myself playing Unreal, just to see what it was like. It had no draw whatsoever. I thought the weapons were fairly difficult to use, and were kinda cheesy. For me, it is all Quake III.",3,its ok,962150400,"06 28, 2000",0.1648
6,A3QLINN3EJ7N8M,B00000DMAM,ojait2,"[0, 0]","Really enjoyed this classic FPS. Hardcore gamers wont be disappointed. i highly recommend purchasing. Graphics are great, story-line is solid (and not so short) , audio is excellent and the price is right.",5,Unreal keeping it real.,1343433600,"07 28, 2012",0.5511
7,A33I2QV713UCT5,B00000DMAM,RAF,"[0, 0]","Unreal is one of those games that has stuck with me ever since I first played it. In fact, I can't think of any game that I actually like as much as Unreal. The environments are beautiful and compelling, the AI is fairly clever, and the atmosphere is simply masterful.In the singleplayer campaign, you are prisoner 849. Your prison ship has crashed, and now you have to escape. When you leave the ship, you get slapped in the face with awe inspiring environments, excellent atmosphere, beautiful skies, and inspiring music. Instead of having cutscenes or cinematics, Unreal tells its story through translator messages. I prefer it that way - cutscenes would have gotten in the way.Unreal is also great for the fact that it supports CoOp - up to 16 players. The environments vary, but all of them are generally very well done. Aside from CoOp, Unreal also has deathmatch and team deathmatch modes, and a variety of others, such as DarkMatch. Unreal also comes with the Unreal Editor. In it, you can make your own levels. Admittedly, it's difficult to get used to, but nevertheless, is an excellent addition. It IS marred with quite a few bugs, however.Unreal is a truly brilliant game. The environments, music, atmosphere, and story have made it last a very long time for me. It may have aged, but no game since has managed to grab my attention the way Unreal did, and no game has stuck with me for so long. My advice: buy the game. It's brilliant.",4,Absolutely Brilliant,1269993600,"03 31, 2010",0.2411
8,A1JHJ48J9EZNMH,B00000DMAM,Robert evans,"[0, 1]",I played unreal when I was 9 and beat it in a week.The game is just plain awsome. Unfortenutly that was 7 years ago and I doubt this will work on XP but when Im at his house I always play this amazing game. The begining is friggin scary when youre in the abandon space ship and all you hear are the lives of the sapce crew screaming and beging for there lives.Later you soon find out that they are being torn apart by these disturbing creatures or aliens I might say. More games should be like this.The only game to be like this would probably be The suffering cause you here the voices of the CO's getting torn apart by weird disturbing creatures. Maybe not the only game but there a little few games that are like UNreal.The begining parts were the best for me. The scream the horror. I think this is suppose to be a survival horror game. I donno but Get this game but I think they dont make this game any more? Any ways get this and UNREAL TURNEMENT. AWSOME GAMES!,4,Awsome game,1080000000,"03 23, 2004",-0.0759
9,AV8287BM8LJN6,B00000DMAM,Sam Vafadar,"[2, 2]","The game may be old, but it's still fun as hell. The scenery and graphics are really not that bad at all. Quite a change from traditional fps games... which is definitely a good thing.",5,Fun as hell,1137283200,"01 15, 2006",0.2367
