,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3A1OA237FOZFK,B00004YVAJ,#1 Amazon Fan,"[0, 0]","I have had one of these on my key chain for over 15 years now; it's only been replaced 3 times and I use it almost daily. It comes with a removable plastic toothpick and tweezers. I love having a toothpick handy after eating out somewhere and the tweezers work very well. The tweezers do not have the strongest grip because they are very thin and therefore a bit flexible, but I have never had them fail to work and they have very sharp edges for getting out the finest hair and/or splinter.The knife and fingernail file/screwdriver are obviously useful in many instances; the only problem I've ever had is that if you are trying to remove/loosen a very tight screw it might close on you if you press too hard. The implements do not 'lock' into place, so you have to use some caution.The scissors were originally my primary reason for purchasing these and are fine enough to help trim your cuticles and strong enough for smaller cuts. They are definitely not super strong but definitely cut paper and thin plastic easily.Overall, these are a terrific gift for just about anyone and a great purchase for yourself. I've seen them in the store for upwards of $14 but you can get these for less frequently on sale at Amazon.",5,Great Gift & Awesome Every Day Tool for Yourself,1204243200,"02 29, 2008",0.4203
1,A2FII3I2MBMUIA,B00004YVAJ,1K3,"[0, 0]","I bought a few of these for my family. I think I still prefer the rally over this model since it gets rid of the scissors and adds a screwdriver instead. Still, there is a reason why this is a &#34;classic&#34;! You won't be disappointed with this small keychain knife. I would suggest adding an extra keyring so the knife sits flush with your keys. The one keyring it comes with will cause the knife to sit perpendicular to your keys, adding bulk.",5,Classic.,1355097600,"12 10, 2012",0.0749
2,A1HRYC60VTMYC0,B00004YVAJ,Ace,"[1, 1]","I have had and used a Swiss army Knife for almost 40 years. They are wonderful -- I still have and proudly use the one I bought 35 yrs ago -- it's in fine condition (well, the scissors spring is another story...)And for FOURTEEN years I carried a little Swiss Army Knife in my pocket -- the little blade so sharp that even after 14 yrs I could stil slit open boxes and take them apart with this small but mighty vorpal sword. No matter that the scissors spring broke - that has happened on all of mine, and the scissors always worked, with or without spring -- but the rest of the knife stayed intact -- the toothpick rescuing me from awkward situations and the tweezer plucking an errant eyebrow, holding a small part like a mini vise, or rescuing the cotton ball in my ears that sometimes decided that it wanted to meet the other cotton ball halfway (kids, don't try this at home!)I rarely use the lttle screwdriver/file combo, but when I do, it delivers. I like to hold the plastic body of the knife and the bottom edge of the screwdriver at the same time while I am torquing up some screws as I feel that this way I will be delivering an equal amount of energy to a bigger area of the whole unit, thus putting less of a strain on the screwdriver blade.I loved mini-knife #1 -- and almost lost it a number if times, but this time, alas, it is gone..... and I can only hope someone found it and will cherish it as much as I did. How did I lose it? I bought a pair of pants from (NOT Amazon) .... and they were so horrible that the pockets literally tried to regurgitate their contents. I no longer wear those pants, as I almost lost my work ID and bus pass too.Yes I will always miss Mini-Knife #1, and am sad that my faithful friend is gone but I am so happy that I was able to get a replacement - Long Live Swiss Army Knives!!!",5,Loved....and then...LOST!! So I ordered an exact duplicate,1351123200,"10 25, 2012",0.185
3,A3SXM4W15LEIED,B00004YVAJ,A. Dude,"[0, 0]","So you gain a nice, checkered, flatter surface on your classic SD. You lose your toothpick and your tweezers. Sound like a good deal on a multi tool that is that thin and small to begin with?Honest, I was about to order one. How cool would it be to have a larger Alox tool AND it's little brother? How cute would that be if they matched?! But, then I thought about how not having the extra few tools would stink, added to the fact that the classic SD is already super tiny to begin with. So tiny, it literally will disappear if misplaced.. It just didn't make any sense to me.My guess is that if you have an Alox style companion to this, you might want it. But I do, and I don't want it for the reasons listed. It simply doesn't add any value when you lose tools on an already super slim product. You're paying more for less, essentially. I don't like throwing money away, so I'll stick with my classic SD cellidor scales for now. My honest opinion of course. Take with a grain of salt.",2,Don't like it as much as the cellidor SD,1358726400,"01 21, 2013",0.1666
4,A11QRDUT3EV7IA,B00004YVAJ,Amazon Customer and Jason Potts,"[0, 0]","OK, so my main complaint on this knife is, it is seriously the smallest knife known to man. I realize there is a size listed in the description, but honestly, who really expects a Swiss Army Knife to be so small the blade is nearly microscopic? I'm not even sure what task you could actually accomplish with this toy - maybe opening a letter? I got this, intending to give it to my 9-year-old on a father-son camping trip, as a sort of right-of-passage on his journey to becoming a man. Somehow, I don't think it will have quite the impact I was hoping for, given that I lose the knife in my own hand, it's so small.Again, I know there is a description that gives 2 1/4&#34; as a length, but seriously, nobody needs a knife this small. I would return it, except I'm not sure it's worth the cost of return shipping.",2,"What is this, a pocket knife for ANTS!!?",1403654400,"06 25, 2014",-0.0042
5,A26VBYL4T0J9WI,B00004YVAJ,Andy,"[0, 0]","Bought this knife for a friend, the price was good, and it shipped quickly, I have no worries about the quality as I have carried the same one on my key ring for the past seventeen years, and its still going strong.",5,Great for anyone.,1386547200,"12 9, 2013",0.8941
6,A32T2H8150OJLU,B00004YVAJ,ARH,"[0, 1]","I received this knife as a gift a few years ago, and it's been a nearly constant companion of mine ever since. It's not too big, bulky, or heavy to carry in my pants pocket, and it's extremely useful.It's got two cutting blades - a long one and a short one, it has a can opener/small standard screw-driver, a bottle opener/larger std screwdriver, a punch, a phillips-head screwdriver, a built in pair of tweezers, and a plastic tooth pick. I've used the tweezers several times while hiking or camping to remove splinters, etc.This would be a great knife for a boy scout, an adult scouter, or anyone that likes having a pocket knife handy.The steel is high quality, it holds an edge nicely, and sharpens up quite quickly.All in all I have found my knife to be a top-notch item. I'd certainly buy another one if this one were lost, and I'd choose this as a gift for a close friend.5 stars!",5,"I carry it wherever I go (um, except to the airport).",1231718400,"01 12, 2009",0.4611
7,A1X5RAIMX4ZSLJ,B00004YVAJ,BadPotato,"[2, 2]","I will always have a Victornox Swiss in my pocket. They are small, sharp and they have a toothpick and tweezers. Couldn't ask for more. For what I need a pcoket knife for these are fantastic, fairly durable, at least for my uses. If I were doing anything more heavy duty I would carry an Old Timer. But the size of the Victornox and the functionality, I have kids, makes this a sweet tool for me.",5,Great pocket tool,1266796800,"02 22, 2010",0.195
8,AT1T9DMR7V5W6,B00004YVAJ,**** be fair ****,"[1, 13]","ORIGINAL:It is like a Yellow Ferrari :) The color in the picture is faithful to reality. All tool are excellent as expected but beware that this is very small knife. A true keyring thin short knife and micro scissors :)UPDATE:After first use, I noticed that the keyring is at the wrong end of the knife and right end of the scissors. Maybe this knife in reality is a nail-clipper (scissor to clip and file to smooth out and the knife is a novilty that goes with the name. I am updating my review to 1 just so they may listen otherwise the knife is worth 3.5 stars max 4.ACTIONI think we should all update our ratings to 1 for Victronix to listen up or as one of the reviewer said already that he has contacted them since 2o years ago but no one listen.",1,Keyring at WRONG end,1370649600,"06 8, 2013",0.1471
9,A30L3MT5R27336,B00004YVAJ,Bill Welte stickeen,"[0, 0]","I got these as stocking stuffers for my step-kids (they're adults, actually). All of them loved the knife and more than one told me how handy it was and wondered how they got along without them.",5,bought 4,1357084800,"01 2, 2013",0.2997
10,A27AF4DLLOBQDQ,B00004YVAJ,B. Marshall Bronco Fan,"[2, 2]","If you carry one of these, you'll forget you have it. The Alox are extremely thin. High quality.",5,Great every day knife.,1201478400,"01 28, 2008",-0.0754
11,A3KZUAA4F2VQ2A,B00004YVAJ,Book Reviewer,"[0, 0]","Made a great gift to the girlfriend who never had a pocket knife. Now she finds reasons to use it all the time.I should have gotten it in pink, I was told.Great quality product at a reasonable price.",5,Good value,1402963200,"06 17, 2014",0.3953
12,ACIGG98OXH0IP,B00004YVAJ,Brian Turntine,"[1, 1]","This knife works fine, but its much smaller than I anticipated. Please read the dimensions to be sure of what you're buying. Its smaller than a Chapstick tube. This is not the standard size pocket knife as I thought I was buying. I will try and take a photo and post later for comparison. Price wasn't bad, good quality product, just smaller than I was expecting.",3,"Swiss Army quality, miniature size.",1403827200,"06 27, 2014",0.129
13,A12RTXVWYEE3H8,B00004YVAJ,brystler,"[0, 0]",Baby McGyver all the way baby. No need for a big clunky knife when this little one does it just as good. Bonus is that if I lose it then it is inexpensive to replace. Still haven't destroyed or broken one of these. My biggest trouble is forgetting I have it in my pocket when I go to the airport. A few airport security guards now have one nice knife in their pocket.,5,Baby McGyver all the way baby,1388880000,"01 5, 2014",0.2083
14,ABMH1JAWEFY62,B00004YVAJ,B. S. X.,"[0, 0]","Always there for you in a pinch! Also, I love the scissors for trimming my nails and snipping the occasional hangnail. One belongs on every key-ring.",5,Indispensable,1404432000,"07 4, 2014",0.2123
15,A1GNQZ1GV3CW8X,B00004YVAJ,Bubobubo,"[0, 0]",I have had these for many years.They are always dependable little pocket knives.I have one on every key chain in the household.,5,Great,1329868800,"02 22, 2012",0.0
16,A19FRW264WZTGP,B00004YVAJ,Bunson Honeydew,"[0, 0]","Obviously if you do a lot of cutting or need a companion on the trail, this is not the knive for you.If you need an easy to carry companion for every day use and something light for the office, this is for you.I can't tell you how many times I've 'spruced up' before a meeting, needed to put out a splinter, etc. I've had mine for years! It's a great investment.",5,Great sidekick,1233532800,"02 2, 2009",0.3216
17,A2OEZIIK61GDW0,B00004YVAJ,California Doug,"[0, 0]","I didn't know they made white ones until my friend showed me his.Victorinox may be rivaled, but never equaled or beaten!!This is the EDC size including knife and scissors if you wear a suit and can't carry anything bigger.",5,White Classic,1359331200,"01 28, 2013",0.3293
