,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2IAR5XDY0KT2F,076400557X,Becky,"[0, 0]","In Australia, this movie is titled &quot;Hills Angels&quot;, and I think that is a much better title and certainly describes the very funny female characters in this film. When confronted by a seemingly unsolvable gambling problem that is running amok in his town, instead of acting like a politician or a sociologist by blaming this, that, and the other for it, a minister, with the help of some spunky parishioners, resolves to DO something about it other than lament over it, and in the process provides viewers with some great entertainment and good clean fun that has become extinct in the graphically violent action movies of today. If I had children, I would not have any problem with them watching this movie and as a matter of fact, I saw it for the first time when I was 4 (I'm now 25)!",5,Great fun all around,962150400,"06 28, 2000",0.6685
1,AV4OXA63Q02M4,076400557X,Bonnie J. Boyce JRCLS 82,"[0, 0]","Great trip down memory lane for those of use raised on Disney live action movies of the 70s. Good for the kids & grandkids, too, if they aren't yet too jaded.",4,Disney in my era,1364688000,"03 31, 2013",0.6239
2,A32SLI1HAKSS5W,076400557X,Brenda Laird,"[0, 0]","So cute...just love this movie, always have. Bunch of old familiar Disney faces. Lots of laughs and slapstick-ish kind of stuff.Great fun!",5,Love this movie,1354060800,"11 28, 2012",0.482
3,A3HDNSPMU0IAPT,076400557X,Byron Hartzler,"[0, 0]",Movie has good clean humor with lots of adventure. Drinking alcohol is shown but is not glorified. God and church are still shown in a positive light (rarity these days). Criminal activity is punished.,5,6 Women Defeat Large Scale Gambling Ring,1250121600,"08 13, 2009",0.0575
4,AP0DQSDFSLP4P,076400557X,Christopher M. MacNeil Chris M,"[10, 12]","Seldom does anything from Disney disappoint, and &quot;The North Avenue Irregulars&quot; doesn't. A sheer comic delight based on the premise of a group of church-going women setting off to undo small-town mob infiltration, the film packs some true rib-ticklers. In his role of the church's miniser, Edward Herrmann shows a rare comic side that, when first shown, was an about-face from his splendid dramatic work in the &quot;Franklin and Eleanor&quot; duo. But Herrmann is clearly upstaged by his supporting cast of distaffers, which is what this film calls for, and Cloris Leachman and the late Patsy Kelly are riotous! She has one of the film's best scenes with two confederates who try vainly to catch a suspected mob figure, running a refreshment stand, in a taped confession. Turning the recorder on only to get the Andrews Sisters' version of &quot;Roll Out the Barrell&quot; is nothing but splendid comedy. In sum, the film is one of those hidden gems that doesn't give us any serious social message or calls attention to the state of the status quo and instead gives us a welcome relief from all that serious stuff.",3,A Disney riot!,1037750400,"11 20, 2002",0.3124
5,ADHETRW4S6Y0W,076400557X,cja,"[1, 1]","This is an old Disney movie, but it is delightful to just watch the cars of that time and to see the values it portrays - unfortunately long gone from today.",5,Pure enjoyment,1273449600,"05 10, 2010",0.7684
6,A27ZOCD5B63Y0P,076400557X,D. Collier Shelf-Help,"[2, 2]","I first saw NORTH AVENUE IRREGULARS about 25 years ago. Recently I decided it was time to give it another go. To my surprise, I had just as much fun watching it in my 30s as I did when I was a kid. To my even bigger surprise, my wife had more fun watching it than she would have on a rollercoaster ride!NORTH AVENUE IRREGULARS was one of Disney's final attempts at a fun family film (that the whole family could watch together), during the waning years of the era in which clean films were still marketable. The title is derived from the Baker Street Irregulars -- Sherlock Holmes's reliable band of young London ruffians who could spy on the suspicious and unsuspecting and deliver the inside scoop. But instead of Sherlock, we have a nave yet determined young preacher who is bent on cleaning up his city. And instead of young ruffians, he depends on the church women -- young beauties, grandmothers, and soccer moms. With the help of two federal agents this unlikely group of enforcers give the local mob a run for their money.What you'll find in NORTH AVENUE is a lot of zany situational comedy as well as high speed car chases and classic cinema CB-radio chatter -- which has been replaced by the cell phone and other technologies in today's movies. It also boasts a climactic all-out derby that would make SMOKEY AND THE BANDIT jealous.What you won't find in NORTH AVENUE is profanity, blasphemy, gratuitous violence, or sexual immorality. If this movie were remade today, they would probably have the preacher (the hero of the movie) in an adulterous affair with one or more of the women he recruits. Fortunately, NORTH AVENUE was made before garbage like that became popular in Hollywood.This movie is filled with good, clean fun and has plenty of rewatchability.",5,Highly Irregular,1255392000,"10 13, 2009",0.3516
7,A2ANEXY69PPVMA,076400557X,Debra M. Duval dmd,"[0, 0]",I like good clean movies and this one is that. About a crime busting Minister. Great for the whole family. With some interesting action. What a hoot!,5,review of movie,1395014400,"03 17, 2014",0.2562
8,A3VFX311ORTDB5,076400557X,DISCOBOY,"[1, 1]","I SIMPLY LOVED THIS MOVIE!!! This is a great movie for everybody. A real good movie to show any Youth Group atChurch, if you have movie night. I wish I could give 10 stars on this one, because I would.",5,NORTH AVENUE OF FUN...FUN...FUN!,1313798400,"08 20, 2011",0.5413
9,A89TCQM7GFYWC,076400557X,dutchgirl,"[0, 0]",I have looked everywhere for this movie and was thrilled to find it. It was mailed with care and is a nice addition to my DVD Disney collection.,5,Happy to have,1367625600,"05 4, 2013",0.5794
