,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1Q17KFFOICBH5,B0000530LP,A. Kothari Anks,"[1, 1]","I have used a loads of brands like Redken, Biolage, John Frieda, Garnier etc. This shampoo has been the best I have used so far. It really cleans the scalp and hair without any residue. Pair it with any good conditioner and results are fabulous. This is cheapest and yet the best shampoo I have ever used! Highly recommend.",5,Love it,1350432000,"10 17, 2012",0.4718
1,A22OWLY1J6XEH8,B0000530LP,Amy,"[1, 1]","Wow. I thought prell rocked it. I now have a new favorite. Why? It cleans thoroughly, leaves skin clear, removes the ick from hair and has a neutral fragrance that works with any suave conditioner. Also doubles as a body wash. The price in stores is about two dollars. I hope they never stop making this. Too many shampoos are filled with oil and silicone. This relieves my hair of the heaviness some products create. It's a steal.",5,cleanest hair ever!,1394841600,"03 15, 2014",0.2181
2,AJWOIC9QYV8AV,B0000530LP,Anna Jar AnnaJar,"[0, 0]",This is a great product at a great price. Hopefully it will be back in stock soon. We use it in place of soap to wash in the shower. Leaves no soap scum and works just great. It's also wonderful as a shampoo from time to time to clarify hair (it's original use).,5,Love this,1376352000,"08 13, 2013",0.4818
3,A8CKH8XB33XGN,B0000530LP,Dave the Pear,"[1, 2]","My doctor recommended I try this shampoo... I would say it's my favorite now, it doesn't cost much, it does a good job, it doesn't strip my hair (I have &#34;Einstein&#34; hair when I let it get longer than a few inches) or dry my scalp. Smells nice, but not &#34;pretty&#34;.",5,"smells nice, feels clean",1359936000,"02 4, 2013",0.3794
4,A3NK6P0QFDUZL2,B0000530LP,G. Charles Steiner,"[1, 1]","This review is from: Suave Naturals Shampoo, Daily Clarifying 15ozThis shampoo does clean the hair, but it leaves thinning hair blowzy and dry. It does not moisturize in the least. There is a scent to the shampoo, too, which, while slightly feminine isn't potent and clinging, surprises this consumer because this shampoo is advertised as hypo-allergenic. Scents do cause allergic reactions in certain people, as Amazon reviewers here attest. The scent doesn't cause me any allergic responses like headaches.What bothers me is that though this shampoo is for normal to oily hair, it strips the hair of all oil, leaving it clean but very dry. Only a good conditioner can remedy the problem this shampoo causes. Also, this product contains the infamous lathering carcinogen, sodium laureate sulfate.",3,Okay But . . .,1385251200,"11 24, 2013",0.145
5,A1G5GIKECC60ZE,B0000530LP,heather cross,"[1, 1]",Well actually I don't use it. I buy if for my kids and my husband. And none of their hair looks greasy so I guess it cleans.... It smells good too!,5,Gets my hair clean!,1379721600,"09 21, 2013",0.1915
6,A3E6C0OWUUPSPL,B0000530LP,illiniManhattanBookLover,"[1, 1]","Granted, it is the industrial ingredient standard, but What Suave has done for the knockoff is what Armani has done for the couture industry. Suave Daily Clarifying Shampoo (comes in clear-Blue or clear-White)washes away the daily grime of product use and can also be used to treat swimmer's hair in a pinch. For just under $2.00 it is a real gem, and if I wasn't such a die-hard Aubrey Organics fan, I'd use it every shampoo... Like I said, it's a real keeper (and great for all hair types) ! A+/A-",5,A Real Keeper!,1348531200,"09 25, 2012",0.503
7,AMZBW805Z3OAY,B0000530LP,Janet Cloud Movie Lover,"[0, 1]",This is not a clarifying shampoo. Avalon Lemon is much better and the Old Pantene Clarifying shampoo which is no longer available was the best is you have a greasy scalp and dermatitis.,2,Clarifying shampoo,1362182400,"03 2, 2013",0.3548
8,AKMEY1BSHSDG7,B0000530LP,J. Arena,"[0, 0]","I don't know if this shampoo works as well as it used to, and I will probably never find out. This is not the same as the Suave Naturals Shampoo Daily Clarifying formula that I used to purchase. Pleeeeeze, Suave.... remove the scent which burns the back of the throat of other people in the next room, and replace it with.... well.... nothing! By the way, what is the point of the blue coloring?",1,What happened?,1383609600,"11 5, 2013",0.3477
9,A2F1HRIJTUQOHJ,B0000530LP,Lyndsey,"[0, 1]",We use this exclusively for removing grease and oil from clothing before washing because it works great. We pretreat the stains and let the item sit and then throw it in a cold wash and this removes almost everything. I can wash light blue work jeans covered in black grease stains and make them look practically new. Fantastic!,5,Our go to product for laundry,1391040000,"01 30, 2014",0.3058
