,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3EE0H0NWQ9QVL,B00004Z498,"&#34;Rocky Raccoon&#34; Hey, Doc, It's Only ...","[0, 0]","I just barely missed out on Scotch's new mounting tape, which more readily can be taken off most surfaces without residue or remnants of its backing.This is essential, for any time you move or otherwise have a reason to take down something from your wall, it leaves a mess that you have to scrub with the abrasive side of a kitchen sponge.Having stated that objection, Scotch's 1/2 Mounting Tape has plenty of uses: It is great for those stubborn posters that refuse to stay up when you refuse to mar your walls with thumb tacks.I've used this product (and other sizes as well) for putting up a simple dry erase board with a cardboard backing. It gives me space to write calendar urgencies upon a wall in an affordable way.It does not (nor do the instructions imply that it does) work with heavy pictures or mounting other heavy wall objects.Seeing the improvements made for its newest addition, this old product version will do the trick, but the newest version is most desirable (particularly for landlords and perfectionistic homeowners) for changing or taking down mounted products.",4,"Basic, but Use Sparingly",1307836800,"06 12, 2011",0.1112
1,A2I98OOPNIJNYY,B00004Z498,Altar Boy Pax Vobis,"[0, 0]",Cut to the chase . . . this product works well. Only a little dab will do you. If you use too much tape you will have a hard time trying to remove what you put up there on the wall etc. You only need a small quantity to do a great job of holding something to a clean surface. I highly recommend this and most all 3 M products.,5,a little dab will do you,1299801600,"03 11, 2011",0.137
2,A3H7NPNDMGLOU4,B00004Z498,Amazon Enthusiast The Lucky One,"[0, 0]","Perfect size for hanging lightweight objects. 1/2 wide and just 1/16 thick, this is ideal for office projects like securing whiteboards or wall-mounted file pockets (like these:Rubbermaid Three-Pocket File Folder Organizer, Plastic, 13 x 3.5 x 11.5 Inches, Clear (96050ROS). No more cutting chunky doublestick tape down to size: this is neat, clean, and easy. Rated to hold up to 2 pounds.",5,Quick & Easy,1303344000,"04 21, 2011",0.5681
3,A1T61QP7QHYBRQ,B00004Z498,an honest reviewer,"[1, 1]","This mounting tape works very well to walls or smooth surfaces.It can hold posters, post cards and other not too heavy papers and decorations.Scotch is a good reputable name whose products are good quality and reliable.This tape is another fine dependable product.",5,Provides Good Hold,1300320000,"03 17, 2011",0.8399
4,AC4XV78EJG1QB,B00004Z498,Anne,"[0, 0]","The other day I needed to mount a paper towel holder in my kitchen. I have had a hard time in the past trying to drill into our kitchen cupboards, so I used this tape instead. I was only able to use 2 small pieces about 1 inch each in length. It has now been up all week! I am impressed. Most of the time I usually thing that tape is just tape and I've had mixed experiences with tape of this type. But, with this tape I am pleased!",4,Pretty Impressive,1300320000,"03 17, 2011",0.1434
5,A1HFT68GJ42LTM,B00004Z498,AverageGuyShopper,"[0, 0]","This stuff works really well. I only put on things that I plan on leaving up for a long time/permanently - so unfortunately, I can't comment on stuff left up for longer than 6 months since I just got it ( maybe update later). For temporary items, I use the temporary command strips from 3M which allows me to peel stuff off walls without damage. This product is supposed to be permanent, so there is no guarantee it won't damage your walls. I use it to hold a metal towel hook to wood drawer.",5,As others have said,1300233600,"03 16, 2011",0.1063
6,A28ZDVY6NV75P,B00004Z498,AZ Desert Rat movie buff,"[1, 2]","This can come in handy for different home projects and decorating. For example, I decorated a huge bathroom mirror with small framed pictures using this double sided tape, it looked great. Perfect when you can't or don't want to ruin a wall with a nail. I also decorated the ceramic tile backsplash in the kitchen with the same sort of small framed pictures. The tape is not too hard to remove from the glass/mirror/tile surfaces but expect some difficulty when removing from painted walls. A little sanding of the residue is needed.",4,Really like this product,1304208000,"05 1, 2011",0.1812
7,A2FRFAQCWZJT3Q,B00004Z498,B. Davis The Happy Hermit,"[0, 0]",I have glassed and framed art on my walls that were mounted using this tape and have been holding fast for six years. It is an excellent product that does exactly what it says. Be aware that its use should be considered permanent. I have not found anything that will removed the remnants of adhesive and foam from either the wall or the mounted item when I've re-located or removed whatever the tape is holding up.,5,Has stood the test of time,1298937600,"03 1, 2011",0.143
8,A9KAY47NCPQS,B00004Z498,Beatrice Izzey Nanny Dog,"[0, 0]",Use brand names for tape. Do not skimp.I am a cheap skate but I offer this advice from experience.,5,Very sticky!,1305763200,"05 19, 2011",0.0
9,A35JP8KSV9281K,B00004Z498,bezoarrn,"[2, 2]","I used this product to hang large posters on my workplace walls for a party. It holds well even on textured surfaces and comes off cleanly. Best of all, I was able to remove the foam tape from the posters without tearing them so I could store gem for use in hue future.",5,Works perfectly,1308787200,"06 23, 2011",0.4373
10,A1ID17C7YF8FGI,B00004Z498,B N,"[0, 0]",Its tape!,5,Its tape!,1404604800,"07 6, 2014",0.0
11,A3TX46J8SBZPG3,B00004Z498,brazos49 brazos49,"[0, 0]","I haven't used this a lot yet, but, based on my fairly small sample of experience, this product is a lot stronger than other mounting tape I've tried. We used it putting up posters at a fundraising event and it did an outstanding job - even on a brick wall. It gripped the wall and the posters very well. It didn't take a great deal of length to hold bulky and moderately heavy posters. Pretty much exactly what you're looking for from a product like this.",5,Strong adhesive,1301875200,"04 4, 2011",0.3317
