,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A152WT3INB56MX,B00000DMAQ,Aaron,"[0, 0]","This is most likely one of the best N64 Games Ever made, Its way better then Super mario 64 in everyway (and possibly Zelda too), its rich, colorful and very addicting, The soundtracks are also one of my favorite things about the game- it has a happy and also very awesome tune to them making them addictive (you just cant stop listening to it!), and the world designs (10 total I believe) are all very Beautiful and Gorgeous, I've beaten the game to 100% and I still go back to the worlds and gaze in thier amazement, its just really cool, this game is a MUST HAVE for any Nintendo 64 player, Im serious if you dont have this, your missing out BIG time.PS. check out its Sequel Banjo-Tooie after you've bought this!",5,MUST HAVE for any Nintendo 64 Collection!,1328227200,"02 3, 2012",0.6212
1,A1ZPVW0WXNJ3YZ,B00000DMAQ,Alex 47,"[5, 5]","I've had this game since way back when it was released; I just never got the chance to write a review.The Story: Banjo's sister, Tooty, was the most beautiful girl around and Grunty the witch wanted her beauty, so she pulled an Amber Alert and took her to her lair. Banjo's lazy bum the whole time was sleeping. It's up to you to get jiggy's and notes and what-not to stop Grunty and get Banjo's sister back.Graphics: 9.5/10. Awesomely different and creative worlds. From a sewer, to a pirate ship on an island, to a desert and into an icy snowland, there are tons of different and unique worlds to play through. The graphics are stellar for the N64, with bright colors and cool characters with good animations. This is one of the best N64 games as far as graphics go next to games like Donkey Kong 64 and Legend Of Zelda: Majora's Mask.Sound: 9/10. There aren't really any voices in this game; just kind of sound effects that are different for each character. Blubber on Treasure Grove Cove sounds like he's burping or throwing up, Kazooie sounds like a gagging bird, Banjo sounds like a big old hick of a bear... and so on. The music in this game, though, is some of the catchiest and the best music i've heard in really any adventure game. The music doesn't really get old, and whoever created it is brilliant. Overall, the sound is really, really good.Control: 8.5/10. Being an adventure game, there are a lot of different controls for a lot of different moves. And since the N64 controller is the way it is ( pretty annoying ) it's easy to get confused even after playing for hours on end, just because you go brain dead. The controls are a bit strange at first to do some of the attacks, but you will get used to them anyways.Fun: 9/10. A great game from beginning to end. Get the jiggys, move on. Get the notes, move on. That simple? No. This game is challenging and is for all ages, even if it does have a kiddy approach. The game lasts maybe 40 hours or so depending on how fast you get through the game. Great characters, great level design, and fantastic music makes this a must buy. This is one of the best games on the N64, and I.M.O., the best adventure game. Pick this game up now; it is better than its sequel and the Game Boy Advanced ones, even if all three are fantastic. Buy this game!!9.3/10",4,Best Adventure Game I've Ever Played!,1145491200,"04 20, 2006",0.2903
2,A1T9PJBFBFKSGD,B00000DMAQ,Auburn Niewiadomski,"[2, 2]","Rare just has an extraordinary knack at making great games. Banjo Kazooie was released in 1998 and has been considered a classic since, and I too must agree with this well deserved honor. Well, why do I find this game fantastic? Well, I'll explain that in my review.First off let's talk about Banjo Kazooie's story. Banjo's sister Tooty is kidnapped by the wicked witch Gruntilda. Gruntilda has planned on swapping Tooty's beauty to her, but not if Banjo and his friend Kazooie can help it! Okay, seriously this story is pretty lame, but hey! It's a game. In My opinion, no matter how good the graphics are, or how great the story is, it all boils down to one thing. And that's gameplay. And Banjo Kazooie has fantastic gameplay.In Banjo Kazooie you play as Banjo and...well...Kazooie, and Kazooie stays inside Banjo's backpack at all times, but she's not useless. They both work as a team and learn many moves, which brings us to our next character, Bottles. Bottles the mole helps you learn different moves to help you defeat Gruntilda and rescue Tooty. But do you just walk up to Gruntilda and save Tooty? Not at all, there are several items to collect to defeat Gruntilda. The most important one is jiggies, there are ten jiggies in each world and you need several items to collect them. Along the way Bottles teaches you to use certain items, such as eggs to shoot through Kazooie's mouth, or how to fly when you collect enough feathers. Another essential item to collect is mumbo tokens. Gruntilda has hidden mumbo tokens all around her enormous lair and if you collect enough you can visit the great shaman Mumbo Jumbo and he will transform you into different creatures to help you along your journey. So you have plenty to do in this game, I can guarantee that. Another essential item are music notes, in each world one hundred music notes are scattered all around and if you collect enough you can open new doors in Gruntilda's massive lair. But I do find it to become quite tedious sometimes. Why? You may ask. Because each time you leave and re-enter a world all the notes are still there, no matter how many you've collected. Let's say you've collected ninety-nine out of the hundred possible music notes to collect, well if you leave the world and re-enter, you would have to collect all ninety nine notes again, you couldn't go searching for the one music note you hadn't collected. And while yet this situation is highly unlikely, it's still annoying no matter how many notes you have to re-collect. Fortunately, if you don't care about collecting all one hundred music notes, you don't have to because the game automatically saves the amount you've collected.There aren't too many moves to learn in Banjo Kazooie, and it didn't take me long to master them. And there aren't many control problems, actually the controls are almost perfect. But I did get frustrated with a feature that was not added in the game, I wish Banjo could hang on to ledges, there was many times in Clanker's Cavern where I could almost reach a ledge, but it was just barely out of reach because I couldn't hang on to the ledge. While yet this wasn't too big of a deal, I think that feature could of made the game a little less frustrating. I was also very pleased with camera control, there are three angles to choose from except in a few rare areas and I found it easy to maneuver.I told you this game was made in 1998, right? Well the graphics are terrific. The different atmospheres to this game make it twice more enjoyable. You can relax in broad daylight in Treasure Trove Cove, or wonder at dark in Mad Monster Mansion. And I thought the last world Click Clock Wood was absolutely brilliant, it's a forest and you collect jiggies in the four season's spring, summer, fall and winter. I especially loved Freezeezy Peak, and it was so much fun climbing the huge snowman.I also loved the music in this game, each beat is catchy and it never got repetitive for me, and the sound effects were great as well...well the only complaint I could have is that there is no dialogue in the game, but I actually found the weird sounds from the characters kind of funny and I loved the insults between Kazooie and Bottles and Gruntilda's rhymes cracked me up, that's another reason I love this game, it has such a charm to it, not like some newer games, to many games have steered away from being innocent and charming, and this game has this quality.What more can I say? This game is fun to play, it has great replay value, the music, sounds and the worlds all sound and look absolutely fantastic and the difficult final fight with Gruntilda at the end was indeed terrific as well. It took me thirty hours to complete (without a guide) and I had so much fun solving puzzles and this game can test your mind at certain times. I will admit I did need help online for a few jiggies, but the ending sequence makes the occasional frustrations all worthwhile, very satisfying if you ask me. I'm now very anxious to play Banjo Tooie, as it's been claimed to be even better than the original. Banjo Kazooie is highly recommended, this game is indeed a classic.",5,Banjo Kazooie,1283212800,"08 31, 2010",0.3031
3,A2582KMXLK2P06,B00000DMAQ,B. E Jackson,"[0, 0]","Banjo-Kazooie is a strange platformer, but ultimately misses the mark in all key areas of being entertaining. It tries to be funny without actually being exciting to play. All the attention on humor and yet, the game itself is hardly ever fun. This means children would probaly be able to overlook the games flaws and focus on the humor, which I'm sure was Nintendo's intentions- to market the game for kids and assume they wouldn't be able to detect the lousy game design. I guess the Nintendo 64 struggling to make a profit at the time meant Nintendo had to do absolutely anything to try and get *any* type of crowd interested in their products despite the poor quality we're forced to persevere, so that explains Banjo Kazooie's existence.Anyway, Banjo-Kazooie is basically nothing but an item-collecting quest with graphics that are admittedly prettier and just better than 90% of the stuff the N64 was pumping out at the time. The waters, grassy lands, mountains... everything is a beautiful sight to behold with crystal clear authentically pleasing environments. But seriously, why am I basically doing nothing but walking around collecting items the entire time? If you think That's what ALL platformers do! guess again: many of them focus on exciting enemy variety, diverse surroundings and a gradual increase in challenge which this game sorely lacks. The only challenge is to avoid falling from high narrow platforms while collecting musical notes- these are dirty tricks and artificial challenges. I found sharks you have to swim away from, crabs you can stomp on top of, and weird gigantic green enemies that come out of walls while you're trying to make your way across high paths without falling. These enemies only appear like 10% of the time- the rest of your surroundings aren't very threatening.Let's see all the things you have to collect. Honeycomb pieces, jiggy pieces (mandatory to open entrances to new locations and you need to obtain a certain number of them per world), 100 musical notes which is a total ripoff of Super Mario 64 with the 100 coins needed to get a star, mumbo tokens used to cast spells, and jinjo tokens used to win vehicle parts. You can turn into animals and insects which is somewhat satisfying for the sake of seeing the occasional brief moments of diversity, but otherwise nothing to get really excited about. Often you have to climb trees to reach the items on top and it gets boring after a while, believe me.Oh and the game is a victim of underwater tragedies- you're constantly adjusting the camera for a more appropriate angle but finding that it's much harder than it needs to be. I will never understand why Nintendo refuses to fix water portions in 3D platform gaming. It's mind-boggling. They didn't even fix them in Super Mario Galaxy 2, a game released a good 10 years after Banjo-Kazooie. The characters are all forgettable, including the ponytail-sporting female bear and Banjo himself. Kazooie the bird is probably the only tolerable one of the bunch.Whereas the Mario series can be enjoyed by kids and adults respectively, Banjo-Kazooie is certainly intended solely for children and no other age group. It's too shallow of a game overall to satisfy adult gamers. Banjo-Kazooie is like walking into the nicest looking restaurant in town and everything is great except for one thing- you get a small quantity of food so you ask yourself Is it worth my time to return here again?",2,banjo kapooie,1376265600,"08 12, 2013",0.2638
4,A1OICXF47H5RUD,B00000DMAQ,Billy Johnson,"[2, 2]","If you own a N64 and are looking for a game to play, go to your local game store and find Banjo-Kazooie! In my opinion, this game is simply amazing. The main plot throughout the game is that Banjo the bear and his faithful breegull sidekick Kazooie are attempting to rescue Banjo's little sister Tootie from the evil witch Gruntilda. Enjoy the game as you explore 10 exciting worlds, collect numerous puzzle pieces(open worlds), and rescue your sister from the evil clutches of Gruntilda.",4,One of the most imaginative and creative games I've ever played!!,1136851200,"01 10, 2006",0.3642
5,A1VA4Z4B7Y74KY,B00000DMAQ,Brad,"[0, 0]",Great game!,5,Five Stars,1404777600,"07 8, 2014",0.6588
6,A2II09GQGWOMTQ,B00000DMAQ,Brian Nallick METALMANMN,"[1, 1]","If Mario 64 was good than Banjo was Mario perfected.Amazing game.Another gem from years ago that I played start to finish multiple times.Amazing levels.Perfect control.Great but hokey music.Some people were annoyed by the voices.I thought they were hilarious.The camera does get a little crazy here and there but this was 3D platforming in it's beginning and really, the camera is about as perfect as a 3D platforming camera can be.To summarize...Great gameplay.Awesome graphics for the time.An ending riddle that had me looking for a way in for weeks on end.(A real bummer that the two games DIDN'T link after all).That's probably the biggest disappointment that all those mystery areas were never revealed by the N64.Otherwise....another great platformer from the golden age of platforming, collect a thons.Highly recommended.",5,One of the best platformers.,1294704000,"01 11, 2011",0.1949
7,AJPTIO3SH82S7,B00000DMAQ,brutusmuktuk,"[0, 0]","Developer Rare is a master at infusing originality into their imitations. This isn't a knock against them. William Shakespeare pulled stories and plots from other writers and crafted masterpieces. Rare is gamedom's Shakespeare, in that regard. Banjo-Kazooie is obviously influenced by Super Mario 64, although it's always unfortunate for a game to be compared to that masterpiece. While Banjo-Kazooie lacks Super Mario 64's magic and ingenuity, it has its own magic that sets it apart from Nintendo's behemoth.The Good:+ A fun story+ An imaginative use of its characters+ Creative worlds to exploreThe Bad:-- Too easy and short-- The few parts that are too hardThe Ugly? Why is Kazooie so insulting?Story--9/10The first thing that stands out is the dialogue, especially of the evil witch, Gruntilda, or Grunty, who speaks in clever rhymes. It's refreshing all the more that what she says is often funny. The game begins with her asking her mirror, Who is the most beautiful of them all? Of course, it couldn't be Gruntilda. There's nothing even remotely pretty about a fat, green hag. The most beautiful of them all is Banjo's younger sister, Tooty (who looks similar to Tiny Kong of Donkey Kong fame). So Grunty sets off to kidnap Tooty and succeeds, leaving only the mole, Bottles, as a witness. Bottles must survive a downpour of Kazooie's insults and witticisms to explain the kidnapping to Banjo and Kazooie. The question becomes, can Banjo and Kazooie save Tooty before Grunty robs her of her beauty and transfers it to herself?Gameplay--8/10Here is the game's bane and boon. Everything else sets it up wonderfully. The soundtrack is great, the visuals are very nice, and the opening story sequence is funny. The game controls smoothly and you have plenty of moves to learn and use throughout. The levels are varied, with plenty of collectibles and other goodies to discover. But these levels are so small, so short, so easy. I never spent an hour and a half on any one level, and most of them took less than an hour to complete. In that time, I could collect ten jigsaw puzzle pieces, one hundred musical notes, and numerous other items such as the Mumbo Jumbo skulls, extra lives, and Jinjos. Compared to Super Mario 64, I can't help but say, is that all?There are a total of nine worlds, as well as a main hub world, which is too labyrinthine for its purpose. Rare goes a little overboard as to the amount of collectibles they expect gamers to gather. Unless you use cheats, it takes 94 out of the 100 Jigsaw pieces total to unlock every single world, including the final fight with Grunty. That's not too difficult, as I'd say about 97 of those Jigsaw pieces are a piece of cake. More than 880 of the 900 music notes are needed in order to give you somewhat of a chance against the unfairly difficult fight with Grunty (you just can't count on Rare to make a strictly children's game: see Diddy Kong Racing).These are mostly criticisms, but they comprise a small percent of the game. You will spend most of it enjoyably. Despite the very easy difficulty, it isn't boring. There's plenty to explore in the levels, and as they go on, they become larger and more complex, especially the sprawling final level. Rare flexes all of its creative muscles in that level, revolving around the four seasons, and even includes a few semi-stories with some new characters. Not that the other levels are clunkers, but if only they could provide the same sort of entertainment, the rest of the game would have been that much more enjoyable.Longevity--5/10A game should only be as long as it needs to be, but I think Banjo-Kazooie needed to be a little longer. Considering what Nintendo did years earlier in Super Mario 64, it's no excuse that Rare couldn't match that level of magnitude. But it's unfair to compare any game to Super Mario 64. Most gamers will complete this, all 100 Jigsaw pieces, almost all 900 music notes, in less than twelve hours. After finishing it, there's no reason to go back. The cheats only give you infinite resources, but what's the point when you've already finished the game? The only way a game like this can extend its life is for the single player adventure to be a little longer.",4,A bird in a backpack is worth more than two in a bush,1371600000,"06 19, 2013",0.199
8,AWG2O9C42XW5G,B00000DMAQ,David Black Widow 2014,"[0, 0]","This is one game that will test your skills, on how to figure things out, but if you want to take the easy way out you can always get bottles the neer sighted mole's help. One thing i like about this game is that when Bottle & Kazooie confront each other they always throw smack at each other which makes the storyline more funnier. This is a pretty cool game, it's worth buying. I had fun playing it, i will buy it.If you liked this game check out all of the other Banjo & Kazooie games.",5,A Pretty Darn Fun Game.,1150329600,"06 15, 2006",0.7384
9,A1YN9N2OPEDU69,B00000DMAQ,Garrett Boudreaux,"[0, 0]","One of the best games on the N64, it combines action, adventure, puzzle and other elements as you go through awsome based levels to beat it.",5,Intresting Game.,1357084800,"01 2, 2013",0.7579
