,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AMP7TQRWAIE84,B00000IYEQ,Adrian Cooper That Guy from Venus. :D,"[0, 0]","The graphics are piss-poor but the game play and music rarely get better.Bulbasaur is better than any other starter ever and always will be. Charmander was cute but not as cool. And Squirtle as adorable as he was was way too slow.The madness never stopped in my house once me and my bro (22 and 16 now) got these into our grubby paws. We did next to no trading, but tons of gaming.20 Pokemon that are in this title are:Bulbasaur, Starmie, Vulpix, Vileplume, Articuno, Electabuzz, Ponyta, Gloom, Tangela, Lickitung, Mewtwo, Chansey, Taurus, Jynx, Oddish, Golbat, Horsea, Dragonite and Magmar.Game play : A-Sound : B-Originality : A-Story: C-Trading : A-Fun : AReplay : A++Overall : B4 stars.",4,Started the craze. 4 stars.,1195689600,"11 22, 2007",0.0973
1,A1FEOYSJRON2CN,B00000IYEQ,Alex F.,"[0, 0]","I understand that this is an original, but there are some things I didn't quite like with this game. In the Unknown Dungeon, I climbed a set of stairs and then ended up in a wall! I couldn't move anywhere except for out of it and back to the previous level. Eventually I managed to get up without being forced into the wall. Also, most of the game is Blue if played on the Game Boy Color or Advance systems. Gameplay, music, and the story are all extraordinarily great for a Game Boy title.",4,"Good game, but some flaws.",1402790400,"06 15, 2014",0.1658
2,A2FLZVYN0P6V41,B00000IYEQ,Amanda DarkSiren929,"[0, 0]",Besides this again being a re-purchased item and a older game; it was fun to play again despite horrible older graphics.,5,Pokemon Red Version,1267142400,"02 26, 2010",0.8201
3,A29T107R4L5Q1I,B00000IYEQ,Andre,"[0, 0]",Overall good purchase. The only issue I had was that the battery had died so I had to send it back but it came back in due time.,4,Good,1396224000,"03 31, 2014",0.0611
4,A3TIT9O3DUVZEB,B00000IYEQ,Baer Bradford Smile the Future Is Now,"[5, 5]","If you overlook this game because you think it is &quot;kiddie&quot; then you are missing out on a great RPG adventure. Go ahead, bite the bullet and play.",5,Not Just For Kids...,999820800,"09 7, 2001",0.4885
5,A33T8IA1WICAH9,B00000IYEQ,Benjamin M. Pecarina,"[0, 1]","Awesome classic. Nintendo made one great game here, I hope kids these days will still play the oldies.",5,Red,1247097600,"07 9, 2009",0.7402
6,A1IAQOSPATLKWO,B00000IYEQ,Ben Lehbert,"[0, 3]",This game was a good start for the Pokemon franchise but to strictly say. Very straight forward game and not very difficult. In my opinon this is the kinda game you would play in your free time or for old times sake. The controls are identical to Blue and Yellow and gameplay is simple.,3,Another Pokemon Review by me..,1204761600,"03 6, 2008",0.3686
7,A2YTGRFQC9ZF52,B00000IYEQ,Bill Lumbergh yeaahh...,"[4, 4]","We probably all know about the hype that Pokemon (Pocket Monsters) has received about 7 years ago. It started off as a game that originated in Japan around 1995-1996, and it was introduced to the United States in 1998. A TV show and a trading card series followed. Plush Pikachu dolls were everywhere. I was a big fan of this fad, and I was only in the 5th grade (late 1999) when I purchased this game and strapped in for the time of my life.This is the blue version of the original Game Boy series. Just like in the Red Version, there are Pokemon that cannot be captured (Ekans, Magmar, Scyther, Growlith and Mankey just to name a few), and a trade cable will be required to fulfill catching them all, but here's a little lowdown and some advice to some starters of this game:You are given one out of three Pokemon to start out with (Bulbasaur, Charmander, Squirtle), and note that your first trainer is Brock, who uses the rock type. I recommend you choose Squirtle if you want to take it easy at first, because it learns Bubble at level 8. Bulbasaur is also a good choice, but it doesn't learn Vine Whip until level 13. (I'm explaining the best moves to defeat Brock's Pokemon.) Charmander is not a good bet, but good for a challenge. When you get to Pewter City, however, don't rush to battle Brock until you feel like you are prepared. Metapod and Kakuna give out a lot of experience points so that leveling is easier, and if you catch a Caterpie/Metapod and raise it to a level 12 Butterfree, it can also help defeat Brock as well (with its Confusion skill).If you're familiar with the later games of this series, you'll realize a lot of differences. You can hold only 20 different types of items at a time (including PokeBalls and Key Items). And you gotta love the cheesy Pokemon graphics!Despite some flaws that haven't been perfected until the later games of the series, this is still a classic game.And I'm not a big fan of RPG style games, but this is the easiest and less stressful of them in my opinion. Recommended.",5,The Beginning Of The Classic Series,1159142400,"09 25, 2006",0.2805
8,AE9LT721EL12U,B00000IYEQ,Chadillac,"[0, 0]",Thanks again for this I have been a pokemon fanatic ever since I was a kid. I couldn't ask for more thanks again.,4,:),1366934400,"04 26, 2013",0.4666
9,A1Z2LXA6FTXI6U,B00000IYEQ,Colin The Ninja Guy,"[0, 0]","Let us be honest with ourselves. This is an old game. And yet it rocks most hard, say thankee. It's also highly addictive.The point of Pokemon is simple: catch cute, little, animated talking monsters with magic, plastic balls, and use them to kick the living daylights out of the cute talking monsters of your enemies. So in truth, it's a lot like real life.Plus, said monsters are fully changeable. You can give them a name, teach them special fighting skills, and even control how much they grow. This makes them much better than hamsters as pets go.Plus, its got ninjas! I'm not only talking about a ninja master who uses Pokemon to duel you (I guess he never learned how to use shuriken or swords or stuff), I also mean you can name you Pokemon things like: Mifune or Hayabusa or Zatoichi or Swordsman with an Umbrella (that probably won't fit). Of course, you can also name it Winky-dinky-do, if it do please ya. But I digress.Yes, Pokemon shows its age among modern video games. But so does Pong. And Pong is still mildly amusing. But without Pong, there'd be no Pokemom. And without Pokemon, there'd be no modern video gamage. And without video games, I'd have to actually face my family, friends and problems, and learn actual skills! So play Pokemon! It's better than Pong, and many other video games. Trust me. I've been there.",4,From the Golden Days of Ninja Interactive Video Sporting,1109203200,"02 24, 2005",0.1888
10,AJ1XG1BK7JK04,B00000IYEQ,Crowbuy Andy,"[0, 0]",Purchased for my son. He used birthday money to buy an old gameboy color and wanted Pokemon for it. None of the local stores has a used game in stock with a good battery. This had a new battery installed and works great.,5,For my son,1388016000,"12 26, 2013",0.2663
11,APUBK9YH6ZZ1D,B00000IYEQ,Daniel Barney,"[1, 1]",I Love This Game.There's Tons Of Weird Creatures Called Pokemon To Catch And A Lot Of Things To Do As Well.The Really Nice Thing About Pokemon Blue Is The Fact That Blastoise Has Really Cool Moves.This Is A Game That Anyone Who Owns A Game Boy Should Own. Ya Gotta Get This Game It's So Good.,5,Awesome Game,1061251200,"08 19, 2003",0.7127
12,A3R4794K2RVU1S,B00000IYEQ,Danny Yu,"[0, 0]","Pokemon was immensely popular in the late 1990s to early 2000s, and still has quite a fan base here in the new decade. Pokemon Blue, along with Red, was a remarkable feat that blended fun, as well as underlying lessons for many kids. As daunting as the task is, Ash Ketchum must show that he is the Pokemon master and the better of the two, when face to face with Gary Oak, his nemesis. During your journey, you'll encounter Gym masters, fun places to explore, new Pokemon, and much more. A truly fun and epic adventure.This game has many underlying lessons like:* Cities with different colors - many of which I didn't know existed - like lavender, saffron, and indigo.* Exploration - the idea of getting used to trying new things and ultimately carefully looking everywhere to find what needs to be found* Pokemon names - the many pokemon names were cleverly named to highlight its characteristics, like Mime, Diglett, Bulbasaur, Starmie, ditto, Drowzee, etc. My vocabulary expanded and I learned so much. The Pokemon alone are so immensely helpful in making words make sense.* Perseverance - when you lose the battle, it's simple: you just come back and try again until you achieve the mission or catch the Pokemon you want. It's immediately built into the psyche of the gamer. The game makes Ash Ketchum such a relateable and likeable character.The subtle educational aspect of this game is astounding and I'm very glad that I was one of the kids in my day playing Pokemon Blue.",5,The game that started it all - surprisingly very educational,1320537600,"11 6, 2011",0.429
