,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1NF8L57EJ0MDA,B00008ECKG,A,"[0, 0]",It is so hard to find a demi bra in 38DDD first of all. Second this fits amazing!! It is cute and so comfortable! The bottom does roll under a bit but not bad just if I am lounging on the couch and up and down alot. I am not sure how well its going to hold up over time (I don't think it's going to be more than a year) but totally worth the $$$$$ !!!!!!,5,LOVE IT !!!!!!!!!!,1350432000,"10 17, 2012",0.3795
1,A2ITURU2XAJHHB,B00008ECKG,Ali Michelle Berumen,"[0, 0]","I am a true 32DD and this bra is very beautiful and true to size! It is delicate, while still being supportive. Great buy!",5,Beautiful Bra!,1358899200,"01 23, 2013",0.6278
2,AXN2FPZ0SHLF0,B00008ECKG,Amanda,"[0, 0]","I'm accustomed to push up bras because of my lack of endowment, so this was definitely something different. Straps are nice and thick. Back band is wide. Front portion lays flat underneath bra instead of tilting up. Cups themselves are two layers of lace that support nicely but do not form the breast as a padded bra might. Will not hide *ahem* signs of 'cold weather'. Middle portion does tend to press into the chest. My boyfriend will love it when he gets back from the holidays.",5,Nice lace bra,1388102400,"12 27, 2013",0.2404
3,A16DCOTN3OD46J,B00008ECKG,Amazon Customer,"[3, 3]","I found the band to be a little bit snug, but it otherwise fits pretty much as expected. However, don't be fooled by the picture for this item. Unless you have naturally perky breasts or you would actually wear a half size and size down, your breasts are not going to sit that high in the cup. As with all demi bras, beware: any upper chest side boob fat you may have will be smushed into adorable little rolle, in a most unfortunate and highly visible manner. Don't buy this bra if you are carrying 20lbs extra or more. You will not be happy with the results.",3,Band a bit snug,1387238400,"12 17, 2013",0.0764
4,A1VE6K5586VT41,B00008ECKG,Andrea Carrillo,"[0, 0]",A little stiffer than I would have liked. But because the waist does run slightly smaller it fit a bit snug in the underbust and under the arms. I am sure that also the stiffness contributed to that. But if you order a size up on the waist size and are looking for something sexy and not something to wear for support all day it is a super cute and sexy bra...,4,very sexy but minimal comfort.,1404950400,"07 10, 2014",0.5367
5,A2RR4U00PJUAYG,B00008ECKG,Annie88,"[0, 0]",The Whole thig was Huge I normally wear a size 38DDD so I figured I'd be fine with a 40DDD but the straps were huge! Even with them tightened all the way it's like they expected my boobs to be a lot closer to my belly button then my shoulders. I had to cut 5 inches off the straps and re-sew them to get it wearable and even then the fabric was so worthless that it did absolutely nothing other than make me not naked.,1,The straps,1394323200,"03 9, 2014",0.1015
6,A33MPIK17YGMID,B00008ECKG,A. Portsmouth,"[1, 1]","This bra is pretty, and I do love the &#34;bounce&#34; that a good balconette bra gives, but the straps on this bra stretched out almost immediately, resulting in me constantly pulling up fallen-down straps all day.I wouldn't recommend this bra is you're a large-breasted woman.",2,"Pretty, but not structured well",1371340800,"06 16, 2013",0.4561
7,A1IK20UJ2SQ42Y,B00008ECKG,Babs Babs,"[0, 0]","This bra fit nothing like the Wacoal and Natori 32DDD bras I purchased from Nordstrom. I won't say it was too large, or too small because that wouldn't be accurate. It just wasn't *right*....",2,Get what you pay for,1372982400,"07 5, 2013",0.0334
8,AID5KDLSPEVWO,B00008ECKG,Bianca,"[0, 0]",Finding a 32D in a retail store is impossible. Ordered online and the cup fit is a little off. The underwire is a little small and the cup itself is a little large. I guess I'm just the wrong shape. The 32C underwire seemed to fit the same and the cup was a little small. So I guess I'm inbetween.,4,Fit is a little odd,1403913600,"06 28, 2014",0.041
9,A1G74LVQBHXR55,B00008ECKG,birdstorebird,"[1, 1]","In the interest of helping others...I'm 5'6 and 134 lbs (yeah, I know...working on it!). I'm a true 32DD in most brands. My ribcage actually measures at 31.5.First things first: this bra is beautiful, sexy, not the least bit trashy and I have been waiting for it to get marked down (THANKS AMAZON!!!). I purchased it in the black and its lovely. It has a lovely lace overlay and the cups are unlined. The seam you see in the pix is comfortable and doesn't telegraph through to a t-shirt/tank top. The cups give a nice rounded shape and come up high enough to not have any quad-boob or spillage after I bend over to pick up a wiggly toddler. The straps seem to do a nice job of supporting my 'girls' without cutting into my shoulders. The back has three hooks. The band is soft/not itchy and seems slightly small. I LOVE that the underwire doesn't come up too high. It hits at a very comfortable spot on the sides. For some reason, where the underwire meets in the front REALLY pinches. I really want this bra to work so I'm exchanging it for a 34D in hopes that its sister size will be a GO. Fingers crossed!UPDATE:Ordered the 34D. THe band was more comfortable (perhaps slightly loose?) but the cups gapped on the top. I must be fuller on the bottom. It made the girls point down and out. Very sad, indeed. Sending it back. It is beautiful...though. Maybe for someone else with a different shape.",4,Runs a bit small in band,1370995200,"06 12, 2013",0.2931
10,A2H88OD0G9IC93,B00008ECKG,Bliss Photographer/Girl Spaz/Chronic Disease...,"[0, 0]","I have 40dd breasts and it so hard to find a pretty bra that looks sexy, but still holds the girls in.This is perfect as it is a mixture of balconette and demi so you get some cleavage without everything falling out like most of the plunge bras.. I went back and bought in it ivory as well! I a hooked.",5,I super love this bra,1380067200,"09 25, 2013",0.418
11,A1D0EU36BY34VH,B00008ECKG,Clarissa,"[0, 0]","Fits as expected, with a nice thick band.",4,Fits good!,1404518400,"07 5, 2014",0.4215
12,A1KFY69MCHZ2JS,B00008ECKG,David N. Carlson,"[0, 0]",Felina products fit very well and are very confortable to wear for the whole day. Do watch for new styles to come out from them.,5,Under garment,1320451200,"11 5, 2011",0.2992
