,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A34JHV8H3NA8T1,B0000535UA,Andy Aspe Andy Female,"[0, 2]","I have oily scalp and hair along with being very sensitive. See my other hair product reviews. I don't then obviously recommend it for oily hair otherwise it's okay. If you want better check my other reviews. It definantly adds extra ingrediants unlike free and clear which some may prefer- but, I don't.",3,Works but isn't the best!,1224460800,"10 20, 2008",0.1779
1,A2JXCOUGYS5Y4J,B0000535UA,anonymous,"[8, 14]","i like that it doesn't have any fragrance and all those harmful chemicals. though it's those chemicals that make a shampoo super-sudsy, this one suds up enough, unlike other more natural shampoos. it's gentle enough for daily use. though i don't know about other folks' hair habits, i don't even use a conditioner - just shampoo and rinse.",5,my favorite shampoo,1184544000,"07 16, 2007",0.3054
2,A8P6PAEI5UMYL,B0000535UA,bridget,"[0, 1]","It's better than other shampoos I've tried for my problem scalp. Even though it doesn't stink of tar, it smells like old books. It does relieve my sore head better than regular shampoo. I bounce around my shampoo routine with different shampoos for psorais because it seams to work better, (for me).I do like dermarest, and Paul Mitchell tea tree shampoo as well.",3,It's better than most,1345334400,"08 19, 2012",0.4575
3,A39TFW3VSUVULK,B0000535UA,Cecilia,"[0, 1]","I bought this product a while ago, and I was so happy with the outcome. After a couple weeks of using it my scalp was no longer itchy (at all) and the flakes went away. It also has a very nice scent. Although it does leave my hair a bit dry, you just need to use a good conditioner and you're all set. I ran out and I had some head & shoulders stored so I used that. Head & Shoulders really sucks compared to the Jason brand. Once my Head & Shoulders is all gone I am going to go back to Jason and stick with it! It works so great.",5,Better Than Any Other Dandruff Shampoo!,1369094400,"05 21, 2013",0.2239
4,A3FR4QXW7JF15E,B0000535UA,Curtrenton Jodi Hamilton,"[0, 1]",The Shampoo arrived yesterday and tried this morning. It was very nice and i think I will be glad I bought it.,5,JASON Shampoo,1359504000,"01 30, 2013",0.3632
5,A1Y1PREAQQJFEK,B0000535UA,D,"[0, 0]","We buy this all the time. Problem is some places no longer carry ti. I purchased on line however when I could not find it. However, I found it's quite a bit more expensive on Amazon then the one I finally found at Whole Foods Stores. But the product is great. Gentle and helps winter itch scalp.",4,Great Shampoo but over priced on line,1395273600,"03 20, 2014",0.1802
6,A2GV8R6KRD40AO,B0000535UA,DZiem,"[0, 1]","I've found this shampoo in Mom's grocery stores, but they are almost always cheaper online. It has a gentler formula than let's say selsun blue. It also has a &#34;fresh&#34; smell. It does not smell like tea or mint. However, it is a little on the &#34;runny&#34; side for shampoo and may leave a little &#34;dustiness&#34; to your hair. I'm not sure if it just makes my hair attract dust, if it's shampoo residue. It's not noticeable unless you examine your hair under a microscope - which i do.",3,So much cheaper online,1389398400,"01 11, 2014",0.0215
7,A2T8JLXZ1WMXSU,B0000535UA,Fisher Miles Christianne,"[0, 2]","This shampoo works as a cleanser, but it doesn't smell good, leaves my hair feeling dry with a very slight filminess that will likely build up over time. I will use it occasionally to purify my scalp with tea tree oil, but I will not use it very often.",2,"Not the Worst, Not the Best",1306195200,"05 24, 2011",-0.1656
8,A17UEV3W4G7WJL,B0000535UA,GinDz,"[2, 5]","I ran out of Thursday Plantation tea tree/sulphur shampoo. I live overseas now, so I tried switching to this which I can find at the commissary.Thursday Plantation Tea Tree Deep Scalp Cleansing Shampoo (6.7 fl oz)My hair looks fine, but by the end of the day I have an entire layer of residue on my scalp and it itches like crazy. I'm tempted to throw it away.",3,Too much residue,1297036800,"02 7, 2011",0.0469
9,A2AMNC8RDVMHR8,B0000535UA,happy shopper,"[1, 3]",Been using this every time I wash my hair for a month now. I still feel the itch. I don't know if it's working. It seems to less tea tree oil in this one than Nature's gate. The smell is ok - not amazing. Very light and delicate - much like the shampoo! I won't buy this again!,3,I don't know if this working,1360022400,"02 5, 2013",0.0405
