,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2JA5M9CF6NHMF,B000006P0K,bone thug! gaming/wrestling fan,"[1, 1]","From the cool first cutcene to the classic music that plays while picking a character, you know this is special.Don't just button mash, learn the combos because this is the only game(out of 100)that has made me curs at the TV. If you're a beginner, start of with someone with fast kicks like marchial Law and not Jack 2. BUY THIS because it's an ABSOLUTE CLASSIC.",5,An absolute classic,1083801600,"05 6, 2004",0.2906
1,A3PAN58SXOUKG9,B000006P0K,Clinton Douglas C.Douglas,"[0, 0]",I really like playing this game with my son. He has so much fun with it.,5,Great Fun,1220659200,"09 6, 2008",0.5749
2,A1WVNA7G58GM8B,B000006P0K,Dan cool_dan14,"[0, 0]","all i can say is that this game is a classic, possibly the best game ever made for the playstation 1.",5,a classic,1021593600,"05 17, 2002",0.6369
3,A1ZTHW8CSTPZQD,B000006P0K,Erica .D,"[0, 0]",I bought this because i enjoy fighting games. But the controls are so hard. If it used analog control it would be a lot easier. But overall its an o.k game!,3,Difficult! But a decent game,1346976000,"09 7, 2012",0.0703
4,A197RGKMGAMI2E,B000006P0K,JM Jon,"[0, 0]","Well, I just recently bought this game again, after finding it broken from unkown causes quite a few years ago. People keep on saying, Tekken 2 has HORRIBLE graphics and the gameplay is horrible!, To those people, did you ever think that this game came out during the 90's and was probably awesome graphics back then? If you're a fan of good fighting games, I reccomend this. It has lots of characters, fair graphics, and is a good collectible for your Tekken collection.",5,Tekken 2 Or Bust,1215388800,"07 7, 2008",0.0465
5,A2R1J4CH3V1NEN,B000006P0K,Marcus J. Scott,"[0, 2]","the cd worked for about 4 days and then...BAM!! it was skipping like crazy, it froze wen i picked Jack-2 or Kunimitsu,and now it wont come on at all.IT WAS A PRETTY CRAPPY COPY",4,Skippy,1238284800,"03 29, 2009",-0.0386
6,A3PVGP99ZTBGV2,B000006P0K,Matthew Rickard DVDMATTR,"[0, 0]","Ever since I was young, I have been in love with the Tekken series. Brings back a lot of good memories. I bought this game to bring back the memories and the fun. Though the graphics aren't as top notch at games these days are, but it's still an entertaining game to play. If you collect either Tekken stuff or video games, this is a must own. This sequal is too good to miss out on. Buy it before it's gone for good.",5,A great sequal to the first.,1277942400,"07 1, 2010",0.445
7,A1G5LJ8T1IGYC5,B000006P0K,MICHAEL TAYLOR SNAKEFIST2,"[1, 1]","THIS GAME WAS A VERY GOOD GAME. BUT THIS AIN'T AS GOOD AS TEKKEN 1. LIKE ITS PREDECESSOR, HAS GREAT GRAPHICS, GREAT LOOKING MOVES, AND GREAT BOSSES TO UNLOCK, WHICH GIVES YOU A REASON TO WANNA WIN THE GAME WITH EVERY CHARACTER. THE MUSIC IS GREAT HERE TOO. THIS IS A DEFINITE GEM. GET THIS AND ITS PREDECESSOR FOR THE ULTIMATE GAMING EXPERIENCE!!",5,ANOTHER CLASSIC SEQUEL,1093478400,"08 26, 2004",0.25
8,A30WCCIVCXKZBF,B000006P0K,Pimpdawg,"[1, 1]","Though this review may be 14 years 2 late,n my opinion TK2 is the best of the PS1 Tekken games.From the cool fmv intro 2 the ending credits TK2 is by far the best looking/sounding 3D fighting game on the ps1 console.TK3 backgrounds,music,fmv cinemas,light source shading,animations/combos just does'nt measure 2 the standards set by this 1996 classic and it was release 2 years later,go figure!",5,BEST OF THE PS1 TEKKEN SERIES,1288828800,"11 4, 2010",0.8999
9,A261CI99KET69W,B000006P0K,Pow3rh0use,"[0, 0]","I remember Tekken 2 being one of my first fighting games I have ever played, and one that I kept coming back to. It wasn't just the nostalgia that kept me coming back, but the overall gameplay as well. Almost everything about this game was done right, and there is very little to complain about.Tekken 2 takes place 2 years after the events of the first Tekken. The plot isn't very well developed and isn't really involving, but everything else more than makes up for it. The graphics (for the time) were amazing and the animations were also nicely done. The roster includes 24 characters who are all unique and feel very well balanced. The game is very accessible and almost anyone can pick up this game and get a pretty decent grasp on it. The controls are simple and intuitive, and I always believed that this control scheme (each button controls a limb-ex. left punch, right punch) is one of the best for fighting games.For modes, you have your basic arcade mode which you complete to unlock new characters. You also have a vs. mode, a team battle mode (which is very enjoyable), a survival mode, a time attack mode, and a practice mode. All of these modes offer allot of replayability as it is easy to dump countless hours into any of these modes.The combat system is still excellent to this day. The amount of combos that each character can do is pretty substantial and you will discover new moves without being too overwhelmed. There also aren't really any cheap tactics unlike some of the more recent iterations of tekken (such as excessive juggling).Overall, this game is one of the best fighting games that I have ever played. With plenty of characters to learn, plenty of modes to choose from, amazing looking backgrounds, and a terriffic combat system, there is no reason to skip this game. If you still have a ps1/ps2, BUY THIS GAME. I recommend this game wholeheartedly, and you won't regret it at all.",5,One of the best fighting games of all time,1390089600,"01 19, 2014",0.2351
10,A3EB4XT16ZV28D,B000006P0K,Ronald Hogan,"[2, 2]","This is my family,s favorite fighting game. From my six year old daughter on up to my 10yr. old son they love this game. The graphics along with the sounds and moves are excellent also, there is a great character selection to choose from.",5,tekken fun,971395200,"10 13, 2000",0.3991
11,AHL3ES7DCWZJC,B000006P0K,TaRan,"[0, 0]","The sequel to the very popular Tekken, Tekken 2 takes everything that the original had and expands upon it. More characters, more levels, more moves, Tekken 2 is a classic and should be in the library of any fighting game lover.The combat in Tekken is one of best ever. There are so many possible combinations, it's almost impossible to remember them all. Each Tekken gets better and better. Another thing I love about this game is the music. It suits the stages, and characters, well.",5,Classic,1284336000,"09 13, 2010",0.3979
