,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A9998RE3AEA95,B00000G16I,Alex,"[0, 0]","Perhaps SC3K's main problem is that it is far too detailed. Even on a speedy top-end machine the screen will fill with portions of white if you try to scroll at one of higher resolutions. Perhaps this is also SC3K's main virtue - the fact that you can see down to the last person in your metropolis. Whatever you say, despite the game's vast graphical and not-so-vast strategic advances, it failed to do what the fans of the series held closest to their hearts - personalization. The city develops completely at random within your zonal confines - you cannot make a candleshop district, a Downtown, or anything of the sort. You cannot name streets, despite the fact that you place them yourself. The papers mention you rarely and glancingly, at best, preferring to metion senseless rock bands (whose names you cannot supply either) or some other uneventful thing. The advisors are as helpful as ever - specifically, useless. They either take no notice of the trouble befalling your city, or they take notice of something very minor and blow it up to the size of a scandal. THE 1% COMMERCIAL TAX IS KILLING THE CITY! REMOVE THE PARKING FINES! All the while industry fails to develop and a major power outage goes unnoticed.This game is a cleaner, crisper version of SimCity 2000, perhaps an update, but in no way a new game in the series.",4,Spawling,950054400,"02 9, 2000",-0.1586
1,A1OIR092XVLRT2,B00000G16I,a reader,"[0, 0]","I enjoy playing this game for the most part. I have spent hours glued to the computer watching my cities grow. Unfortunately as the cities increase in population, so does the chances of the computer crashing - a very annoying problem. Also the parades last too long, the seaports are difficult to develop, the terrain for some cities, such as St. Louis, are unusually hilly, and the buildings look alike. The game is not that challenging. But overall a recommended game.",4,Can be addictive,1006128000,"11 19, 2001",-0.03
2,A2ZINQBNNYPF0P,B00000G16I,AustiJoe ajpadre,"[1, 1]","Ever since I got this game I've loved it, i lost it so i recently had to buy another one, but you get the hang of things pretty quickly... very very fun game!",5,Fun Fun game,1133740800,"12 5, 2005",0.9135
3,A2TAQHMWOX45GO,B00000G16I,Ben W.,"[0, 0]","I started my first succesful city (w/o a starter city) and it was great! Then, after about two hours of gameplay, MY 855,500 pop. city had a problem with people. It must have, because in less than 20 minuets, My city was reduced to about 250,000 pop. Get this IT WAS FOR NO APPARENT REASON. My popularity was high, all of the ordenances I could have had were activated, all buildings had water and power, I had full funding to schools, firestations, police, ect., police and fire coverage were excelant, taxes were only at 3 for everything (Ind., Com., and Res.), and everything else you could think of, I had it. It was the perfect city and my whole population (who still liked by the way) left the city. If you have a good reason for it , I'd say it was a glitch in the game. Don't get me wrong, it is a fun game when there is a reason to the sudden drops, but I don't think you can have a real good city that lasts for more than four or five hours and there is no good city, they'll all die out eventually. The only option you have is LOSS. I am hoping that SC 4000 will be MUCH better.",2,People start leaving for no reason,1024099200,"06 15, 2002",0.0845
4,A2J27TTY9PWFLG,B00000G16I,Bryan Sebrell,"[2, 3]","Sim City 3000 is good game, yet it is the hardest game I have ever played. The main problem is getting money. I can never get any profit at the end of each year. Sure, I can use the $100,000 cheat code, but it only works once. Another problem is getting the people to work. Even if you put residential areas (where they live) next to industrial areas (where they work), they still might complain that it is too far to go. Some good things about Sim City 3000 is that you can build famous landscapes. Also, the graphics are great! If you are considering buying this city-building game, I would suggest The Sims or Roller Coaster Tycoon instead.",3,A seriously difficult game.,976233600,"12 8, 2000",0.0168
5,ASZESILQJP6XD,B00000G16I,docimus,"[3, 3]","Talk about being able to play a game forever, this seems to be the case with SC3000. This game is well done, with many features, controls, interfaces, and ultimately, complete control for you the Mayor. I have played this game over and over and built incredible cities like New San Francisco. I know you will experience tons of fun when you buy this one.",5,Endless Joy,980294400,"01 24, 2001",0.4395
6,AH4FPPM86UHKG,B00000G16I,Ethan,"[2, 3]","Making a City, it's a change for once. I like this game because it gives easy control, and it's fun to play. There are some down-sides to it too, like it takes too long to make a big city, and Sims complain tooooo much, but it's all good other then that. My favorite thing to do is save the city, then rip it down by disteasters. The good thing is you don't have to save it after you destory it. This game can be easy or hard, like if you want to make a big city, it takes time, and it's hard, but if you use codes like:I am weak, Call coison Vinnie, I love Red Tape, Power to the masses, Water in the desert, Garage in garage out, and nardz rool(actually spelling) it's eazy (...). Graphics, well it isn't that good on making small sims, but good on everything else, 9/10 Fun, a very fun game, isn't has fun as some games, but it's cool,7/10 Gameplay, well, if you like making cities, then it has long gameplay, 8.5/10 Sound, I really like the sound because it makes me think more,9.5/10 Overall, you would love this game, but it's fun isn't like some games 8.5/10 which is Great/Awesome and 4 stars for Sim City 3000!",4,"A game that can be easy, or hard!",1006646400,"11 25, 2001",0.5598
7,A3KMOEVKYDKEY7,B00000G16I,G. Long,"[3, 13]","I'll admit right now that I hate all of the Simcities that came out, with the exception of the Super Nintendo version of the first Simcity. I'm more of an action person, not a sit-back-and-watch-my-city-grow person. Sure, Simcity 3000 is good for a while with it's catchy graphics and innovative approach to buidling a city, but a few hours later, you'll either want to fall asleep or put your fist through the monitor, depending upon whether the income for your city is positive or negative for each game year. I turned out to be one of the latter people. No matter how hard I tried, I could never get the income to come out positive. So, I did what any distraught and stuck person would do...go online for cheat codes! An hour later, I was bored. If you're a thinker, by all means try Simcity 3000 out. But, if you're a person that thinks actions speak louder than words, try Dungeon Keeper 2, a game like Simcity 3000, but not as complex (and more active!).",1,YAWN....,954115200,"03 27, 2000",0.1034
8,A3SGRYIICHGMX,B00000G16I,Jack Turner,"[1, 1]","While the game itself is quite good. I enjoy playing my copy of the game, and still find new interest and challenges of running cities. The replay value should be obvious as there is no &quot;end goal&quot; to meet, though there are &quot;rewards&quot; along the way. There are several problems, however, particularly when compared to Sim City 2000. First, there are no scenarios. That is a pity because the scenarios often enhanced the value of the game. Second, you cannot for your own landform in the New City mode before you start the game (again, unlike SC2000). Both of these problems were later corrected for the later cousin of the game: Sim City 3000 Unlimited. Additionally, the online support is much better for Unlimited. The building downloads on the official website are minimal, and the building design tool is not supported by the basic game. Still, I will have to admit that 3000 is still a vast improvement over the previous version. The buildings are better designed, and they really do look different on different sides. Also, the graphics are much better over 2000, while they are not vastly improved in Unlimited (which is essentially the same game, with the additions above AND additional buildings). I would recommend that you do buy Unlimited over this version simply because of the vast number of updates. And, with the release of Sim City 4, it is highly unlikely that even the Unlimited website will stay up much into the future, and it certainly will not be supported any more.",3,Not Well Supported,1051142400,"04 24, 2003",0.1595
9,A36N5DBBMHEQJ0,B00000G16I,John Cross,"[10, 13]","At first glance this game may look easy but its not.You could spend many hours just trying to figure out what everything does and even more making your numerous attempts at unsuccesful cities.The graphics are pretty good but you need an intense system for the game to run smoothly.Maxis has once again added their own humorous touch to the game which can add to the fun factor.You probably won't get sick of this game very fast. If you are looking for a huge improvement over SC2K you won't find it here.I have made this game sound bad but it really isn't, this a very fun and challenging game and would reccomend it only to one who likes this particular genre.",3,Fun and very challenging,944956800,"12 12, 1999",0.9388
