,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AOQAOBNBA717N,B0000862FI,Amazon Customer,"[0, 0]","I purchased this slip in a dept store many years ago, & it has stood the test of time very well. Now, it is nowhere to be found locally. But trusty ol' Amazon has it! Yay! Ordered 2. Black & neutral. So happy to find this item. Ordered by my bust size. Perfect fit!",5,Perfect Slip!,1379548800,"09 19, 2013",0.3384
1,AVTLV6DI235KV,B0000862FI,Amazon Customer SAHEAR,"[0, 0]",Washes and dries well in the dryer. Stays true to fit and keeps its shape wash after wash. This is the best lace full slip. I will be ordering another one.,5,Fab!,1356739200,"12 29, 2012",0.3897
2,A17QZ5178IUHQ0,B0000862FI,Amy Paige,"[3, 3]","This slip is not gorgeous or luxurious, it is just okay. I wear them as nightgowns or around the house in the summer. One of the straps consistently twists around the hook which is annoying and keeps me from wearing it as often as I would otherwise. At least it was inexpensive but you get what you pay for, especially in this case.",4,okay slip,1297296000,"02 10, 2011",-0.2194
3,A2WEKE1LIKG5FP,B0000862FI,Annie,"[0, 0]",This slip is going to work great under a light colored summer dress. Slip is the perfect length for the dress and fits just as expected.,4,Good Slip,1395964800,"03 28, 2014",0.5984
4,A2BG8XXOETAKI4,B0000862FI,Catt Southern Girl,"[0, 0]","My Mother has difficulties getting out to shop. We found this, knew the brand was a good brand, ordered it and it was just what she wanted.",5,Just what Mom wanted,1404432000,"07 4, 2014",0.0722
5,AOT22ZIU4HSAI,B0000862FI,CD Harris,"[0, 0]",Probably my fault but this was way shorter than I expected. I kept it because I'm sure I can use it in the future but I need to order a longer one.,3,Shorter Than Expected,1352160000,"11 6, 2012",-0.0244
6,A31NSRSW5JEMB1,B0000862FI,DC,"[1, 1]",Really like this slip but it runs smaller than my size. I even ordered a size larger than I normally wear. The slip &#34;clings&#34; to your body but does not seem to ride up when wearing. I would definitely buy again but will purchase two sizes larger next time.,4,Runs small,1388966400,"01 6, 2014",0.11
7,ASJVTFM40S0JP,B0000862FI,Dorothy,"[0, 0]",The fit was good ITS A SLIP WHAT CAN YOU SAY THE ITEM ARRIVED AFTER I NEEDED BUT THAT WAS FINE,5,LACE FULL SLIP,1398816000,"04 30, 2014",0.7184
8,A27OC77J9HHDB2,B0000862FI,ever learning teacher,"[0, 0]","This is a very nice, well made slip. I plan to order one in a longer version. Sometimes I want the ease of a full slip under my dresses/skirts. I would recommend this. The slip arrived within a couple of days of my order which surprised and pleased me. I got it just when I needed it.",5,nice slip,1356393600,"12 25, 2012",0.3393
9,A2W560CUOM2A4W,B0000862FI,heygable,"[0, 0]","Needed another slip for a trapeze dress and this worked. I wear a 22 and its a bit snug. Other than that, it works.",3,Needed another slip for a trapeze dress and this worked ...,1404345600,"07 3, 2014",0.0
