,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AWG3H90WVZ0Z1,B000068CJZ,Alec Nelson,"[0, 0]","Feels solid, does its job. Pretty easy setup. The tire size was a bit annoying to calculate, but that's not the manufacturers fault.",4,Does as described,1377907200,"08 31, 2013",0.3795
1,AMZC7PFI0W96O,B000068CJZ,Baixinho Moose,"[1, 1]","I purchased one a couple of years ago the the wires got tangled a coupld of months back. The wire broke and there is no way to fix it. I bought these that are identical to the old one because I like the scan feature, the large numbers in the panel and the small size. It works well. If I can say something back is that the mounting only allows a handle bar position and it does not sit very tight on the base. My handle bar is not very large and even being small it takes space there. I also have my headlights in there and of course those have to be a the front. Sometimes, it will stop measuring if you touch it forward. It will not come off since there is a plastic stopper at the end but it will move out of the sensors and stop reading your ride. It has happened with me several times",4,Good for the price,1356220800,"12 23, 2012",-0.0696
2,A3FWUTS3GXR8ZW,B000068CJZ,California Gasman,"[0, 0]","I bought this only for the odometer function. I just wanted to know how far I was riding each day . I usually ride only two different routes that cannot be verified by driving my car over the same route. ( dedicated bike trails ). It is really not a bad unit for the price. I don't need something that will last for years. Once I know the distance of the routes I could just un-install it if I wanted to.. Ordered on a Wedesday A.M. and it arrived on Thurdsay P.M..It took about 10 minutes to install and off I went. Tested on a route @ Lake Perris Ca. and I was riding 12 miles( assumed it was 10 ) . So if you are looking to buy one, just do it. It is very inexpensive and will probably last a long time if you are careful with it ..",5,Good for the price.,1392249600,"02 13, 2014",0.0909
3,AJ8H49H6IHN59,B000068CJZ,charles archuleta,"[0, 0]","Easy to install, easy to read and easy to reset. It goes well on our 1982 Schwinn Tandem. Buttons are easy to use.",4,Schwinn Bicycle Computer,1396569600,"04 4, 2014",0.5136
4,AT36KXFP41HBF,B000068CJZ,C. Kan CKK,"[0, 0]",The only thing I don't like about this bike computer is that the red outline blocking the function symbol.,4,Pretty good,1253059200,"09 16, 2009",-0.5733
5,A39HQ528HR0TXD,B000068CJZ,Clay,"[1, 1]","This computer has been on my bike for almost 2,000 miles and it's still going strong. It seems to be very accurate. Just read the directions and you shouldn't have any problems. The only thing I would recommend is measuring your tire yourself, rather than using the chart provided in the manual.Using the chart will get you in the ballpark, and for rides to the store and back it may be all you need. But if you're going to be doing longer rides and recording your trips, then it is well worth the extra effort of taking your time and doing your own measuring.",5,Great Little Computer.,1360972800,"02 16, 2013",0.3586
6,A27V7PJMS4VB76,B000068CJZ,CO athlete never stop moving!,"[1, 1]",Bought this unit for my 8 year old son. Works fine. Not a lot of bells and whistles but you really don't need more than what is offered on this computer.,4,"Good, basic unit",1235433600,"02 24, 2009",0.0674
7,A3P4122GENRBPJ,B000068CJZ,David B.,"[1, 1]",I think this is a nice unit. I have 2 others. With a combined 3000 + miles. I get the batteries from Amazon also for like $1 or $2,5,PTI Schwinn 12 Function Computer (Colors May Vary),1370476800,"06 6, 2013",0.2288
8,AY92D346R4880,B000068CJZ,DeeMee,"[1, 1]","For so little money, hard to go wrong unless the product is defective. It wasn't, worked as advertised and quite accurately. Simple to install. Fairly easy to use.Has a decel/accel (speed tendency) feature which isn't too good. Has a little picture of a cyclist and wheels on it spin forward or backward to show when you are acclerating or decellerating. But it is too small, and hard to see which way the wheels are spinning. Much better would have been an easy to see arrow pointing forward or rearward. Then again, I don't find much use for this, as you normally feel in the pedals if you are speeding up or slowing down.The plus or minus sign next to speed to show whether you are above or below your current average speed is sometimes nice to have. Other than that, it has speed, average speed, max speed, and a totalizing odometer plus a scan mode which switches every four seconds. I found it accurate especially after bothering to measure the distance in millimeters of one loaded wheel rotation. Simple to input into the device once you have done the measurement. The built in clock function is nice also.The unit only counts time on the timer when you are moving. This is nice as it doesn't interfere with getting an average speed or riding time should you stop for a few moments. Unit also switches off when wheel isn't moving to save the battery.I find it seems to do some time averaging of the speed readout which takes 3 seconds to fully even out. Don't know if others similar products work that way, but really this doesn't interfere with the use of the product and is only the result of having a sensor that pulses once per wheel revolution. It also doesn't read below about 2.4 mph which of course is slow enough you are barely able to stay upright anyway.I also noticed it sometimes double counts every few revolutions. The distance will jump two thousands of a mile rather than one. Maybe a rounding error or some such in the electronics. I have counted rev's of the wheel over a known distance and it isn't counting twice the overal distance shown is accurate. So probably a non-problem unless you compulsively watch the distance readout while riding.I haven't owned one of these before having only used simple mechanical speedo's and odometers in the past. But this works great and is a handier more useful device. Unless you need cadence or detailed pacing not sure what else you would want this device to do. Cheap enough to replace if damaged, or buy multiples if you have several bikes. Would rate it 4 and 1/2 stars. Just not quite perfect or it would get 5 stars.",4,"Inexpensive, but works just fine...",1277164800,"06 22, 2010",-0.0205
9,ALHD7F0MLJKAI,B000068CJZ,EntirelyCrimson,"[0, 0]","DOE. Did not work out of the package. Tried the provided battery first, nothing. Bought another battery thinking it was probably just old, still didn't work. Never powered up. Never displayed anything. It was returned (thank you for the great return policy Amazon!)",1,DOA. Did not work and had to return it.,1404172800,"07 1, 2014",0.1174
10,A36QMI74GGDBVU,B000068CJZ,Eric Pearson eric,"[1, 2]",Sensor does not work. Period. I have installed at least 6 other bike computers. All worked after adjustment;This one WILL NOT SENSE WHEEL MOTION.AVOID.,1,Dead on arrival,1358726400,"01 21, 2013",0.0
