,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AC1KAW863OTPX,310274281,A. Blanton,"[0, 0]",Bought this to go with the kids version and adult version of the book. My students loved it and read the books as well. Great lessons in life.,5,great life lessons,1372636800,"07 1, 2013",0.4478
1,A3N5Z9AKY4QR3V,310274281,Alice,"[0, 0]",I bought this movie because I love to watch true story movies and this was for my family. It is a really inspiration movie that gets you to think that anything is possible in Christ and if you just believe and put effort in whatever you want to do or become in life. You Can!,5,Awesome,1403395200,"06 22, 2014",0.4674
2,A16HRLO7NHERSA,310274281,ANGIE,"[0, 0]","Cuba Gooding, Jr does a wonderful job in potraying Dr Carson. There is so much he had to overcome, non-believers and racism. But with love and faith he outshone them all!! When someone believes in miracles, all they need is a chance.Kimberly Elise is simply wonderful as his mom. Simple yet strong. The faith she has in her two sons comes through as heart-warming and true.&#34;Gifted Hands&#34; is much more than I expected. I read the book and was touched immediately. The movie brings all those feeling to a higher level. This would be a great gift for those in doubt of their potentials.I had a lobectomy in &#34;02. The book really shows the depth, emotional and physical, of such a procedure.I will be watching many times over. A must have.angie",5,Inspiring,1359331200,"01 28, 2013",0.3004
3,A5V1EF2BNERO9,310274281,Anne Mahoney CAT LOVER,"[0, 0]","GREAT TRUE STORY ABOUT A BLACK BOY WHO WAS AT FIRST NOT TOO BRIGHT, BUT WITH MOTHER'S TELLING HIM &#34;YOU CAN DO ANYTHING&#34; HE BECAME THE DOCTOR WHO WAS FIRST TO SEPARATE TWINS JOINTED AT HEAD AND HAVE BOTH SURVIVE",5,GREAT PICTURE,1404432000,"07 4, 2014",0.4112
4,AC3HZCFCDN4VQ,310274281,April,"[0, 0]",WOW this was great story about a poor kid overcoming his child hood!CARSON FOR PRESIDENT! :-),5,FANTASTIC MOVIE,1404777600,"07 8, 2014",0.5578
5,A2347D2GVP1AK8,310274281,arlene M. Roberts,"[0, 0]",great movie and inspiring. giving as gifts to some doctors and friends. they appreciate the move and gift everyday from us,5,gifted hands,1370476800,"06 6, 2013",0.7119
6,A1J683GO7M4YVE,310274281,Aussie Allan,"[0, 0]","I found the story of Dr. Carson to be very compelling especially as it dealt with many issues that are prevalent in our society today. Industry, faith and the strong influence of a mother who truly cared about the well being of her boys. I gave it to my own family as I thought it would challenge them in a variety of ways that would benefit them morally, emotionally and spiritually .",5,All I expected,1377216000,"08 23, 2013",0.574
7,A1EQKSGZHU9M5V,310274281,B Brown,"[0, 0]",Wonderful movie about a wonderful person. It shows how anyone can overcome diversity if encouraged and they really want to make their lives better.,5,Gifted Hands,1389312000,"01 10, 2014",0.7652
8,A2NJQSEYYPR2H9,310274281,beloved child,"[0, 0]","Beautiful, inspiring movie about an amazing life. Even if we all don't have the &#34;gifted hands&#34; of Dr. Carson we can receive and share the gifts of the heart that so touched me in this film. The extras added in the DVD were most enjoyable, too.",5,wish everyone would see this,1387065600,"12 15, 2013",0.5591
9,A1BKOTVYNHGZIQ,310274281,brenda celorio,"[0, 0]","Ben Carson..is so gifted, God has really blessed him. He has been on tv as a speaker. you need to hear him &#34;WOW&#34;!!!! When you read this book ,you must read &#34; America the beautiful.&#34; By Ben Carson",5,gifted hands : the Ben Carson Story,1372118400,"06 25, 2013",0.1908
10,A2BTF2QFSDNW0T,310274281,cairneylad,"[0, 0]","Exceptional film that should be in every household. Here is Cuba Gooding Jr, doing a masterful job portraying a man who faced down his challenges, (and they were formidable), and showed how a champion lives his life. Held strong by a devoted mother, the hero of this true story shows that the only thing holding YOU back from success and a life of meaning is...YOU.I would buy this now, and share it with my family, many times, and then give it to every friend that I truly care about. Then look in the mirror, and tell yourself, &#34;Yes, there is indeed a hero within me as well. No one will stop me now!&#34;Do so, all of us, and make the world shine!",5,Need a lift? here it is!,1388361600,"12 30, 2013",0.3393
11,A1VY1SGJV62SSC,310274281,CARMEL CLARKE CC,"[0, 0]","WOW! THIS DVD IS A MUST HAVE FOR ANYONE WHO BELIEVE OR DON'T BELIEVE THERE IS A GOD. THIS IS WHAT I CALL HISTORY IN THE MAKING. AN INCREDIBLE STORY FOR AN INCREDIBLE MAN OF GOD. WATCHED ON TV BUT JUST WASN'T ENOUGH. STRONGLY SUGGEST TO PURCHASE, I GUARANTEE LIFE WILL CHANGE FOR U. WOW!",5,MR. INCREDIBLE,1302480000,"04 11, 2011",0.3385
12,A2AKR3QR28W09U,310274281,Chris Cummings,"[0, 0]",Here is the story of a man with real character !!!You can't watch this and not be affected by the story of a boy and a story of a mother that would not give in or give up !!!Awesome !,5,Sure hope he runs for president !,1367798400,"05 6, 2013",0.3373
13,A1AQBULP9QQ1W3,310274281,Connie,"[0, 0]","This is a very touching story. It proves that you can be anything you want to be if you only put your mind to it and believe God to help you.I recommend all parents to have their children watch this movie, it will be a lesson for them",5,A lesson to be learned,1367280000,"04 30, 2013",0.3825
14,A33B6DD88Y07M8,310274281,C. Owen,"[0, 0]",Many thanks for the great service we received this moviein record time and it was packaged very well. It is absolutelya fantabulous film for the whole family. You will watch it overand over again!,5,A MOVIE THE WHOLE WORLD SHOULD WATCH,1360886400,"02 15, 2013",0.2851
15,A2I40DYE2QA1BE,310274281,cricket,"[0, 0]","This is perhaps one of the best movies I have ever seen, and made even better because it is based a true story. I cannot say enough good things about this movie. It is riveting. I enjoyed every second of it. I actually saw it first on cable TV and knew I had to own it. I watch it once in awhile when I want to be uplifted.",5,A PHENOMINAL MOVIE,1354060800,"11 28, 2012",0.1864
16,ARJ5VMYZDJGHY,310274281,C. W. R. global music,"[0, 0]",Ben Carson is an inspiration to hear and see about. His Faith is solid and a very big part of his life. This dvd is great to watch.,5,Faith filled Doctor,1271116800,"04 13, 2010",0.5594
17,A3VJ860LX0C8GI,310274281,Daniel Graves,"[0, 0]","Captivating story with a great message. The tension builds, the realism is strong in places. I watched it myself to be sure it was something I'd want to share with friends then shared it with them.",5,Watched it twice in the first week I owned it.,1393459200,"02 27, 2014",0.5756
18,A2ZG8JZNJI2F0N,310274281,Dante,"[1, 4]",Its okay as far as these made for tv drama movies go. But I have to point out that no movie version of this story seems to mention the fact that the separated Binder twins had to be institutionalized after the procedure due to brain damage suffered. Guess it wrecks the mood?,3,Has the vibe of a hospital soap opera,1327190400,"01 22, 2012",-0.2273
19,AHIK7BUXFRMT8,310274281,David Bower,"[2, 2]","I have no idea how much Hollywood was added to this movie and to what extent the life and times of Ben Carson were glossed over or idealized. What I do know is the movie was emotional, inspiring, powerful and very touching. This is the story of a young boy who overcomes great odds to succeed in life and make a significant contribution to society.It is also a touching story of the love of a mother, her dedication to her two sons and her strong determination to see they had the opportunity to be the very best they could be. This is an excellent movie for the entire family and I strongly recommend it to all.",5,"Emotional, Inspiring, and Almost Heroic",1360713600,"02 13, 2013",0.6686
20,A27DDW4WQ694XI,310274281,decorate4fun,"[0, 0]",Everyone needs to see this movie. Proves that no matter what color your skin or financial background might be-you can make something of yourself. Plan on sharing this with my children and extended family. We need more positive role models like this-thank you Mr. Carson and a special thanks to his mother and all mothers/fathers who push their children to be be more then what they themselves believe their capable of.,5,A MUST SEE,1365984000,"04 15, 2013",0.3324
