,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1LJSRQMH8NE2K,B0000867AN,Antonio,"[0, 0]",A perfect fit for grandmother to wear daily. Easy to wash and dry and fabric was comfortable for daily wear,5,perfect style and fit for Grandmother,1402272000,"06 9, 2014",0.7351
1,A14LQ0GV9JXT6F,B0000867AN,Beth s,"[0, 0]","This night gown is very pretty and a nice clear shade of red. It is comfy in terms of fit but the fabric makes it clingy and warm specially on a humid night. I was hoping for a breezy, cool nightgown and should have paid more attention to the description of the fabric",4,Pretty but warm on a humid night,1402185600,"06 8, 2014",0.6458
2,A1AU1G8U8IPXX2,B0000867AN,C. B.,"[0, 0]",I have been buying Shadowline night gowns for years. They took the place of the Vanity Fair ones I use to be able to find. With this recent purchase I noticed that the fabric IS a lighter weight compared to my other Shadlowline gowns. Maybe the company is trying to cut down on their cost and therefore using lighter weight fabric. Either way I love the color and am happy with it. If they go any lighter in the fabric weight I will NOT buy anymore.,4,Love the color of the Deep Lavender,1291334400,"12 3, 2010",0.1109
3,AY1BFKN0GDH3X,B0000867AN,colleenwl,"[0, 0]","Great gown and the material is wonderful. Bought the red and petal pink. Red bold, pink deep. These are quality. Little long bare foot, but perfect length in slippers. 5'3&#34; Will come back and purchase other colors and from this company bought darker colors due to not wanting to be sheer looking in the light. These are what I wanted. Wash delicate HE machine and use Tyler detergent. Hang to air dry. Then quick fluff in air HE dryer. Wonderfull in feel and fragrance.",5,"So very nice. Great quality, lovely material",1381276800,"10 9, 2013",0.1807
4,A3L6ZW38MFTAU7,B0000867AN,CS,"[0, 0]",This gown is very well made and great weight. I have other Shadowline gowns and they wash well and color stays true. I would recommend this product to others.,5,Great product,1387843200,"12 24, 2013",0.5727
5,A13OOI78KHODPV,B0000867AN,Daffodil Today is a new gift from God.,"[0, 0]",A little too transparent. Not so bad that I can't wear it. Pretty color. Size seems true. Mine was soft peach. A nice color.,4,Not as Opaque as Shown,1344211200,"08 6, 2012",0.3013
6,A2EVSUXUZL7NTM,B0000867AN,Deborah vendetta,"[0, 0]",I was amazed at the quality of this night gown. The nylon was not the thin flimsy material that you usually see but a nice weight that should hold up well. It washed up beautifully and came out of the dryer wrinkle free . The fit was very accurate and the length was just right . I'm 5ft 3inch and it was perfect! I plan to order other colors and these usually sell for much more!,5,Beautiful vivid colors to chose from!,1397865600,"04 19, 2014",0.5007
7,AXO4PQU0XG3TG,B0000867AN,Dwight,"[14, 17]",I can understand why this affordable nightgown received positive reviews but it is too thin to wear outside of the bedroom in my opinion.,3,National has the best price at $27.95,1178755200,"05 10, 2007",0.3182
8,A17BKWISY8YNOY,B0000867AN,French Lavender,"[1, 1]",I was happy to see this style of gown that is almost impossible to find in a store. I had several that were identical to this made by Vanity Fair years ago. They were the best gowns ever. This one by Shadowline is a close second. It's comfortable and lasts a few years before fading. I have the sapphire color which is not see-through. The lighter colors are see-through. It's made in Mexico.,5,Beautiful & Comfortable Nightgown,1326931200,"01 19, 2012",0.2278
9,A33D8AY3ACMBUC,B0000867AN,JB,"[0, 0]",Love the color and this gown washes so nicely. Nice and long to give that extra warmth and keeps the shape really nice too.,5,Long Gown,1393977600,"03 5, 2014",0.8367
10,A3OLQDVSCQATP6,B0000867AN,jillofspeed jillofspeed,"[0, 0]","Love this beautiful nightgown. I was looking for a pretty but practical peignoir set which is surprisingly hard to find, and I settled on this nightgown with the matching robe. I am 5'7&#34; 150 lbs and wasn't sure whether to get the medium or large. I played it safe and went for the large, but its a bit big and I think the medium would have fit well, at least for the nightgown. I would probably still choose the large robe. The rosy pink is a beautiful deep pink, the gown is the perfect weight for wearing and feels wonderful on. I knock off a star however because as others have mentioned, it is too sheer to wear without the robe, at least for me. I plan to order the short set for summer wear. Maybe several!",4,Sweet and lovely,1363651200,"03 19, 2013",0.3156
11,A2JBTHWE5X3H1,B0000867AN,Jody,"[0, 0]",All the Shadowline products I have purchased fit perfect and the gown or robes have been well made. I would buy Shadowline products again.,5,Shadowline Long Gown,1395187200,"03 19, 2014",0.4037
