,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A3KN1J914HP91Q,B00006HTZ0,Albert M.,"[0, 0]",Its a good mouse pad. Decent quality. Excellent if your on a budget.,4,Excellent budget mouse pad.,1404864000,"07 9, 2014",0.3374
1,A2F6DKMQYMI7F7,B00006HTZ0,Amazon Customer Mom of 7,"[0, 0]",It is easy to use and the mouse glides but doesn't slip around. It has been great also to protect my table.,5,I love this mouse pad!,1356998400,"01 1, 2013",0.505
2,A38Z2QSVGNWWKX,B00006HTZ0,Amazon Customer Silver,"[0, 0]",I like this Pad it works well for my wireless mouse since I scared up my Desk and it didn't work so well on that ant more. So covers the defect and looks nice too. Stays in place well had one that move around alot so this is a plus.,5,Great Pad for Good Price.,1354665600,"12 5, 2012",0.2805
3,A2WYB31CM86696,B00006HTZ0,Andrew G. Davis Andy Davis,"[0, 0]","I've worn out the mouse favorable coating on the the shelfe. The new pad is great and my new mouse responds really fast as I use it. My wife favors it because, &#34;it's coloered to match&#34; everything else, black. The old mouse mouse was white. The rubber base keeps the pad from moving around and has improved my game playing.",5,A pad by any other name.,1363996800,"03 23, 2013",0.3401
4,A220R3YGCKPTBH,B00006HTZ0,Anthony Stevens,"[0, 0]","You just can't beat this mousepad for the $2 price. Surface works with all varieties of mice - optical, regular, etc... Nice surface texture and thickness. Rubber backing grips desktop surface firmly.",5,can't beat for the price,1350691200,"10 20, 2012",0.1491
5,A29QCPFDSDNNKQ,B00006HTZ0,Avert Inc,"[0, 0]","You would thing that all mouse pads are the same, but this is not true. While it does not have a fancy design, just plain old black, it stays where I put it and my mighty mouse just works great. It does not collect litter as some cloth bases pads do, the graphics (since there are none) do not wear off. Great.",5,Wonderful,1339632000,"06 14, 2012",0.1978
6,A1GW7V6S6XSXX3,B00006HTZ0,Christopher Mayo,"[9, 9]","TheBelkin F8E089-BLK 8-by-9-Inch Mouse Pad (Black)is the first mouse pad I have purchased in a decade or so, and it is the only one I have ever had that actually worked well with optical mice. Occasionally, it will not track correctly, and I have to give the mouse an extra nudge, but so far this has been a rare occurrence. The only problem I have had was that the mouse pad reeked of chemicals (the rubber bottom?) when I removed it from the box, but that has almost entirely dissipated. If I put my nose next to it I can still detect the smell, though. Someone with a sensitive nose might be bothered.",4,Plays Well With Optical Mice,1276905600,"06 19, 2010",-0.1226
7,AZD8SMNGQI98O,B00006HTZ0,Daring Di Loves The Written Word,"[0, 0]","I've used another similar one for years and this one, hopefully, will last as long. The glide is smooth, it resists grit and dust more than other pads I've had and it's cushy comfortable to use.",5,Great mouse pad,1402185600,"06 8, 2014",0.4563
8,A1NJH2VUXKZMS5,B00006HTZ0,Dinda S. Evans,"[0, 0]","simple and holds well to the desk..I prefer solid colors so this suits me. Seems odd to do a write up but I have used pads that moved around the desktop, or didnt do well with a mouse. This one does everything its supposed to.",5,nice pad,1348185600,"09 21, 2012",-0.011
9,A28X0LT2100RL1,B00006HTZ0,Eusebius,"[1, 1]",I must say that it is a good size. Once I put it in the cage it lays flat and it looks like about 32 mice can sleep on it at one time. They all get a good night's rest with this mouse pad and all wake up cheery and happy and full of beans and ready for a good day's work on the old exercise wheel or tearing through the maze like gangbusters.,5,Holds 32 mice,1328745600,"02 9, 2012",0.5847
