,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1W415JP5WEAJK,B00005304H,Alex S,"[3, 3]","Early in my married days we were living, well let's call it, a low-income life. With a baby on the way I picked up another (lower-cost) brand. The sticks were harder and the cotton wasn't nearly as puffy and soft.All I can say is that on this item you CAN tell the difference!So in my house we always carry the Q-tips brand of cotton swabs and I must admit we also use a decent (and soft) toilet paper as well.Some things just aren't worth skimping on no matter how tight your budget.",5,Nothing but Qtips by Brand ...,1274659200,"05 24, 2010",0.1212
1,A1Z7FZP81N8CDU,B00005304H,Amazon Shopper,"[0, 1]","I've been using Q-tips for years, the condensed cotton makes it much more easy to clean without coming apart - which I hate about other brands. I don't think I would use any other brand.",5,Not Sure Why So Many People Hate These!,1397692800,"04 17, 2014",0.176
2,A2HMF8ZR67BNZS,B00005304H,Bill A. Belt,"[0, 0]","We have tried the store bands and the &#34;off&#34; brands and find this product, while not perfect is the best of all of them. For us the swabs stayed intact and firm and did not unravel as was noted with other reviewers. In fact that was what the store brands did. The only reason that we did nto give a five star rating is that soem of the swabs were packed so tightly on the ends they did not absorb much.",4,Qtips Are The Best,1404259200,"07 2, 2014",0.1247
3,A2K0W9HNCJ746V,B00005304H,B. Kocher,"[0, 0]","I'm sure I'm not the only one but I use these to clean my ears with, even though the labeling tells you not to. Just be careful!",5,Great for cleaning them ears out (even though you're apparently not supposed to),1398729600,"04 29, 2014",0.4306
4,A1XQ0F01CF84Y3,B00005304H,Caligal,"[0, 0]",These work great and are not the kind that are flimsy.. Good quality and durable.. I use daily and they are soft and the cotton is tight rolled and dont come unraveled in your ear like some cheaper versions!,5,Work best,1401840000,"06 4, 2014",0.5299
5,A1Z54EM24Y40LL,B00005304H,csm,"[1, 2]","There's a reason why these guys have been around for years. Their quality and price have made them the best value there is for cotton swabs. They do the job, however interesting that that may be, and come back for more. They're indispensable if you have a baby or young children, but they grow with you into adulthood as well. There's some things you shouldn't buy the generic and this is one of them. They've been around for years and for good reason - they're great!",5,Great product for a zillion years...,1089504000,"07 11, 2004",0.3943
6,A2PATWWZAXHQYA,B00005304H,Farnoosh Brock,"[0, 0]","Sometimes, it's not whether this brand is so great but how every other brand kinda disappoints. Q-Tips are the number 1 brand for Q-tips :)! I have used every other brand, found in countless hotel rooms and even resorts. I love the softness and fullness of the cotton swabs, and this was a pretty good value on Amazon. It is wonderful not to have to go to Target or somewhere else with Amazon offering these types of products online. Thank you!",5,Best brand of Q-Tips!,1315440000,"09 8, 2011",0.3661
7,A28EMTHVF120XV,B00005304H,Happy To Be Here,"[1, 1]","Have bought these q-tips for years. I have noticed they aren't as fluffy as they used to be. The quality of a lot of products have suffered over the years, just a sign of the times I suppose. We do use these a lot though. Besides ears they get used for make up and even little craft projects. Not really much you can say about q-tips.",4,Q-tips,1399507200,"05 8, 2014",-0.0823
8,A1JCUWOOBUZT8W,B00005304H,Hilary,"[0, 0]","It's kind of silly that I'm reviewing Q-tips online, but this is the only kind that I will buy anymore. I tried generics, but found that the cotton tips are more compact and not as effective. These are 100x better :)",5,Better than generics.,1401926400,"06 5, 2014",0.2882
9,A1ZPRJWAVMCBVC,B00005304H,indore,"[0, 0]",premium quality cotton swabs. dispenser not particularly handy.the cotton ends hold up. substitutes are cheaper in price and quality.,5,premium quality cotton swabs.,1386720000,"12 11, 2013",0.0
