,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2ZI97NDT655W4,B00000J1EP,Avid Gardener,"[0, 0]",These cassette tapes work well for my needs.I use them for lectures and not for music.I'm happy that they are still available.,5,Good quality for non-music recording,1404864000,"07 9, 2014",-0.2259
1,A16DPGQQ5MFJ8G,B00000J1EP,"Charles E. Roach, Jr.","[0, 0]","I have used Maxell Cassettes for over 30 years and never have been disappointed. If you ar an audio purist, don't purchase this, go for the higher bias. For normal folk like me with tin-pan ears, this product carries audio to near perfection and at a real bargain price, whether that price is retail or sale.",5,Well-Known,1369699200,"05 28, 2013",0.3534
2,A4OAW3JQC5UNM,B00000J1EP,Christofer,"[0, 0]","it's funny to appreciate a source for these tapes, but I do. I may be old fashioned, but I still like using my cassette player and tapes.",5,standard size cassettes,1398211200,"04 23, 2014",0.4619
3,A1NOE0PC1W7ROU,B00000J1EP,"Jane from Oakland, Ca, USA","[1, 2]","I immediately passed this link to friends still using Magnetic Cassette tapes. They are getting harder to locate and this brand, length and packaging are excellent. Arrived on time and in perfect condition. I might add that the box looked like it had a hard shipping experience. No damage to tapes, or their plastic cases.",5,Tapes with plastic cases: Excellent quality & Value.,1231891200,"01 14, 2009",0.4562
4,A1TDXHM6S7HOET,B00000J1EP,Lycantis,"[0, 0]","I ordered micro cassettes and got these, I was angered by the miscommunication and went with another seller, got exactly what I wanted so I am happy. I did not try these out. I don't have a standard cassette recorder.",1,Did not order this,1401321600,"05 29, 2014",0.0563
5,A2R6RA8FRBS608,B00000J1EP,Matthew G. Sherwin,"[6, 6]","Maxell manufactures excellent 90 minute cassette tapes for all purpose general recording. As long as you have the right kind of equipment, these tapes record the sounds of record albums, radio shows, CD-Rs, people talking and more. These tapes have 90 minutes worth of blank recording tapes on them so there are 45 blank minutes for recording on each side. The features of this tape, as one reviewer correctly notes, make it good for recording lectures and music using standard, less expensive home stereo equipment. The tape playback will work well in any basic tape deck including the one in your car.If you pay the Amazon price of $6.75 for the fifteen-pack you spend roughly 45 cents per tape and that's very inexpensive. The tapes allow you hours upon hours of listening enjoyment because you can record over them many times; and they take up very little room so they're easy to carry around with you.Unfortunately, these tapes cannot produce the same quality recording reproduction as a digitalized copy would give you. This means that if, hypothetically, you were to copy a CD-R onto another CD-R instead of a Maxell cassette tape, the quality of the sound on the CD-R copy would be sharper and clearer with less background noise than a Maxell cassette tape or any other brand of cassette tape could give you. Maxell also manufactures higher quality cassette tapes including the Maxell XL-II; but it's still not the same as a digitized CD-R recording. Moreover, cassette tapes can break if not handled with care. They can also break if used a few too many times, too. Therefore, I recommend that any important recorded material should be copied onto another blank tape and then keep that second tape in a safe place to use as a backup. These shortcomings frustrate me and therefore I will have to take off one star to make this a four star review.The tapes have small pieces of plastic on the narrow top of each cassette which you can punch out easily so that accidental recording over an existing recording is impossible. If you do wish to record over an original recording then you can merely place a small amount of regular tape over the hole. The cassette tape is now ready to record a fresh recording.Overall, Maxell makes a great choice when you want reliable cassette tapes to record music, the radio, people talking or anything you wish to record. I have used this brand for decades and I cannot think of any major complaints. I highly recommend Maxell normal bias 90 minute cassette tapes for you to use when you need to record something onto a tape.",4,fine normal bias 90 minute tape though it could stand a little improvement,1186272000,"08 5, 2007",0.2529
6,A1EE1HLYUIJPIG,B00000J1EP,MaxPower,"[0, 0]","So I acutally bought these tapes for an art project and I am not going to be using these at all. I don't even have a tape player anymore.Both projects are lamps made out of either just the cassette tapes or the tapes in their cases. Thought I would give both a try and see which I liked better.I really like the first one better, I bought different kinds of lights to try out inside the base.I have also seen people spray paint these neon colors and hang them from string in rooms, put on walls. Fun art to remember a cool time when you rewound tapes with pencils so you didn't waste batteries. :P",5,Hey you need a mix tape baby?,1341619200,"07 7, 2012",0.3738
7,A2HDTOF8222KN3,B00000J1EP,Mendy,"[0, 0]","I needed to buy cassettes elsewhere than where I was buying them from. They were getting more expensive each and every year. Luckily I thought about looking here. I found cassettes at a price from a period of many years ago. It literally brought back childhood memories, well not really, but it was very inexpensive. I still like recording on my old cassette player but found many stores not carrying cassettes on their shelves. And when they did, the prices were high. I highly recommend purchasing cassettes here on Amazon, they have many different brands to chose from.",5,"I'm glad I looked here for cassettes, found a deal here.",1363824000,"03 21, 2013",0.1728
8,A1K4AVQIU704DY,B00000J1EP,Nancy Sherburne a Phil Ochs fan,"[0, 0]","All right, I did not time the recording to make sure I actually got 45 minutes on each side, but the tape snapped into place securely, and I recorded from one end to the other without it tangling inside the recorder. When I played it back, it played back smoothly with no skips or tangles. I have used three or four of them without a hitch, but then I generally do rely on Maxell for my taping needs so I was not surprised. I will buy more again when I need more.",5,"Since they work beautifully, I cannot give them less than five stars",1373673600,"07 13, 2013",0.1777
9,A25K6D8IF14MW2,B00000J1EP,psychicspy,"[0, 0]","I always order these cassettes online. Although people now use CD's, I give a taped session to my clients as a courtesy so I don't have to deal with burning CD's. Buying online is less expensive and easier to find. Saves me the trouble of locating a store that still carries them. Usually one Walgreen's that I know of has them but its hit or miss.",5,I use these for business,1336348800,"05 7, 2012",0.0203
10,A38SK72V6NORUP,B00000J1EP,ReaderHal,"[1, 1]","Recently found a really great Onkyo 3-head, 3-motor cassette deck for playing my old cassettes from years ago - for low dollars. This is the best price I've seen on good normal bias tapes - the chrome (high bias, Type II) are just too pricey - but these sound just fine for all my music, whether rock, jazz, country or classical. Getcha some before the Type I prices get stupid, too. And enjoy some George Jones singing along with a Beethoven tune while David Sanborn blows his sax and Jimmy Page picks his axe.",5,Makin' tapes again.,1356652800,"12 28, 2012",0.2933
11,A380W12QEPG2BO,B00000J1EP,stephanie wilson,"[0, 0]","if you love to record music from cd's or the radio, & dont want to pay an arm & a leg for good quality tapes, these are for you! i have bought 3 '15' count packages of them so far. im very happy. i intend to buy more.",5,just awesome,1394150400,"03 7, 2014",0.3569
