,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AFNE6AFYU3ZVD,B0000530EZ,A. Fink,"[5, 7]","I have used conditioning sprays by dove, loreal (costs $9 a bottle!) and frizz ease. This stuff is by far the best and only $3 a bottle at the store. I haven't gotten my hair cut since FEB and it is now NOV and I dont' have any split ends. I use it on my son too because he gets crib head or whatever it is called where their hair is all nappy in the back from how they lay on it, even though he is 2. This is the best priced and best working spray. I use sulfate free shampoo, skip the conditioner and just use this. I have naturally curly hair if that makes a difference, it is a tiny bit coarse, it isn't thick or thin. This stuff doesn't weigh my hair down either or make it oily, I still only wash my hair every other day.",5,The best,1288915200,"11 5, 2010",0.2323
1,A3MTTQ15FMD8M4,B0000530EZ,Amanda,"[0, 0]",Such a great product for a great price. I use these on my hair and also my 2 little girls hair after a bath. It smells great and really takes out tangles leaving hair silky. When it gets about half empty I just fill up with water and it still works really well b/c it's so concentrated.,5,All Time Favorite!,1386720000,"12 11, 2013",0.4061
2,AUBKXJYRKGOF4,B0000530EZ,A. Young,"[0, 0]","I've used this for years, and it's a must-have for helping to keep my heap of curls controlled and conditioned. I use a little every night after I shower and occasionally in the morning, and it really helps to keep my curly hair from tangling and the ends from splitting/frizzing. It also has a pleasant, light scent, and it's a good deal price-wise compared to other leave-in conditioners (many of which I've tried and not been nearly as impressed with).The only drawback is that I have very thick hair and thus go through a bottle of this in a month -- I wish it went a little further. Still, for the price it's hard to beat.",4,Great for taming frizz & protecting ends,1349308800,"10 4, 2012",0.3831
3,AFWDWPACTUW83,B0000530EZ,baseballmom96 Mel,"[0, 0]",I use this to help with the tangles ....it smells like the beach ! Coconuts ! I thought the price was for 1 but was very happy to get 3 bottles of this !! SO a great value ! You spray in and leave it ...my hair is soft and shiny...it does not weigh it down at all. I put one bottle in my beach bag !,5,Smells awesome,1400716800,"05 22, 2014",0.3797
4,A2TE0A83OLR494,B0000530EZ,beefsquatch,"[0, 0]",I love ALLLLLLL of Aussie's hair products. but this has to be my favorite by far. it leaves your hair smelling amazing and helps keep it manageable.,5,Aussie Hair Insurance Leave-In Conditioner,1391040000,"01 30, 2014",0.6666
5,AWMR5KDJ9DAHO,B0000530EZ,Briana,"[2, 3]",Smells good holds well is easier to apply and I can take it with me and spray it when I need it. I'm sticking with this one it makes hair soft shiny smooth silky and it smells amazing. Really good for long curly hair. :D Im buying more tomorrow.,4,Thank God and thank aussie :),1306108800,"05 23, 2011",0.6184
6,A32C2ZFQZAU7O6,B0000530EZ,Doggie Mom,"[3, 3]","I have not been able to find this conditioner anywhere until I spotted it on Amazon. Because it's a spray mist, it's much easier to control where and how much I want to apply, which I like because my hair is fine and most bottled conditioners weigh it down, even after ample rinsing. This spray also enhances the highlights in my hair - I don't know why since it's not meant to do that, but I don't mind. The scent is wonderful and light. I purchased a 3/pk for about $11 with free Prime shipping so for now, I'm a happy camper! Thanks again Amazon.....",5,Awesome scent and it works!,1342656000,"07 19, 2012",0.4775
7,A2394O76GGGTXQ,B0000530EZ,Egramone Golden Egramone,"[0, 0]","Great product, love it, please don't discontinue it or try to improve. does the job for me now, very convenient to use and pack for travel",4,Aussies Hair insurance,1399680000,"05 10, 2014",0.463
8,A19CJKE0GHGCEC,B0000530EZ,EOnline,"[0, 0]","This is my favorite leave in conditioner because the smell is great, and I use it when I braid my hair to capture fly aways. Its really fun.",5,This is My Favorite Leave in Conditioner,1374969600,"07 28, 2013",0.6704
9,A3IV2RFPBY5E0E,B0000530EZ,ErinE,"[0, 0]","Never tried this brand before, I have super damaged hair from recently going from red to pink to platinum to black, this helps as a detangler, though I don't think is actually doing anything to long term improve my damaged hair (I don't think any product would though). What I like most is it doesn't make my hair oily or greasy and I can still go 2 days between washings without getting the greasy look a lot of leave in products have over time. I give 3 stars because I'm just not wowed, still looking for something that will actually help repair my hair. As just a detangler it would be a 5 though.",3,"Great detangler, not sure about long term hair repair",1394064000,"03 6, 2014",0.2182
