,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1DDOISWL7HABL,B000052YJM,A. A.,"[5, 7]","I don't have severe huge white-head acne, but do have moderate acne where my face is pack-full of bumps everywhere. I have tried every. single. lotion/acne-clearer possibly available on the market from the time I was 13 (I am now 22). To make that search all the more difficult, I am incredibly SENSITIVE skin... the kind where I have to be careful to wash my bedsheets with odor-free detergent. Sometimes when putting on shirts (that I wash with a nicely scented detergent) if it touches the side of my face it begins to itch and then I have an allergic reaction in that very spot. I am *that* sensitive. Hence, most of the Guaranteed products out there made me face swell up like a red water-balloon literally (Proactiv).I don't know the technical term, but I suffer from a vicissitude of extremely dry & extremely oily skin. My chin and lower half of my cheeks and around my mouth get extremely dry, peel, itch, and then if I itch form red spots, etc. I stress all this as I find it EXTREMELY important when giving this product the review I'm going to give it.To not digress further, I went to my dermatologist and decided not to use Acutane due to the risks, and was put on Monodox as needed. When I'm breaking out badly, I take one for 2-3 days consecutively and then stop for about a week and repeat the process. So, this is my explanation to explain my acne condition.As far as MOISTURIZER, I've been so desperate to find the right moisturizer that would help give me that 'soothing' feeling versus itching, stinging, or masking my face with oil. If it stung, it would end up itching after a while, and hence make my condition worse, not better. If it simply felt like a 'masked' feeling in the face, then it simply did absolutely nothing for me and didn't help the dryness at all.This is the ONE and ONLY topical product I have ever used that's helped me. Not only have I found the absolute perfect moisterizer, but for my personal skin condition, it truly does all it states. I *LOVE* the tingly clean feeling! It's like having mint on your face and walking outside on a cool, crisp morning. It has 0 oil. None. I leave it on for hours and it's perfect. The best thing is that it somehow doesn't irritate my capricious face. I was fed up with my face and bought this on a whim. For the first time in my life, I reached for the save.I wish I could give it more than just 5 stars. Very happy customer!",5,THE BEST! Better than my own Dermatologist-prescribed acne-clearer,1317945600,"10 7, 2011",0.1557
1,A2V19Q2OFF25OS,B000052YJM,Amazon Customer,"[0, 0]","This facial cleanser has helped me maintain my skin for some time now. I find that I have less blemishes when using it but my skin maintains a balanced moisture level, which is ideal. Many cleansers dry skin and in the winter that is not a nice feeling. Amazons price is very good compared to local retailers. I wish it did lather a little more since it is labeled as a foaming cleanser but that is a minor complaint. Overall I am very happy with this product.",4,Does the Job,1353456000,"11 21, 2012",0.1879
2,A678V8KAX22OT,B000052YJM,Amazon Customer,"[1, 1]","My son has been struggling with breakouts for the past year. He has tried a number of moisturizers with no luck. They either cause him to break out, leave his face feeling greasy, or offer no SPF protection. This is the one moisturizer that works, and that is important because his acne medications can often leave his face dry and irritated. This product has become so essential to him that we order through subscribe and save to make sure he doesn't run out.",5,Good moisturizer for those prone to break-outs,1336953600,"05 14, 2012",-0.1217
3,A26WHR1IP0A250,B000052YJM,Brynnlux Brynn Lux,"[0, 0]","I used this when I was a teenager to keep my skin clear. I never really had very bad acne, just a few bumps here and there. This really helped keep it under control. Luckily when I reached my early twenties my breakouts became only bothersome once monthly.I used this with the Morning Burst products and the Blackhead Clearing products from Clean & Clear. I mostly used this at night and used the Morning Burst with spf moisturizer in the daytime.When using this, my skin was squeaky clean and I was constantly getting compliments. Now that I'm older, this is too harsh for me. I switched to Olay once acne was no longer a daily concern.",5,Great for Night,1393891200,"03 4, 2014",0.0653
4,A3J1XDOKRNRA6M,B000052YJM,CL,"[1, 1]","This moisturizer is really good. It's just enough to keep zits at bay and aid in healing the ones that you already may have. It can dry out your skin if you use it too often, but once a day is perfect for this product.",5,The first step to getting rid of acne.,1363305600,"03 15, 2013",0.4051
5,A2ZK1I3BPGLOVD,B000052YJM,CM,"[1, 1]","I use this toner as an after shave. It helps keep my face clear of blemishes and helps prevent ingrowns from shaving. Burns a little on first application, but is wayyy more tolerable than the red colored one. I keep a bottle around my office too to freshen up before meetings. Takes the oil right off. Love it",5,Best toner,1383264000,"11 1, 2013",0.2369
6,A3UB7SA13JT5A1,B000052YJM,Danielleofficial_,"[0, 2]",It has sylisic Acid in it..It's really hard on your skin. My Skin was in horrible shape after I used this..,2,Eh..So-So..,1326758400,"01 17, 2012",-0.3592
7,A13MYTDYDNC2KP,B000052YJM,D. Bozarth DB,"[0, 0]","Love it, Love it, Love it! I have very oily skin and this leaves my skin soft and clean. Used in combination withNeutrogena Oil-Free Acne Wash Cream Cleanser, 6.7-Ounce, my skin has never been clearer or felt better.",5,Been using this stuff for YEARS,1334448000,"04 15, 2012",0.5912
8,AIZDL9P2PJN30,B000052YJM,Fatema,"[0, 0]",I use this moisturizer with my Clinique acne solutions clearing moisturizer. It works really great for my moderate acne. I love it!! I use daily in the morning n night.,5,This works!!!,1362960000,"03 11, 2013",0.3839
9,A2RTUUUQFLALVN,B000052YJM,GlamourJ,"[0, 0]","I have always liked this face wash, it makes me clean my face and feel fresh without breaking out. I have been using it for 5 years now, and everytime I try a new product, its not as good as this.",5,Good product,1365379200,"04 8, 2013",0.2185
10,A1K6BQIIYFL6CF,B000052YJM,GooHoarder,"[0, 0]","I really like that this stuff is mild and gentle, but also totally cleans off any makeup that I'm wearing, even waterproof mascara. I love the scent, very fresh and clean, and the texture is nice too. It washes off very easily and doesn't cause any problems to my skin. I have a problem with acne, and haven't noticed any improvement on it because of this product, but it definitely doesn't make it worse and really makes me feel fresh after I've used it.This is now my favorite nighttime cleanser because it's gentle, yet does an amazing job of getting my face clean and makeup-free at the end of the day. I love it for that reason, and will keep using it.",4,Takes off all of my makeup,1361664000,"02 24, 2013",0.7123
