,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1QVS34FWGRAVG,B00000J1EQ,A. MacGregor,"[0, 0]",I just wrote a review on 160 Maxell tapes (3 pack). This 4 pack of 120 minute is a good buy of fine quality reliable blank tapes.,5,Standard good VHS tape,1360713600,"02 13, 2013",0.2859
1,A37RCN295YXNKD,B00000J1EQ,Amazon Customer DIYgal,"[0, 0]",Two relatives still have multiple VCRs and they tape a lot of stuff. Tapes wear out over time so I buy them new tapes once a year or so. These tapes are a very good price and last for a long time even though my Mom and aunt tape over them maybe hundreds of times in a year. I have never gotten a bad tape or had tapes break.,5,"Yes, some folks do still have VHS recorders! Good buy.",1327708800,"01 28, 2012",0.2309
2,A2HMF8ZR67BNZS,B00000J1EQ,Bill A. Belt,"[0, 0]",If you have an old VCR that still works and you enjoy taping your TV shows you now know how hard it is to find tapes. This will more than likely become even harder. We located these on Amazon. They are a great buy and are becoming very difficult to find. These Maxwell takes are of very good quality and the prices if fantastic.,5,Still Have An Old VCR That Works?,1334707200,"04 18, 2012",0.3394
3,A1V5M5ENS5YBK9,B00000J1EQ,brilliantdude65,"[0, 0]",The package arrived in about 6 days and in the advertised condition. I've bought Maxell products in the past(especially cassette audio tapes and vhs tapes) and have never been disappointed. The color and sound are both exceptional on these tapes. I know that the trend is changing and these tapes are going the way of the 8-track (and I'm trying to slowly make the change over to digital media) but in the meanwhile..I can highly recommend this Maxell 4-pk for your vcr recording needs.Also-this vendor appears to be a fine one.,5,Maxell 4-pk vhs tapes,1330473600,"02 29, 2012",0.2702
4,AWN8Q7FYS4G09,B00000J1EQ,Cat lover,"[0, 0]",I needed some new VHS tapes and these fit the bill perfectly. They have been working well and I'm very pleased with them. Amazon has really good prices on everything anyway so I knew I would find a really good deal and I did!,5,Great tapes,1328313600,"02 4, 2012",0.7437
5,A3JHBKWQWS36YL,B00000J1EQ,Charlene,"[0, 0]","there's not much choice for vhs tapes now, I'm happy I can still find them on Amazon. I would give this a better rating if one of the tapes hadn't had a broken piece internally, I could hear it rattling and when I took the tape apart there was a piece snapped off. but they were cheap enough that I didn't bother to return the package.",3,OK,1400889600,"05 24, 2014",0.5659
6,AN92U23LYTQBR,B00000J1EQ,dancer,"[0, 0]","These are really nice tapes, they record well the first time and re-record over and over. Still have a vcr to record tv occasionally and these work well",4,Brand new tapes,1374019200,"07 17, 2013",0.4546
7,A1ITXFX7GG8I60,B00000J1EQ,darryl blanton,"[0, 0]",I have used these VHS Tapes before and the quality is great each time. I will buy these the next time for making copies. Darryl,5,Great VHS Tapes,1316044800,"09 15, 2011",0.2083
8,A19SXS5PEC80UQ,B00000J1EQ,D. Harris,"[0, 0]","If you still use a VCR, these Maxell video tapes are a good quality. I have used them both for everyday recording of television shows and a one-time use for recording a movie I want to keep.",5,Maxell STD-T-120 Video VHS - 4 Pack,1388361600,"12 30, 2013",0.2588
9,A2W29HD38V9F8X,B00000J1EQ,dustyrose56,"[0, 0]","Great price and delivery. We cannot often stay up later to watch a favorite show, so we tape it and are able to watch it later. Maxell makes a good product that lasts.",5,Great price and delivery,1404864000,"07 9, 2014",0.508
10,A4MQ4HZF3Q7JV,B00000J1EQ,Edward J. Blotzer,"[0, 0]","I have used Maxwell for some time. I liked the price and having used these in the past, you can retape over them many, many times. I use them to tape television shows on air after my bedtime. You get good, clear pictures even after several months of taping. I would reorder these again. Also, there are few, if any, places locally to purchase any brand of VHS tapes.",4,good tapes for older kinds of recorders,1388534400,"01 1, 2014",0.182
11,A1UWVLJM65EEFX,B00000J1EQ,Fashionfernet Fashion Fernet,"[0, 0]","Practical and affordable, as usual. That's the &#34;maxell&#34; brand.It still gives you quality & integrity with each and every product.",5,Can't go wrong with maxell.,1403568000,"06 24, 2014",0.1909
12,A10SRJNBFF2BGY,B00000J1EQ,hot cuchi,"[0, 0]","I use these tapes because unfortunately I still live in the 20th Century, and still enjoy taping movies. One day, I will order a DVR, but for the time being, these tapes are great!",5,Still great video tapes!,1382400000,"10 22, 2013",0.4947
13,A3O64PJAT8FRAU,B00000J1EQ,Ian R Keenan,"[0, 0]","It's nice to know the possibility is there to find them. With them and VCR players (next thng I,ll be looking for.",5,Maxwell STD Videros,1370131200,"06 2, 2013",0.2107
14,A1GYV9PJ0U8ERX,B00000J1EQ,Jelly Bean,"[0, 0]","We bought a VCR for nostalgic reasons. We, like everyone else, got rid of our VCR back when we made the transition to DVD, but in the last couple years we longed for a bit of nostalgia, so we bought a VCR, some tapes and these blank tapes to re-experience what it was like watching VHS as kids. These are good tapes. They play well.",5,A trip back in time,1383436800,"11 3, 2013",0.3988
15,A21YQTAQRSGPNN,B00000J1EQ,J Johnson,"[0, 0]","VHS tapes, got them for my grandma, I'm sure they allow her to record the price is right without any trouble.",3,Eh,1382572800,"10 24, 2013",0.666
16,A1JH4RE328VB3K,B00000J1EQ,JnzWorld,"[0, 0]","Of course this is a great, great buy... you don't have to pay a lot for quality VHS tapes anymore so we didn't. We got a bargain.",5,"Of course this is a great, great buy...",1363478400,"03 17, 2013",0.5306
17,A1CAGTNRSFHJNJ,B00000J1EQ,Joyce Anne Laird writer,"[0, 0]","They are hard to find these days. I still prefer my VCR to DVD because I simply do not want to keep 90% of what I record and VCR is still the best way to go. DVDs are too expensive and I do not use cable or satellite or things like that. I get over 100 digital channels with my rabbit ears and have very little time to actually watch TV, so I still rely on my good old VCR/DVD recorder to help me eventually view shows I want to see -- when I get the time.",5,Video tapes,1389312000,"01 10, 2014",0.3944
