,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A32O98PFC3OP7K,B00004Z5SB,A Gamer at Heart,"[0, 0]","Bright, easy to use, and worked as intended without a flaw. Avery has always made quality office products (I used to sell them years ago) and these labels are no diferent. Print away!",5,Works as Intended,1287532800,"10 20, 2010",0.1348
1,A2TXMYYGSZCSZ1,B00004Z5SB,annie grannieannie,"[0, 0]","These labels are perfect for many uses. I use them for shipping labels and for labeling items that I am storing. Also, I am using them as gift labels for packages for the poor for Christmas. With the easy to use template, you can decorate these labels to make pretty tags that stick and don't come off. Avery labels are great!",5,Great For Shipping & More!,1280534400,"07 31, 2010",0.3812
2,A2IG937LQKWO7C,B00004Z5SB,B. Ferris fun book lover,"[0, 0]",Love these I've been busy shipping many things so these are so wonderful to use. I've also used them in my address book--updated everyone's info and it looks so nice typed and on these great labels.,5,Great!,1282176000,"08 19, 2010",0.8506
3,A2HC9549CZAKNN,B00004Z5SB,"B. McCarthy Engineer, CERT, Amateur Radio Op...","[0, 0]","I love Avery labels! Their free templates are easy to find and download. The labels print flawlessly every time. And they are durable. I really can't say enough about these terrific time savers. I design my own return address labels with a family portrait on them, I print out address labels for my holiday cards, and I print larger labels for packages, all with ease! If you are looking for high quality labels that won't let you down, Avery is the way to go...",5,Perfect Printing Every Time!,1280188800,"07 27, 2010",0.3933
4,A28I19Q54MYXGV,B00004Z5SB,Buffy,"[0, 0]","Trublock Technology is a gray coating on the adhesive side of the label so that it is more opaque and covers what is underneath. If this is important to you than it's an added bonus. Otherwise, not an essential quality.",3,Trublock Technology,1283558400,"09 4, 2010",0.2162
5,AZAKCIFE27RAA,B00004Z5SB,Chicago Gal,"[0, 0]","These labels are what I have needed for years. We are always returning items and also often sell items on ebay. I have actually put together 2 small labels all these years. Finally, I can now print the labels from my computer and easily attach to the packages. Thanks, Amazon.",5,Finally!,1280534400,"07 31, 2010",0.1795
6,AOM63D4VL32WM,B00004Z5SB,Colleen D. Gallagher teachingheart net,"[0, 0]",I have been using the Avery Shipping Lables for years for my buisness. They work out beautifully! Easy to format on word and other programs. I use these as shipping lables but they are great for other things too! I have used them to put labels on a small bag of popcorn. I have used them to place on the kids gift bags for birthday parties! So many uses for them!,5,Use it for more than just a shipping label,1281484800,"08 11, 2010",0.364
7,A1A1BM6N28X9J0,B00004Z5SB,Debbie Olson,"[0, 0]",love the size so you can write or type big for the adddress and looks so professional rather than just writing on the envelope. Sometimes I write them out by hand and other times I print them out on my laser jet printer so I can do different colors. Turns out great every time and no getting stuck or labels coming loose while printing. Feeds easily through the printer.,5,shipping labels,1279756800,"07 22, 2010",0.4495
8,AMPGRXQMO89X9,B00004Z5SB,Faye L. Bowring,"[0, 0]",These 2 x 4 labels are a nice size not only for covering previous labels on packages but also for adding a larger font when printing out labels and there is enough room to add an image/design. I would order this larger size label again. They were packaged well and arrived within the two day delivery time.,5,Like the larger size labels!,1353628800,"11 23, 2012",0.1665
9,A39PJ20IDNCH27,B00004Z5SB,Fel Angel,"[0, 0]","These labels worked great. I needed 190 and bought these and they work great. They print easy, the template in MS Word (I have MS Office 2000) worked like a champ. No complaints at all.",5,These are great,1357084800,"01 2, 2013",0.5941
10,A33TRNCQK4IUO7,B00004Z5SB,guillermoj,"[2, 3]","I give these labels my highest recommendation as I like to recycle packaging (envelopes, boxes, plastic mailers) and they are sufficiently thick so that you only need one to cover up any addresses, codes, instructions that would ordinarily make it hard to reuse packaging. Even if you tend not to be a person who recycles, these will serve you well in case you need to return a purchase using the same package that it came in.Easy to peel and can be used for addressing using computer software or just as good to peel off and write over them by hand. Priced reasonably and there is little else to say about labels. If you need them, these are as good as it gets for the reasons highlighted above.If you use labels exclusively for mailings on new envelopes, you might be able to save a few dollars and buy another Avery product that has more labels for a similar price.",5,This labels are a must for those who like to recycle packaging,1285200000,"09 23, 2010",0.4505
11,A3N4VTNFPMTHEF,B00004Z5SB,James Lin,"[0, 0]","My HP 460 inkjet printer can print on these without any problems. The pages feed into the printer smoothly and the ink doesn't smudge after printing. Avery also provides plenty of software templates on their website for you to use. Just go to [...] and search for 5163 (this information is on the label packaging too). They provide many premade label designs in Word Doc format and blank templates for other applications like InDesign and Photoshop. Also, the TrueBlock feature really does block out everything behind the label, which is great when you're reusing old boxes for shipping. Overall, I'm very happy with these labels.",4,Works great,1284854400,"09 19, 2010",0.2162
12,A3S15YGZ6W6EV2,B00004Z5SB,K. Varraso,"[0, 0]","I have reviewed several label products in the past, and have always found Avery to create a quality product, which does everything it says it will do, and will make you look fabulous and resourceful in the office, which can't hurt at employee review time. :-) These labels are no exception. They have permanent sticking power and are a strong enough white that nothing will show through the label. This is important now that so many companies are trying to be green by recycling old shipping cartons. If your company doesn't do this yet, suggest that they do so. It will save them money (green!) when they don't buy new shipping cartons and reduces the cost of waste removal (more green!). AND, it keeps cartons out of landfills, which is the greenest part of the whole deal.Back to the labels. A while back, I reviewed some labels that had Microsoft Word templates you could load onto a computer and design the labels of your dreams. I commented that most companies have rules against anyone but the IT department loading software onto their computers, which made the software less than practical for the people who use these at work. Avery has now solved this problem: they still offer the Microsoft word uploads, but you can also go to their web site and design the labels of your dreams without putting anything on your work machine. I tried the Microsoft Word add-on software and was impressed by the results.My project was to pack up some old summer clothes in old copy paper boxes, labeling each box top and bottom so that they could be retrieved easily. Copy paper boxes are printed with many dark colors and graphics, and if the label was going to have a show through problem, this was the time for it. The no show through technology worked like a charm - nothing shows through onto the face of the label, and it's a cinch to find my outgrown bathing suits - won't fit again in this lifetime.Why four stars instead of five? Because they're labels, not a cure for cancer. I like the labels, but it's not like we're going out or anything. :-)",4,Labels that help you ship green!,1284508800,"09 15, 2010",0.1454
13,A3O8Z6IZ0VU3BB,B00004Z5SB,Laura B. Kindle Fan,"[0, 0]",I used these as name tags in my classroom on folders. I also used them on boxes that I packed away for future use. I mailed a present to my sister in another state with some of them. They have worked great for all three purposes. They stick well and don't peel up around the edges. The markers (sharpie type) don't bleed on them. They are very effective for many purposes besides just shipping. And they do a great job for their main purpose as well.,5,I used these as name tags in my classroom and they are great,1282262400,"08 20, 2010",0.2698
14,A16AXQ11SZA8SQ,B00004Z5SB,MamaBear007 MamaBear007,"[0, 0]","I send lots of gifts to my out-of-state grandchildren, and I love to reuse boxes I already have -- think of all the stuff Amazon sends you (what a perfect way to save a tree by recycling boxes)!One of the drawbacks of reusing boxes is that you will have to scribble out all the previous markings from the box. Not so with these labels with TrueBlock Technology! They have a gray coating on the back of each label, which efficiently hides even the darkest marks, even on white boxes.The only drawback is that the gray coating makes these labels less sticky, making me wonder if they might peel off the package in transit. To prevent this, I put clear tape on all sides of the label (just to be safe), and it's a small inconvenience, because I don't have to spend tons of time scribbling out all the markings when I send gifts to my grandchildren any more.One more benefit... These don't hang up in my HP Photosmart inkjet printer, and (as long as I don't run a wet finger through the fresh ink) the ink doesn't smear.",4,Really does block other labels!,1281484800,"08 11, 2010",0.3805
15,AXFO241GZ4BYK,B00004Z5SB,M. Cheung mcmom213,"[0, 0]","I used these for two reasons - to print addresses for shipping padded envelopes and to help label and organize my bathroom closet.They were perfect for both.The address labels were printed on an inkjet printer which I thought would smear but they came out fine. I used the standard paper setting and didn't have to fiddle with the gloss or stock weight settings at all. The colors looked nice on there, too. They were affixed to those brown padded envelopes and they stuck on really well. They are sticky and re-positionable but ONLY if you pull it off very quickly. Great size - fit full addresses with room to spare.Then, I used a Sharpie to write names on the stickers to match up with the little organization bins I have in my bathroom closet and that worked great, too. The sharpie marker looks fantastic on the matte surface.I will use these again!",5,Perfect little labels.,1282176000,"08 19, 2010",0.3684
16,A3CIVGG3HNS1GM,B00004Z5SB,Me and My House,"[0, 0]","What can I say? Avery makes great labels. These are my favorite size, and I love that they block out what's underneath so I can reuse shipping envelopes.",5,Great labels,1285200000,"09 23, 2010",0.4245
17,A141834NWN0SKH,B00004Z5SB,MJW MJW,"[0, 0]","I bought for the purpose of placing a printed label in a small address book. This works perfect and by using printed labels you names and address etc... are easy to read and legible, also if someone moves, just place a new label over top, possibly you might be able to remove the old one. I have not tried that yet though.",5,Great and Useful Item,1371686400,"06 20, 2013",0.2709
18,A13CBV8AEKJEY0,B00004Z5SB,MrsKZY,"[0, 0]","When a template works, it's great. This time... it all worked out. Adhesive, easy to use. Worked well for labels on envelopes",5,Easy!,1385769600,"11 30, 2013",0.3346
19,A3JB405VRAERCS,B00004Z5SB,Paul E. Hartman pehrtmn,"[0, 0]","These 2 X 4 inch white shipping labels are just the right size for most mailings. 250 labels in the compact sleeve holder. The smaller sized ones don't give you enough room to print out the address comfortably. They pull off the backing, and are self-stick adhesive, and they stay stuck onto the front of the envelope without any problem.Don't waste your money on the smaller sized ones, get these instead.Highly recommended.",5,Good Size Address Labels for Shipping Items,1285372800,"09 25, 2010",0.0379
20,A11A75FIE3396D,B00004Z5SB,"P, M. Buchanan mspauly","[0, 0]",The Avery labels have been around for a long time now and work as well as ever. I was pleased with the value of this package. It was becoming hard to find the plain 2X4 labels and there's enough in the pack to last me a long time.,4,Avery Shipping Labels with TrueBlock Technology,1380844800,"10 4, 2013",0.273
21,A2R126BJUZANUG,B00004Z5SB,RaDadIndy indiana_dad,"[0, 0]","I've never had a complaint about Avery labels. By the way, here is another use I found for them. My wife is filling in as teacher for a class of 4-year olds. There are more kids than swings at recess, and this was causing fights and discontent. Now the kids get swing tickets printed on Avery labels (kids LOVE stickers) and based on their good behavior. So far, she says it's worked wonders.",5,Solid performer,1283385600,"09 2, 2010",0.1091
22,A1NGFGBX2VCQS8,B00004Z5SB,Ralph Furlong,"[0, 0]",I received this through the Amazon vine program. These labels are heavy grade of paper that will completly cover any errors that you might have made on a previous label as long as this label size is the same as your original label. The package contains a link to a format you can use with Word that allows you to print labels that conform to the sheets you have.I have a Kodak ink printer and I had absolutely no problems feeding the sheets through it. I was able to refeed the sheets easily if I did not use all of the labels the first time.The adhesive on the labels holds well and I have had no problem.I would highly recommend these labels for normal and for corrective labeling.,5,Shipping Labels,1335312000,"04 25, 2012",0.3008
23,A1H7Y5XKPGT0OS,B00004Z5SB,Rama Rao Rama,"[0, 0]","I bought these labels for two reasons; one, to use as shipping labels; second, for labelling my DVD storage cases. The 2 x 4 inch size is large enough for the addresses or the movie/TV title, and they stick very well; the application is easy and fast. The labels are bright white and well designed with a professional appearance. The labels have a grey blocking layer that covers any writing or printing underneath.I print the title of the movie or TV show and stick it to the cover of DVD storage cases. It is easy to print on these labels from my laser printer. They are of good quality and they are reasonably priced. I have rated these labels four stars for the design, quality and overall satisfaction.",4,I like these shipping labels,1390953600,"01 29, 2014",0.3202
24,A2L6QS8SVHT9RG,B00004Z5SB,randomartco period film aficionado,"[0, 0]","These are good, standard solid INK JET labels from Avery - template suggestions are always on the package (so helpful) and I've used both the 3M version, Avery version, and branded store versions (like Office Depot) - they all work well as address labels - if you are wondering how to choose, I'd make your decision based on price, and features such as the TrueBlock Technology included on these (which makes using a a recycled box or envelope much easier - it's thicker and truly covers up the older used labels below!)...as well as other features like (is it for a LASER or INKJET - this is for INK JET printers - believe me, it does make a difference! It affects the ink, smudging, smoothness, finish, etc.) printer? Is it the right adhesive (does it stick well enough to the type of envelopes or packages you are using)...I would recommend this product from Avery - price and a few other features will help you make a quick decision between this & other brands, but Avery has been making good labels for a long time, so I would choose Avery where I could - I like their continuous improvement process and the way I can re-use old boxes for mailing with these! I am a bigger fan of Laser printers than Ink Jet, but I have one of each, and these work great in the Ink Jet printer!",4,"Good solid product from Avery, would recommend - INK JET!",1287360000,"10 18, 2010",0.5502
25,A3UC3YT2E65LZO,B00004Z5SB,R. Dowling,"[2, 2]","These labels from Avery work pretty much as advertised. The dark gray backing does an excellent job of covering up whatever is underneath the label. The size is perfect for packages, and they don't smudge easily. I just wish the adhesive was a little bit stronger. These labels can be peeled off without much effort, which is great if your recipient wants to reuse the box, but not so great if you want to ensure that the label stays put and can't be removed. An easy solution (though perhaps not very elegant) is to cover the label with clear packing tape.Overall I like these labels, and I think the price is reasonable. Perhaps in the future Avery will come out with an extra-strong/permanent version of these, which I would gladly give five stars.",4,Good quality labels; just wish they were a little stickier,1295481600,"01 20, 2011",0.4444
26,A1Y39T2CT36YL0,B00004Z5SB,Resips,"[2, 3]",These Avery shipping labels are easy to use. The 2 x 4 inch size is large enough for both the to: address and a return address. They stick very well. The labels make it easy to reuse boxes and large envelopes because they have a gray blocking layer that covers any writing or printing underneath.I've had no trouble using my ink-jet printer to print the labels and the Avery templates make it snap to produce professional looking results.,5,Excellent label for large envelopes and packages,1281830400,"08 15, 2010",0.288
27,A2ULQOGN59LDNK,B00004Z5SB,Richard J. Brzostek,"[0, 0]","There are a lot of options when it comes to labels and it can be hard to pick one that is best. Although placing a normal label on a surface with writing covers most of it up, these ensure that it does. I tested several and they do work well. These labels are great for packages and are the type I use most often.As for the stickiness of these labels, I would say they are about average. They are probably not going to fall off in transit, but can peel off mostly clean or completely clean on the surface they were attached to. Overall, these are good labels, but there isn't a whole lot of difference between them and others.",5,great for packages,1286064000,"10 3, 2010",0.4873
