,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A2J9AN99ZE5SQ,B00000IFRI,Adam Robinson (a.k.a Adam Lee),"[0, 0]","Mario Party is the kind of game that became an instant classic! Play it once and your hooked! If you grab three friends and play, there is no better feeling in the world. Play, what seems like endless mini-games, with either Mario, Luigi, Princess Toadstool (a.k.a. Peach), Wario, DK, and (my personel favorite) Yoshi! Believe me, this is a good deal for such a good game!",5,Fun for the whole family!,988675200,"05 1, 2001",0.5166
1,A2AV2TR28DGSGC,B00000IFRI,ajnrules ajnrules,"[0, 0]","Yeah. So the story is very weak. Things are often like that for multiplayer-centered games. At least Mario Party had actually TRIED to spice things up with a story. Where's the story for Super Smash Bros.? Where's the story for Mario Kart 64? I didn't think so. As weak as the Mario Party story is, the story isn't important for a game...the gameplay is. Some games with great stories have fallen flat because of poor gameplay. Other games with NO story succeed with great gameplay. Mario Party is definitely in the latter category. You can hate the Mario Party series for its excellent Land Before Time impression. You can be among the groups of people that prefer Mario Party 2 and Mario Party 3. Yet there is one thing that you must admit. Mario Party was DARNED fun back in 1999! Sure, people said to NEVER play with one person, but playing all four characters as one person can be a blast as well.Anticipation may have been the first board-game video game for Nintendo, but it wasn't exactly successful, and had relatively primative gameplay. So people now associate Mario Party with the introduction of board-game video game, and it's definitely more like a board game than any other game before it. I mean, you roll a dice and move around the board encountering various pitfalls and experiencing different events. Although most of the boards are well-designed, I have realized that the majority of the board-game aspect is text or movement, and somebody watching a tape with only footage the board-game aspect would likely get very bored very fast. But what makes Mario Party the gem that it is are...the mini-games! Yes, Mario Party has 56 mini games to entertain all souls from all walks of life. Sure, not all mini-games are perfect, but you know what? Even with all of the blisters, broken glasses, and white powder appearing on the N64 controller, the mini-games are still worth it! Especially Mushroom Mix-Up and Running of the Bulb. Oh yeah. Those are great games. Mushroom Mix-Up provided tons of frantic fun and Running of the Bulb was hectic but exciting. 4-player teamwork games really need to make a comeback.Being a title developed by a third party (yes, Hudson is a 3rd party developer), the graphics in Mario Party are not exactly polished. Most of the textures are just simple polygons. And as was stated, the water is in the Bombs Away game is extremely pixelated. These graphics are not the ones that are so grand that you can't help but go Uah, but why bother with visual aesthetics when the game is already filled with gameplay finesse. At least the graphics don't hurt your eyes. I can't say that about a game that game out 3-4 months after Mario Party...I'm sure you all know what it is. Sound. Sound effects are amusing, but not exactly something special. Voice acting is good, but I finally found out (after five years) that much of the voice samples were lifted directly from the Japanese version of Mario Kart 64. The music? It is fantastic! There's a hint of Super Mario Bros. mixed in with the rest. It's great to listen to, even if it is all just MIDIs. Okay, a lot of this is probably due to nostalgia. I can write a paper on nostalgia and Mario Party, but I'll leave it at this. The bottom line is, even though Mario Party isn't one of the technologically advanced games on the N64, it sure makes up for it with its incredible gameplay.",5,The Best Game of 1999!,1103241600,"12 17, 2004",0.2512
2,A1ZPVW0WXNJ3YZ,B00000IFRI,Alex 47,"[2, 4]","I've had this game basically since it launched in 2000. I must say, the graphics are rather impressive for an N64 game, and the gameplay is great. The minigames are fun, especially when playing with other people. The only real problem I had with this game is how it didn't last long at all. It has about 100-150 mini games, but you can easily beat the game and unlock them all within about a week of good playing time.",4,The best MARIO PARTY on the 64,1120694400,"07 7, 2005",0.4084
3,A30M2F47F087LE,B00000IFRI,Alexander Garcia,"[0, 0]","You either love mario party or hate it, I always wanted it as a kid and i finally bought it. Great to play with my college friends",5,Classic,1387065600,"12 15, 2013",0.6782
4,A1WZ15MXASDZQB,B00000IFRI,Andrea Gustavsson,"[0, 0]","I still remember the first time I played this game, it remains a favorite even today. Some minigames are a bit simple, but I still love it!Ony complaint: PADDLE BATTLE! Who's stupid idea was this? Rotating the controlstick gives me blisters! Ouch!",5,Love it!,1181001600,"06 5, 2007",-0.0273
5,AWVQR7YYTYJ1L,B00000IFRI,Brittany Rose,"[3, 4]","Mario Party is a fun board game video game where you are on a game board trying to earn stars. You hit blocks to determine the number of spaces you move and earn or lose things depending on the space you land on. Then, at the end of each turn you play a mini game. There are other fun things to do, like play in the mini-game stadium, shop for new games and play individually to earn prizes. However, one major downer? The rotating hand games. Play this game enough and games like &quot;Cast Aways&quot; the one with the light bulb, and the 1 vs 3 riverboat game will cause blisters in your hand!If you like this one then check out the 2nd one as well for more options, new board games and mini-games as well as new gameplay features. However, some mini games and boardgames in this version are really great so give em both a go!",5,Fun Fun Fun but check out the 2nd One!,965088000,"08 1, 2000",0.4393
6,A1V3IO23FZFF9L,B00000IFRI,chicoer2003 chicoer2003,"[2, 4]","At first I didnt like this game, then I got into it. It's like an electic boardgame. The one thing I hate is playing against the consol. Always play with four real people.",2,Great Game,1101600000,"11 28, 2004",-0.0037
7,A29Z0OKLTIZ7MN,B00000IFRI,crude101,"[0, 0]","When i first played this game last Christmas, for the first time, i thought &quot;oh my goodness, how do you play this! &quot;...this is a mario game but at that time i wasn't feeling too well and the strange appearance of the game made my head spin.As a result, i played tomb Raider:TLR insetad. Happy to tell you that today, i'd rather play this game than Tomb Raider.Well, it's like a board game but much more fun. Lot's of minigames, lots of chances to shout and swear (not that i'm telling you to) but it's all good-natured fun.The characters look kind of silly (esp Yoshi and Peach who look like circus rejects)but i don't think the purpose of playing a mario game (or any decent video game) is to see hunks and babes.However, this game falls short of Mario Kart replay glory 'cause the formula can get tired at times.But if you want a solid first-party party game, then this is it. I haven't played GoldenEye 007 or Perfect Dark yet- so as far as pure multiplayer mania is concerned, this is number 2 next to Mario kart 64.Yes, it's that good.",4,Didn't like it at first BUT....,966297600,"08 15, 2000",0.6105
8,AWG2O9C42XW5G,B00000IFRI,David Black Widow 2014,"[0, 0]",This is a awesome game it's fun and chalaging. it's fun for the whole family,5,Awesome Game,1192320000,"10 14, 2007",0.6616
9,A14DDIGI6760D4,B00000IFRI,David Bumba,"[2, 4]","The solo game is the cheapest, most annoying game to play. The computer flat out cheats, and it's totally agonizing to watch the computer play it's mini games and take their endless turns.With some friends, it's more fun since you can make fun of each other when you lose. If fact, I'll only play that can with at least two other people. I suggest a rental as long as you have a group of friends to play with.",3,World's Cheapest Game,984441600,"03 13, 2001",0.3249
