,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A4Q7XACX6N7XZ,B000052YOX,AJ Eversleigh,"[3, 5]","I've been using this product for years and I always find myself coming back to it. Sometimes I go looking for something new but end up disappointed and upset that I ever thought to leave it (it's as close to a husband as I ever want to get).What I like about it:1. SPF is there. It's not a lot but it's there. With my other SPF makeup, I feel adequately protected.2. It absorbs quickly without taking everything with it. My skin stays soft and supple all day.3. It doesn't smell bad at all.4. IT DOESN'T BREAK ME OUT.5. My skin is extremely sensitive and with regular microdermabrasion, I am sometimes left with red, flaky skin that needs to be treated with love and care. This product doesn't exacerbate what my skin goes through and even also layers well with other moisturizers when I need backup.6. On days when I've gone without foundation and wearing only this, I've gotten complimented on how luminous my skin looks.Overall, it's an awesome product and I recommend it. As someone who also uses mostly high end products, I am amazed with how rarely Neutrogena lets me down. I thank them for saving me some serious green!",5,Old faithful,1348531200,"09 25, 2012",0.1853
1,A3315AAN855HYG,B000052YOX,Alice G.,"[1, 2]","I have to start out by saying that I am really not a fan of Neutrogena products. This is one of the exceptions. Three days after starting Accutane, I ran out of my expensive moisturizer (Physiodermie - Oily Skin Cream - 50ml) and had to run to the drugstore to buy moisturizer. I had a meltdown because they didn't have Olay in stock and bought Aveeno, Cetaphil, and this. This is the best, by a long shot. It feels nearly as good as my expensive one, but it doesn't sink into the skin quite as fast. The only downside is the smell, which is of clay. I don't mind it, since that proves it is fragrance free-- I just wish it was a little less strong.My favorite drugstore moisturizer is stillOlay Regenerist Deep Hydration Regenerating Cream, 1.7-Fluid Ounce, but I would definitely repurchase this neutrogena moisturizer!",5,An excellent drug-store moisturizer,1338854400,"06 5, 2012",0.1431
2,A38Z2QSVGNWWKX,B000052YOX,Amazon Customer Silver,"[0, 0]",Got it way before estimated time this product is what I needed will tell you all later how it's been doing. my face is quite red allot of the time.Update: Makes my face feel good and soft take care of the red. Good price too.,5,WOW Fast Shipping & Delivery,1358467200,"01 18, 2013",0.3891
3,A31W8JNPO0AGYG,B000052YOX,Amazonstudent,"[4, 6]","Neutrogena oil free moisture SPF 15 is amazing. The bottle has a little pump that makes it very easy to dispense. The product goes very far and you only need a little bit. This product is great for people with dry/semidry or combination skin. It helps combat dry skin in the places that need it without adding additional oil. It is also good to put under makeup. It causes much less foundation to be used up due to the fact that the skin is already moisturized. It also has SPF 15 which is great for the summer when you're not outside for long periods of time. (For long periods of sun exposure, I would suggest a higher SPF.) This product does smell a bit like sunscreen so there's no secret to what you're using!",5,A Great Addition to Your Skin Care,1312848000,"08 9, 2011",0.3112
4,A103U3KR4L2ZXT,B000052YOX,AndreaR andiemack,"[1, 1]","I have oily skin to the point where I avoided using moisturizer as every one that I tried in the past made by skin even oilier. It was embarrassing! I decided to give this one a try because of what it says it does and because I somehow developed small patches of dry skin on my face that needed to be treated, even though I was still oily. This moisturizer is absolutely amazing! My skin feels so smooth after application with no greasy after feel and I am totally shocked to see how well it has kept my makeup in place. I did not have to blot once during the day while at work. It's been 12 hours since I applied it today and my face still looks great. This product really works!!! I am overjoyed that I decided to give it a try and highly recommend it.",5,Totally Impressed!!,1327276800,"01 23, 2012",0.0957
5,A2GAB7I4DK6E0W,B000052YOX,Ashley Van Essen,"[0, 0]","I don't know what to expect of this other than a clean moisturizer. It moisturizes and doesn't leave a bad smell or oil, but it's really nothing special. I would probably look for something cheaper next time.",3,Does what it's supposed to,1365033600,"04 4, 2013",0.0275
6,A21QPHCP3WQILU,B000052YOX,avidreader,"[0, 0]","I used to use the Neutrogena moisturizer for sensitive skin, but decided to try this since my skin does tend to be oily. The lotion itself is very thin. Instead of my normal one application, with this lotion I need to apply twice, otherwise my face is dry and flaky--once after getting out of the shower, and another time before putting on my make up. The 2 stars is for the fact that my skin does look and feel good using this lotion, but there are plenty others that do just as good a job with just half the amount.",2,Meh....,1362268800,"03 3, 2013",0.1751
7,AS4JFDB695OJG,B000052YOX,Candis,"[0, 0]","another discntinued item from amazon, i love this moisterizer, need it to return though - seems like Amazon is not carrying Neutrogena products at all anymore. Very disappointing.",5,BRING IT BACK AMAZON,1372809600,"07 3, 2013",0.1514
8,A3VT6OZGSSDSYX,B000052YOX,Carly,"[1, 1]","This moisturizes my skin well without making it oily or making me break out. But it's not heavy-duty, so I recommend having a more intensive moisturizer on hand to use once a week or so to really keep your skin from getting flaky.",4,Great lightweight moisture,1404518400,"07 5, 2014",0.556
9,A3AEWS3IAGNYP4,B000052YOX,Claddagh_97,"[3, 5]","I purchased this facial moisturizer recently, as well as farther back a year or so. Both times I have ended up returning it, mind you I didn't purchase this on Amazon, but rather stores in-person at stores like Walmart and Target. This moisturizer says it is hypo-allergenic although I don't buy it. I am allergic to basically everything and rely on mainly baby products. I have very fair, sensitive skin and acne. I do not find this moisturizes, but rather burns one's skin horribly. After using the moisturizer, I had eroded, scabby sores all over my face. I think it made my skin much worse, although I am not supposed to be allergic to any of the ingredients. Also, for you fellow fair-skinned folks, it makes your skin look very red and ruddy in a bad way. Do not buy this, you will regret it, or at least I did.",1,Not what it says it is...,1391644800,"02 6, 2014",-0.1378
