,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A39B0OLY1BW17P,B0000531SW,A. Brothers,"[3, 3]",L'oreal has a great product line. Pick the shade closer to your skin tone and you will not be disappointed. I am in my fifty's and love anything that will enhance my skin naturally.,5,L'oreal Visible Life line minimizing and Tone Enhancer,1362355200,"03 4, 2013",0.5447
1,AYM5NQJE2K5S5,B0000531SW,Amazon Customer,"[0, 0]","I bought this product for only a few bucks, the coverage is okay but it doesnt last all day. But for the price that it was it was",3,Alright,1353369600,"11 20, 2012",0.0577
2,ADSCDY8LSLTCF,B0000531SW,Barbara Bertini kitty,"[0, 0]",iT COVERS REAL NICE. IT LASTS A LONG TIME. I WOULD HIGHLY SUGGEST THIS ITEM FOR ANYONE LOOKING FOR FACE MAKEUP,3,FACE MAKEUP,1394150400,"03 7, 2014",0.1824
3,A16FN58NZLWTEX,B0000531SW,B. Harris lavendermist,"[0, 0]","This has been one of my favorites for about 15 years now. When I can afford it, I try and keep it in stock. Very good price from Amazon.",4,One of my favorite base make-ups,1396828800,"04 7, 2014",0.34
4,A5U2GGFWKZ1R9,B0000531SW,Blessed,"[0, 0]",The price was good and it does what it says. I will continue with it if it does not skyrocket in price.,5,It does what it says,1395792000,"03 26, 2014",0.2202
5,A3UDQ1RC5D8JDC,B0000531SW,Botticelli,"[0, 1]","Sand beige, online it looked medium fair, but its dark..really dark. I have to return it and hope they are nice about it.But this is the first time, since I order most make up online, that there is such a descrepancy between the color shown,and the color that arrived. I want to add, the make up and bottle is nice, but the color is so dark, I cannot use it. That has nothing to do with the fact however, that the make up would be fine I'm sure for someone else. I did not use it, I saw it, opened the lid, and clealy using it would be foolish. It really is too dark for me. It arrived in a timely manner, I should add that, it also is in fine condition, the label, the bottle etc. I wish there was a way to really tell a bit closer what color it really is. Thats what Im discourage about. I have bought make up online before, so again, this time, it was so light in appearance online that I felt it would work. Thanks for getting the product to me right away, it was a bargain at 4.01, but unfortunately color is not a match for me. It has to go back. I also wish they would put some sort of packaging on the bottle, so the lid would not be loose as well, perhaps some plastic to keep it closed, and tight knowing that it was not tampered with either. I wss also sent an email to not place this reviews and only allowed to review the seller and packaging? I see reviews on products all the time, the color on this was dark, not just a bit off, but a lot so beward.",3,Coor is way off how it looked online,1372464000,"06 29, 2013",0.1341
6,A1I82T8CMZSQYZ,B0000531SW,Brook607,"[3, 4]","I guess the coverage is ok, but I don't like the texture. It doesn't feel creamy and glide on like I want it to. It has a dry feel to it during application, but your skin doesn't look dry after you apply it. As I'm applying it, it dries up too quickly, and then I have to get more from the bottle. A little does not go a long way and I have to really rub to get it on. It also looks streaky after I'm done. It's hard to explain, but I just don't like it. I prefer cover girl.",2,Don't like the texture,1311552000,"07 25, 2011",-0.0509
7,A2TPFU7Z523JR8,B0000531SW,Christine Poortenga,"[0, 0]","I have used L'Oreal for years, it has always worked well for me. I would recommend this product to anyone old enough to remember why Marsha was goovy.",5,always works for me,1398556800,"04 27, 2014",0.3172
8,A3EJI52WWJPG1V,B0000531SW,Critic,"[0, 0]",Love the coverage because product is light and does not break out my skin. Beautiful color and easy to apply. Will buy again.,5,Excellent tone.,1384041600,"11 10, 2013",0.4717
9,A22KMCKYE5KQ2X,B0000531SW,DogBreath101,"[2, 3]","Color is great. It might be a great product had it not arrived in a used like condition. Seriously, whats the point of a review if its going to be unfairly deleted? This was my experience. If anyone wants a bottle of makeup that can honestly be questionable...Ill dig it outta the trash for you. Its not going on my face. If I were happy w product Id say so. I'm not. Theres makeup on the side of the bottle. It doesnt look like it poured out from the top. What am I supposed to think and why send a lil glass bottle of foundation in a bubble mailer to begin w? Theres better ways of sending off products.UPDATE: Im going to change my stars for this product. Sometime after my review seller apologized and sent me a brand new product. For their effort in correcting the situation, they deserve props. Color of make up looks great. Thank you! Wore it to work today and three people said my skin looked great. Which is weird because nobody ever notices my skin.",3,Trust me buy from the drugstore. Youll pick a clean bottle of foundation....,1353974400,"11 27, 2012",0.2452
10,A1HOPKK8E3MIX6,B0000531SW,DonsGinny,"[0, 0]",I use L'Oreal Paris products on a daily basis. I find that they are consistently good quality products without the department store prices.,5,L'Oreal Paris Visible Lift Makeup,1356048000,"12 21, 2012",0.2202
11,A33RXCY134VEBE,B0000531SW,JessLoisel,"[0, 0]","I purchased 2 shades, (creme cafe, and golden beige). My complexion is olive , medium tan. These colors are very similar, but the creme cafe was a tad deeper in color. A perfect match for me. The creme cafe feels like it has grit in the foundation, almost sandy.. but after smoothing it on, the grit dissapears. It has a slight painty smell to it. The other color is nearly odorless, and with no grit. Both containers were unsealed, and the original stickers were obviously scraped off. (Likely the clearence stickers). They didnt however, appear used. The containers were full and there was no excess makeup on the inside of the lids. the cost of these shades vary, but I got 2 for no more than $9.00! Way better than drugstore prices. The finish of this makeup is somewhat dewy, a healthy looking glow. If you have oily or combo skin, like me, you will want to wash, then tone, then prime your face before applying this, then follow with a powder in order to get a shine free look.",4,a good foundation..,1391126400,"01 31, 2014",0.1019
12,A2LL1GQH70X4OP,B0000531SW,karen allen,"[0, 0]",This make up is the best. It covers good and last all day.I was pleasantly surprised. I will definitely purchase more.Looks great and is a great price....,5,Love this !,1396224000,"03 31, 2014",0.7731
13,A4SI2ZNUXBPEP,B0000531SW,Karenne,"[0, 0]","To be honest, I wondered if this makeup was going to be good, because it was sold at a MUCH lower price than I paid in the store, but the ONLY difference was that it did not come in a box or package (except package it was shipped in, lol). The makeup itself is exactly the same. I like this L'Oreal product, it works very well for making my skin tone look even, and it lasts all day. I definitely recommend the seller, and will buy again myself.",5,L'Oreal Paris makeup,1375660800,"08 5, 2013",0.4926
14,AEJJ8YVBHVKPM,B0000531SW,Lajuanaliz,"[0, 0]",it covers really well n feels smooth i set it with powder and it lasts all day :)but i think it was used because the bottle was kinda dirty with the foundation its self. And it has stickers that said new and they were like half way peeled off soo that was a downside :(,4,good product,1381536000,"10 12, 2013",-0.3724
15,A2H0G0L0E6DPCA,B0000531SW,Laurel51 Laurel,"[0, 0]",BEAUTIFUL and Cheaper than going to the store even with shipping. Makes me look 5 years younger and looks smooth and natural. LOVE IT!,5,This is now my Fave foundation!,1385251200,"11 24, 2013",0.5716
16,ACQ3M8CEMHRRI,B0000531SW,Lauren,"[0, 0]",I bought this light color because it was at an awesome price and its a established product. I mix it with my summer (darker) foundation when applying and it works out perfectly.,5,Great product!,1390348800,"01 22, 2014",0.6309
17,AB0J19NZ2SD70,B0000531SW,Liz Hart,"[0, 0]",Great makeup I use this all the time and go back to it. Color is good and am very happy with the purchase. Thanks!,5,VERY HAPPY!,1384300800,"11 13, 2013",0.6339
18,A3HOD1TA2I0C8O,B0000531SW,lori robbins,"[0, 0]",Absolutely fantastic. It does what it says it does. Came right away and was very reasonably priced! Thank you so much .,5,Awesome!,1388707200,"01 3, 2014",0.2399
19,A3C5NQ5KPEJFYD,B0000531SW,native rose,"[1, 2]","I am always searching for a foundation suited for my olive skintone. This color was perfect in caramel beige and for my type of skin , Dry with oily t zone. I was so shock to find a foundation which covers minimizes my discoloration on my cheeks and makes my skin look so much better. I was so happy ordered several more for not to run out. Thank you Amazon for carrying this product.The product is medium coverage , applied it in sections and don't need that much, this gives a better coverage to your face. Please use a light hand on application. I notice some women like to rub in their foundation like lotion. A big no , no.Thank you ,Native Rose",5,Perfect Color For Me,1352592000,"11 11, 2012",0.3665
