,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1D94IJBAPKVYV,B00004TUBL,Amazon Customer,"[0, 0]","We had a bunch of bottles that were always being knocked over. It was also annoying to move them all for cleaning under. Now we just have this mounted on the shower stall wall. It is easy to keep clean and operates well. The only difficult thing is that you have to pour products from one container to another, an extra chore, but worth it to me.",5,Makes neat work of a bunch of bottles.,1373846400,"07 15, 2013",0.0641
1,A2E6150RHKGSIR,B00004TUBL,Amazon Customer,"[0, 0]","Works great. Wish it had 6dispensers then I and my hubbycould use it with all our products.Probably will just add the 2 chamberone also. We stuck this one on withthe enclosed caulk and left it 24hours before filling. Stuck on great.I put soap, lotion, shampoo, andconditioner in. It primed easy, and isa solid piece...and I'm picky....Great!!",5,Soap Dispenser,1293926400,"01 2, 2011",0.1853
2,A3B7900K4X1AY5,B00004TUBL,Ana Luiza Welch TIPSY GIPSY,"[4, 4]","I bought this for my husband's bathroom and he just loved it. Less shampoo bottles in his way, get the right amount of shampoo all the time... Now we'll get another one for our boat. Very practical. Excelent!",5,Boat is next!,1180137600,"05 26, 2007",0.1499
3,AV3AUFSA1DXVZ,B00004TUBL,Carolina Carolina,"[0, 0]","No more bottles all around the bathtub, on bath supports, etc. Great idea. Easy to refill, sturdy enough to hold the amount of liquid. I recommend it. It is important that you glue it on a perfectly dry surface, and wait for 24 hrs before you fill the containers.",5,What a great idea!,1355443200,"12 14, 2012",0.4444
4,A16ZJA9BD2WU0Z,B00004TUBL,C. Reilly C. Reilly,"[0, 0]","I put in my sons bathroom & he's as picky as me. This doesn't leak out all over the tub like I thought it would. I just knew when I hung it & went to clean his bathroom, there would be residue from whatever was coming out of this dripping on to the tub underneath it. I am happy to say, there is NONE! Easy to install & this thing isn't moving, installed with silicone which I love. Easy to refill as well. A+ for this little mechanism!",5,Works great!,1296000000,"01 26, 2011",0.4243
5,A2RQOO8VYAEZZG,B00004TUBL,Cupcake,"[0, 0]","I've bought many of these over the years--not because they're so awesome, but because this is what I chose to begin with, and I break a bottle or so a year, and I've found it cheaper to buy the 4-chamber model with free prime shipping than order replacement bottles.Because the spout is at the bottom and the fill hole is at the top, you can't set these on a flat surface to refill, you have to hold them, which is awkward and makes them easy to drop. 75% of they time a bottle is dropped, unless it's completely empty, it will break. It's closer to 50% with empty bottles, still pretty crappy. If you're lucky, just the tip will break and you'll still be able to use it, though it will gt clogged and make a big mess on the wall. If the neck breaks, it's a goner.Aside from that (which is a big con--I would probably not choose the same design unless they changed the type of plastic in use or the design of the bottles), it's a nice dispenser and makes for a clean shower without a bunch of cruddy-bottled half-filled bottles. I have the 3-bottle and 3-bottle with mirror versions.",3,Bottles break VERY easily,1403136000,"06 19, 2014",0.22
6,A2LI8L6O4M0G1K,B00004TUBL,CuriousEggroll,"[0, 0]","Bought this because my shower was getting cluttered with different kind of soap, shampoo, face wash and etc. After receiving this and putting it up on my shower wall, no more bottles!Pros:Each bottle holds a lot of liquid.Each to use buttons.Clean design.Comes with waterproof adhesive and it's stick as hell.Durable - I've dropped the bottles over and over again when I was clumsily trying to shampoo inside and it still works.Cons:The adhesive stinks when you first place it on but that's a given and does not take away rating for this product.",5,Simple and awesome,1329091200,"02 13, 2012",-0.1691
7,A26869WFGMMZHM,B00004TUBL,D. WONG,"[0, 0]","I bought 2 of these in October 2011 and they are still working perfectly. When I have a need for another one, I naturally come back to the same brand, same style - the Classic - and ship and sold by amazon.I like the fact that when I need to refill, I can take each container out individually, plus the fact that there is one cover on the outside making it easy to keep it clean.Some other dispensers have 2 or 3 chambers and the chambers are all in one piece. http://www.amazon.com/gp/product/B001CD3T2U/ref=wms_ohs_product?ie=UTF8&psc;=1You have to slide the whole thing out even if you only need to fill one chamber when others are still full. In addition, the others not having a one-piece cover on the outside, water tends to get inside the chamber holding mechanism and mold can develop inside that you can't see without taking the chambers out. I have a couple of those that came with a house I bought. This also reinforces my decision in going back to the 4-chamber Classic one.",5,3rd one is a charm,1399075200,"05 3, 2014",0.2161
8,A1B89QLQZICCYG,B00004TUBL,Gift Recipient,"[0, 0]",If you share your shower with a spouse and of course do not use the same products there isn't a cleaner looking way to unclutter the look.,5,perfect for us,1362614400,"03 7, 2013",0.1734
9,AVBSDBRCF7LK2,B00004TUBL,Jeep Girl Crafter,"[0, 1]","I was using these in my shower, but got tired of the pumps not working, especially with conditioner. It took so many pumps to get all the conditioner I needed. Worked great for shampoo. Anything thicker than shampoo, forget it. I went back to sticking with the bottles the shampoo and conditioner came in. Yes, it saved space in the shower, but I'm standing in the shower for 10 minutes trying to get all the conditioner out.",1,I won't buy again,1388880000,"01 5, 2014",0.0363
