,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A20AOQWXYDFAU7,B00000DM9W,Alec Mclure,"[0, 0]","[Update 8/19/08: it's over a year since I wrote the original review - radio looks almost new, cleans easily, works great, and still doesn't require frequent battery changes - still love it!]10. You've lost faith that there is such a thing as a good shower radio9. It would be much easier to get psyched for work if you could listen to some good rock while gettin' clean8. It would be much easier to get psyched for work if you could listen to some good NPR Morning Edition while getting clean7. It would be much easier to get psyched for work if you could listen to some the morning TV news while gettin' clean6. All of the above also applies to shaving or putting on makeup5. Tend to dawdle? It has a timer. Get out the door before the rest of the nuts get on the road4. It doesn't mind getting wet along with you3. Batteries have lasted me a month so far. Though I don't care. The sound is so good for a shower radio I'd happily replace them weekly2. Oh, the weather channel - very nice, although a bit repetitiveAnd the top reason you should buy this radio is:1. Ahhh, nine are enough. Just buy the thing.",5,Top 10 reasons You Should Buy This Radio,1174521600,"03 22, 2007",0.2469
1,A1Z64RLLQYQ959,B00000DM9W,Amazon Customer,"[0, 0]","I have used this radio for over a year, almost every morning for 30 minutes, and I have only replaced the batteries once. Great sound, easy to use. It is a Sony, what else do I say?",5,Great little radio,1190678400,"09 25, 2007",0.2635
2,A1PHNXJQYNX7BH,B00000DM9W,Amazon Customer,"[0, 0]","Surprisingly long battery life. After doing the research, this Sony was the one to buy, and it didn't disappoint.",5,Meets all expectations,1217462400,"07 31, 2008",0.3024
3,ARWRBORADGA3G,B00000DM9W,Amazon Customer,"[4, 4]",,5,Ryan's little quick review of the Sony ICF-S79V.,1198886400,"12 29, 2007",0.3024
4,A1T1YSCDW0PD25,B00000DM9W,A. Wiersch,"[2, 2]",I've had this radio for months now and really like it. I like the digital tuning and timer function. The battery life is great. I am thinking of buying another one.,5,Great shower radio,1123113600,"08 4, 2005",0.3516
5,AOVMTR7PA8XB9,B00000DM9W,Bearwife,"[0, 0]","I owned a Sharper Image shower radio (the kind with suction cups that sticks to the shower wall) for years until it died on me, and thought the poor sound quality is the price you pay for a waterproof radio. I'm so sorry I didn't buy the Sony sooner! The sound quality is tremendous. It isn't waterproof but I keep it on a shelf in the shower and it withstands regular spraying with water with no problem. I love the big preset selection (including local TV channels), the easy to use buttons and the timer that turns it off on its own. Great machine.",5,Best shower radio ever,1154217600,"07 30, 2006",0.1774
6,AKI2Y9IT0EMRR,B00000DM9W,Beau-Tech Beau-Tech,"[1, 1]","I agree that this is the best shower radio. I have been through (3) other radios, all bad. This unit is true 100% digitial, great reception, good sound quality, and easy to use.",5,A great shower radio,1164153600,"11 22, 2006",0.381
7,A2A039TZMZHH9Y,B00000DM9W,Bill Lewey blewey,"[0, 0]","it's one of the better shower radios for sure, but it still sounds like a shower radio.",4,not too bad,1266105600,"02 14, 2010",0.705
8,A2Y23OZSZPO2D1,B00000DM9W,Brian M. Mccue,"[0, 0]","PROS: Good audio, easy to program, good features.CONS:However, the FCC will require broadcasters to switch to a digital format in February 2009. At that time, the radio WILL NO LONGERr receive televison broadcast audio. Therefore, a good percentage of the radio's value is gone!Nationwide, the FCC has reserved 10 weather channel frequencies available. Usually all 10 can't be received. This radio only has 5 channels for weather. In my case, none of those 5 channels contains any weather signals.",3,"Very Good Audio, But....",1213920000,"06 20, 2008",0.1767
9,A1J07V3G9MK6KM,B00000DM9W,Christopher E. Horn,"[0, 0]","Got this for my girlfriend and she loves it. She's had it for a little over a year now, and it is working great. I recommend this product to anyone looking for a good quality shower radio. She keeps it outside the shower to help keep any water from ruining it.",5,Works great,1242086400,"05 12, 2009",0.5086
