,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A9998RE3AEA95,B00000JNHJ,Alex,"[3, 5]","Ape Escape is on one of the sleekest action games on Playstation, which is, in theory, a pretty low-power console. The graphics, despite being rather choppy, are colorful and well-textured. Most of all, the game has a high frame rate with no noticeable slowdown to speak of, which allows things to move quickly and smoothly. The control scheme is intuitive despite being complex at the outset. Fortunately, no action you can take requires pressing more than one button. Right shoulder buttons are jumping, left shoulder buttons center camera and bring you into a first-person lookaround mode, digital d-pad moves the camera, left and right sticks move the character and the selected tool respectively, which the X, triangle, circle, and square buttons select your tool. Also, the controls are quite tight, which will save you much frustration from falling over cliffs and such. The camera is one of the best I've ever seen. It rarely swings around the character, although at times I did experience a few odd, glitchy perspectives, such as from behind walls and from under floors. Fortunately, the camera is spring-loaded to auto-center on the character.The level selection is the usual cliche pretty meadows/volcanoes/robotic factory fare, but in order to fulfill your quota of monkeys (capturing anachronistic, and very agile monkeys is the point of the game) you will have to navigate your surroundings in all of the three dimensions and utilize all of your equipment (monkeys are caught with a net, enemies are disposed of with a &quot;force club&quot;, you can glide with a hand copter to reach higher ground, or swim via help of a motorized sub), which is part of the appeal. The levels are large and complex.The game is relatively easy, but the frantic excitement it creates will make you play it over and over again.",4,A surprisingly good action game.,965001600,"07 31, 2000",0.2001
1,A1HA5VRH6H2NYT,B00000JNHJ,Amazon Customer mrsswiss1998,"[3, 3]","I was bored one day, and was watching my mother-in-law play Ape Escape 2. Looked like it was fun, and less stressful than some of my other games that I like tend to be, and borrowed her copy of the first Ape Escape.It starts out simple enough. You catch a few slow monkeys and learn your gadgets thru tutorials. But then it gets difficult. My 3 year old daughter loves to sit on the bed with spare control in hand and help catch monkeys. The graphics are nice and the storyline is fun. The gadgets are cool too.Only one complaint, and that is that the camera angle loves to change when you are at the most challenging parts. Anytime you need to use your flying thingy and it's for going somewhere difficult, the camera changes and you can't see where your destination is. It gets a bit annoying after you die a few times, but I did eventually get past the frustration and finished the game. This game is great for young kids and adults alike.",5,Too much fun,1071014400,"12 10, 2003",0.2124
2,A21XZF5ZHKK5EM,B00000JNHJ,Antoinette Johnson Pooky,"[0, 0]","I used to play the h*** out of this game when I was little and even more when I got older. Its one of those game thats old, but never got boring even when I played it multiple times. For those who are new to the series, you might think its just running up to monkeys and catching them with a net. You're partially right. If you go into this game and try to catch every monkey by just running up to them with your net, you will get a game over fast. I own the other 2 games in the Ape Escape series and played them multiple times, so its safe for me to say that Ape Escape 1 is the hardest of the series. Let me go into a little more detail.A little background: I'm not sure about other consoles at the time, but the PS1, unlike todays Sony consoles, had a different control scheme. Instead of using the analogue sticks to move your camera and control your character, you used the arrow buttons. The analogue sticks didn't have much use. Actually with some games no use at all. In other games like Spyro the Dragon you had the option to turn them on, but for some of those games it was glitchy. Ape Escape prooved revolutionary in that it was the first PS1 game to solely use analogue controls and I'm happy it did. I think Ape Escape is the best moving ps1 game I have ever played due to analogue controls. It makes controlling your character and changing camera angles way easier than most games at the time. Now all games use this control scheme for the better.Story summary: 2 boys, Spike and Jake, are heading to the Professor's laboritory to try out his time machine, but once they get there they find the professor and his assistant/granddaughter Natalie tied up by a horde of monkeys. The monkeys leader (Spector) has gotten hold of one of the professors inventions called the peak point helmet which increases Spectors intellegents and helps him achieve an insane level of power. The other monkeys possess Monkey helmets that do pretty much the same thing as Spectors helmet, but less powerful. Spctor sends himself and the other monkeys through time so they can change history in a way that'll make monkeys the dominant creatures of the earth and humans basically nonexistant. Its up to Spike to capture these monkeys, including Spector. I know its not the deepest story, but its really amusing and fun getting to travel through time through the dinosaur age up to the future. Later on in the game I actually found it compelling. You also really grow to love Spike by the time you finish the game. I understand now, why alot of people who play the sequals wish Spike was the main character again.Gameplay elements and monkeys: Once again you catch monkeys, but its easier said than done. The first 3 levels are pretty easy, but by level 4 you will be introducesd by some of the harder and more hair pulling to catch monkeys in the game. The task of catching the monkeys is made harder by the fact that you have natural level enemies to worry about while chasing the monkeys down, like Man eating plants and annoying bees. I also have to mention that alot of monkeys are PACKING HEAT! Laser guns, bombs, machine gun, HOLLYCOW! Don't get me started on the red pants monkeys later on who carry almost all these weapons as well as have extremely powerful scratch attacks that you can rarely avoid. There are different kinds of monkeys. I'll just summarize what they do. Monkeys with light blue pants are wimpy and easy to catch. Monkeys with dark blue pants are fast little monsters and require patients to get. Yellow pants monkeys are the most common and have normal difficulty. Green pant monkeys carry missiles on their back and require stealth to get because their sensitive to movement. White pants monkeys sense you easilly and are hard to sneak up on (understatement. Impossible unless someone says other wise). Black pant monkeys carry oozies/machine guns. I have to note the black pant monkeys are way harder to catch than the ones in the newer games. Then you have the abominations called red pant monkeys. Good lord do my heart stop when I have to catch one of these little bastards. Catching monkeys takes alot of patients and strategy because as you've already guessed from my description of them, they are hard to catch. Throughout the game you are given multiple inventions from the professor that are essential to catching certain monkeys in earlier levels that couldn't be caught before. Every invention is important in some shape or form and will either make a monkey easier to catch or harder, depending on the strategy used. The inventions are way better than the ones they give you in the other games. Some of the inventions in the other games are just plain useless. You also have lives in this game that you gain by collecting 100 gold arrows or a jacket. I've had more game overs in this one then any of the other two.Levels: The levels are divided by eras (the whole travel through time element). For example: Im in the dinosaur era and I play 3 levels from this era one after the other (unlock them), catch the required number of monkeys, then leave, unlocking a new era with 3 more levels (Hope that explains it good). Each level is unique and different which makes everything feel fresh and that much more awesome.Music: OMG! Ape Escape has one of my favorite videogame soundtracks of all time. Not since Donkey Kong Country 2 have I entered levels just to pause and listen to the music. Ape Escape prooves music is a very important part of a videogame. The music excites you and is very enjoyable. It has the best track of the entire series and its ashame Ape Escape 2 suffers from its bland soundtrack. In Ape Escape 3 the music is reminiscent of the first one, so I think the makers learned from their mistake. My favorite tracks are Crumbling Castle, Dark Ruins, Galaxy Monkey, The Spector theme, and a few others, but the soundtrack of the whole game is just epic and fills my heart with nostalgia and joy everytime I hear one of them. It's underrated and I wish more people knew about it.Replayabillity: Compared to the other games, Ape Escape 1 doesn't have much replayabilty, unless you're like me and love it so much you just start a new game all the time. Throughout the levels there are Spector coins you pick up. the coins are used to unlock 3 minigames in the time station. My favorite of these is galaxy monkey. The other two are meh. I really wish they had a way for you to unlock the soundtrack like the other two games. That would have been awesome.I've gone down memory lane long enough. The sad part is I still have my old Ape Escape game, but it no longer works anymore. I'm definately buying it off amazon. I wish instead of porting Ape Escape to the PSP, they would have ported it to the PS2, with an soundtrack unlockable available. Given that attention is mostly put on the PS3 and other next gen consoles/games nowadays I don't see a port happening soon (the PS3 doesn't even play older games according to some people I've asked). Ape Escape is definately worth buying.",5,One of my favorite games of all time.,1309910400,"07 6, 2011",0.1956
3,A17QKC0GZCKFNB,B00000JNHJ,APE Gamer apegamer,"[13, 13]","Here's the premise - you're this little guy with a net and a light sabre running around trying to capture these monkeys. The monkeys wear different colored pants, and have little sirens on their heads. The pants tell you how tough they are to catch, and the sirens tell you if they've caught on to the fact that you're trying to capture them.In addition to the trusty tools I mentioned above, you get a whole slew of other gadgets you can use to capture the monkeys, including an r/c car, slingshot and monkey radar. Unfortunately, the monkeys are also armed with everything from grenades to machine guns to canons.In addition to being hilarious (the commercials for the game were great, if you got a chance to seem them on TV), the joy of the game is using the analog controllers to move and manipulate gadgets.The game was the perfect difficulty, not too hard as I had suspected it would be. I still haven't completely finished, and look forward to hours more fun netting those pesky little chimps!",5,Whoo Hoo!,1002931200,"10 13, 2001",0.3397
4,A25EH1TSG461T2,B00000JNHJ,A. Ratnayake,"[1, 1]",What can be more fun than running around chasing monkeys? the are plenty of levels and gadgets to play with. The only downside is that the paddle boat is impossible to control in my opinion. Each monkey has its own charateristics and weapons. just trying to run up and snag the monkey doesn't always work. special gadgets must be used first. Pretty much run around the world getting rid of monkeys using gadgets. The game is pretty explanatory but is loads of platform fun. also includes minigames that can kill some time with friends.,5,MONKEYS !!!!!!!!,1062633600,"09 4, 2003",0.1646
5,A3BEJOL2X8PS8I,B00000JNHJ,ATHF Fan,"[4, 4]",I love APE ESCAPE. It is the best Playstration game ever. Just look at the other revues if you do not believe me. You need a dual shock controller to play this awesome game. the mini games are really cool.,5,100% MONKEY MADDNESS!,971481600,"10 14, 2000",0.4946
6,A1R602SXNGOMJ4,B00000JNHJ,A. Vegan,"[1, 1]","Ape Escape consists of more than 20 3D levels based on a variety of time zones. To clear a level, Spike (played by you) must capture a set number of monkeys. After filling that quota, you must access the next level. Reaching the monkeys will require you to jump, sneak, swim, climb and fly through a variety of situations. To help you on your way, you are given a net and a lightsaber type stun club. Throughout the course of the game, Spike will collect six additional gadgets. In addition to providing the means of completing future levels, returning to previous levels with new gadgets will allow Spike to capture any monkeys he left behind. In addition to monkeys, each level has tokens to collect. Collecting enough tokens will open minigames. This game gets addicting pretty fast.",4,Just one more ape...,1060646400,"08 12, 2003",0.2151
7,A3GKMQFL05Z79K,B00000JNHJ,blackaciddevil,"[11, 11]","I got to admit, I know the game is aimed more towards kids but I'm 35 and I had a blast with this game. I never even heard of the game til it was shown to me in someones' collection. Being bored one day, I put it in the Playstation to check it out and, lo and behold, I played that game til early the next morning. The object of the game is to catch all the monkeys lose in each level. Trust me, it isn't as easy as you might think. It takes some smarts to get them lil critters. Armed with several different gadgets, you're a one-man monkey catching machine. I know it might seem like a silly game to you but it's one of the most fun games I've played in a long while. You definitely owe it to yourself to see what it's all about.",5,Ape Escape rules the Dual Shock kingdom....,1036713600,"11 8, 2002",0.1839
8,A116LFUTJ4UF4D,B00000JNHJ,Branden Steinagle thepreacher,"[0, 0]","If you're trying to build up a classic PS1 collection, make sure to include this wonderful lil platformer. It may not be the quality of Crash Bandicoot, but then again not many games live up to that series.",4,Fun game,1368057600,"05 9, 2013",0.2778
9,AFR5VAMEUGJD7,B00000JNHJ,Chris H,"[0, 0]",What can I say? You are catching bad monkeys with a net. How can that not be fun?It starts off not that impressive the first few levels but don't let it fool you. It gets much better. Easily my favorite platformer on the PS1.,5,Best platformer on the PS1,1357344000,"01 5, 2013",0.1733
