,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,A1Y09QLADQYQJG,B0000ANDJY,&#34;T=H=E --- 'Older Than Dirt' --- Time Tra...,"[2, 2]","My wife is pretty damned picky, but she sure as hell LOVED these socks I bought her...Because she walks around the house in SOX, I thought I'd take a risk.Like I said, she loves 'em! I bought some of the OTHER colors, too!",5,THICK socks!,1355702400,"12 17, 2012",0.4319
1,A34ZHVSSR5RRP5,B0000ANDJY,Amazon Customer,"[0, 0]","I just received these socks yesterday. So I went for a long walk today. 5 miles out in the country. The socks felt great in my walking shoes. I had to kind of rush for the last 2 miles to get home for my son, so I put the speed on. The socks even felt good at a good clip. They are nice and soft and cushy, yet they do not feel bunchy in the shoes. Overall a great sock. I will try them with hiking boots as soon as I can.",5,"comfy socks, great for lock walks",1349827200,"10 10, 2012",0.2635
2,AZH4L0IU7EHO4,B0000ANDJY,Amazon Customer P. M. Romer,"[0, 0]","These are soooo comfortable, tried them on with some new hiking boots and I did not want to take them off. Cannot wait to travel to Costa Rica and try them in the forests.",5,Great!,1368748800,"05 17, 2013",0.2364
3,A1SIANDS598NRB,B0000ANDJY,amazon fan/critic &#34;Nina&#34;,"[0, 0]",item is exactly as ordered and advertised; this is very heartening because lately I have returned many items ordered through amazon,5,As described,1341187200,"07 2, 2012",0.1779
4,A1K7CUR8LVMLXS,B0000ANDJY,A. Scales,"[1, 1]","I started wearing these Thorlo Thick Cushion Hiking Socks a few years ago based on reviews and I am delighted. Since their sizing is more specific, the socks fit perfectly, not too big like most. There's no extra material bunching in my shoes. These are now the only socks I buy and wear them year round. They are not cheap but they last an amazingly long time. Worth the price! (But I did stock up during a sale!)",5,Love these socks!,1359504000,"01 30, 2013",0.1698
5,A336Q8I9F66403,B0000ANDJY,Bird Feeder,"[0, 0]",I love how cushiony they are. I also purchased the Thorlo Unisex Combat Boot Overcalf Socks and wear them slouchy. I have washed them a lot and they have held their shape and look great. But I also don't wash my clothes in hot water. I have been wearing Thorlo socks for years and have never been disappointed.,5,Soooo Comfy...,1366329600,"04 19, 2013",0.2588
6,A3OXRFCJI67IMN,B0000ANDJY,Bold Consumer,"[2, 2]","I was discussing survival techniques with an Army officer who recommended Thorlo socks for warmth. I bought some for that purpose, for power outages, cold Winter weather, etc., and never have wanted any other kind since. They last for years and I wear them every day, Winter and Summer, usually without shoes since I work from home, sometimes with shoes on 3-mile walks. These are everything I want in a sock. I highly recommend them.Be careful to choose the right color.",5,"Warmth and Cushioned All-Season Comfort For Walking, Hiking, or Going Without Shoes At Home",1266710400,"02 21, 2010",0.3511
7,A284N4V7W8FWKS,B0000ANDJY,Canary,"[0, 0]",I bought these for boots that are large on me. These thick socks do the job of filling out the footbed and keeping my toes warm.,4,Veryt thick and warm,1392163200,"02 12, 2014",0.1132
8,A1DH3QDZX8Z7GO,B0000ANDJY,Charlemange,"[1, 1]","I bought two pairs of these to wear with my newly purchased Golden Retriever safety toed hiking boots. They are very soft & fit well. I got the medium in black and I wear I size 7. It has been cold and wet out here, so these are great to have right now. Very happy with my purchase and would buy again.",5,Very comfortable,1385683200,"11 29, 2013",0.4566
9,ABHUQ0UXW7BG1,B0000ANDJY,Chelsea,"[0, 0]","I wear a 7.5-8 womens shoe and loved this while hiking. The heel reinforcements reach up to your ankle so that if you are wearing hiking boots with good ankle support, the sock will be stronger there, too. Great, and actually pretty cute.I shopped around a lot on Amazon and found the other stuff way too expensive. This was the best womens one I could find.",5,Pretty impressed,1370649600,"06 8, 2013",0.721
