,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,Sentiment
0,AO2GZG0N16FCD,B0000533G7,102Riley 102riley,"[1, 1]","I have used Dr. Bonner's products for years and enjoy them. This particular soap, I use to partially refill the method foaming soap dispensers in the kitchen and then fill the rest with water. It saves me a lot of money, is gentle on my hands, and leaves a nice scent.",5,Love Dr. Bonner's Products,1373760000,"07 14, 2013",0.3949
1,A3C3LJEPEV98Y6,B0000533G7,AAA Niagara Books,"[0, 1]","I have been using Dr. Bronner's soap daily for years as my shampoo & soap. I keep it in the shower. We have used many different scents & I never travel without the 2oz travel-sized bottle.We have not found this to be a good dish soap but we know some people who swear by it. It does not create many suds & the dishes do not appear to get super clean. We have taken this soap camping to wash dishes, occasional clothing, utensils, camp stoves, etc. We do like to use this while camping.We uses the Sal Suds Concentrated Soap to wash our floors, bathrooms, fruits & veggies, etc.This 1 bottle lasts me almost a year so I become a little tired of the smell. It is intense. I made the mistake once of buying a gallon to refill my bottle & I was so sick of the smell that I almost dumped it down the drain!& take the time to read the bottle (or watch the documentary). This guy is a hoot!",4,Plan on Using this for Years...Hope You Don't Get Sick of the Smell,1373500800,"07 11, 2013",0.0067
2,A1Q09E783O8A9F,B0000533G7,ABB ABB,"[0, 0]","I have been using Dr. Bronner's almond liquid soap as a shower gel for over a year and love how it leaves the skin moisturized. Each time I use another bath or shower gel (using the same one every day is pretty monotonous), I realize how much superior Dr. Bronner's products are. I am about to buy my 4th 32-oz bottle.My husband, however, is not crazy about it.",5,Bye bye winter legs!,1305331200,"05 14, 2011",0.5557
3,ABBCUMRFQ5PJ3,B0000533G7,AcidGambit,"[0, 0]","The Good: I have been using this soap for years. From camping to my shower, I love its simple and cleansing feeling. There is no oily residue after you wash it off, and the peppermint really lets you know you are clean with that zing it packs. I have fairly oily skin and usual body soaps never really left me feeling like I had cleaned my pores and stripped away all the grime. This soap does just that. Finally, when using a lufa, this soap suds of tremendously.The Bad: There really is nothing bad to say about this soap. Some might consider it on the expensive side, but you wash yourself every single day, sometimes twice a day, so why not spend a little more to get a really great soap?",5,The Best All Around Soap There Is,1390694400,"01 26, 2014",0.307
4,A3AGU54SG3BC5U,B0000533G7,A Customer,"[2, 6]","It didn't clean my hands, which weren't very dirty in the first place and it ruined my hair.Maybe it's just me, but I tried one *drop* for washing my hair. Even pre-mixed it with warm water. No amount of rinsing could get it out of my hair. It left my hair all greasy/oily. My hair was cleaner before I put this horrid stuff in it!Had to re-wash a FEW times with regular shampoo to get it all out.Now I don't dare use it on anything else. It's awful. Sitting on a shelf collecting dust.",1,HOW is this 'soap'???,1356048000,"12 21, 2012",-0.2354
5,AXK3KYH8NQ9G2,B0000533G7,A. Hockenberry,"[0, 0]","I am so excited that I have found Dr. Bronner's Castile Soap. I got the tea tree scented one in hopes of cleaning some stubborn grease from one of my pans. It worked like a breeze! I now use it when I had wash dishes and I love that it's organic and gentle on my skin. I have not tried it as a body wash or shampoo yet, but I think I will get a different scent to try it in the shower!",5,How have I lived without you?,1376438400,"08 14, 2013",0.3443
6,AV8QCPGZW0SDQ,B0000533G7,A.L. Dew A. Lee Dew,"[38, 47]","I had just finished my bottle that I purchased at a retail store and opened this 32 ounce bottle to use today. I am beyond disappointed this this is a watered down version of Bronner's soaps! Unfortunately the window to request a return has elapsed, but I want to advise those who consider purchasing this soap from this vender to reconsider. I could have paid more locally and enjoyed the thick soap that I am used to.",1,Thin and watered down.,1327449600,"01 25, 2012",-0.0095
7,A105TOJ6LTVMBG,B0000533G7,"Aless &#34;I came like Water, and like Wind ...","[0, 0]","Universal house cleaner , laundry detergent without chemicals. Very good smell and feel . Though can be a little dry for your hands, as any soap, if ur using it daily for a long period.I recommend to dilute it (make 2 out of 1) than u'll get much softer skin,but the soap quality would be absolute same.",5,Before the times of chemical world...,1246492800,"07 2, 2009",0.3439
8,A2S7YBFPZX1IGQ,B0000533G7,alysha davis,"[2, 3]",omg!! all of my life ive had body acne i work out alot and and its really hot here in san diego so its a given for my skin type. since using this soap only in for a week my acne has dried up it also took the redness out of a few small breakouts overnight! also i examined my skin where i get black heads and the pores are all cleaned out the soap has really gotten deep into my pores cleaning the dirt and sweat out that would have cause me future blemishes i cant remember how i came across this soap but im never turning back to any other body was or bar soap nothing can compare i need to order this in more sizes and im willing to try in other scents in the future when my blemishes have fully cleared up. im just in shock right now how damn good my skin looks especially before summer time if i have only used this soap for less than a week imagine what it can do for me in a month?? ;D i cant believe all those chemicals were harming my skin and just making everything worse (my previous body wash). i can literally read the ingredients of this soap and its just a bunch of good citrus oils in here with some glycerin thats all!!FOR BRIGHTING THE SKIN!:::if you have dull skin that flakes your constantly putting chemical lotions on. you have un even skin tone what i use is this http://www.amazon.com/Salux-Nylon-Japanese-Beauty-Cloth/dp/B000CSDDDG/ref=sr_1_1?ie=UTF8&qid;=1362350338&sr;=8-1&keywords;=salux and dr. bronners citrus soap and i go to town! this towel makes the soap extra lathery. it gets rid of dirty ashy skin and makes you bright and glowey with an extra clean feeling i also use it on my privates and it actually makes me smell better and i dont feel irritated it doesnt burn either and i really scrub ever where even on open cuts i noticed it heals them quickly and cleans of all bacteria and germs ohh!!! another thing dont be disappointed when you get this soap it looks watery instead of thicker consistency and then think that you need tons of the soap to make it lather for your whole body you only need a small amount that barley covers your palm trust me its not alot then just lather it up with the salux towel i swear the bubbles just keep on growing and my whole shower experience smells like an orange juice factory its fantastic! the bubbles wash away immediately on contact with water.CLARISONIC USERS! i have the clarisonic mia and i use this soap with it it really deep cleans my pores and gets rid of my oily skin and blackheads around my nose makes my face glow and even tone skin my blemishes from my face are minor but there all gone now it even shrunk my pores more and my dry skin is no longer there i have dewy even skin its great!!!!!!natural is the way to go!!!,5,dr. bronner's citrus soap for acne and brighting skin,1362268800,"03 3, 2013",0.1197
9,A276D8BJF36A0L,B0000533G7,Amazon Customer,"[1, 1]","Love this soap and its gentleness. However, it needs diluting to really reap the benefits. Without dilution, it can be drying. I mix mine with 50/50 water. Sometimes I add extra virgin olive oil to make it more moisturizing. All in all, I love it as my shower soap and salivate over the almond-hemp smell!",4,My Staple Soap - Needs Diluting Though!,1388620800,"01 2, 2014",0.29
